source_district,dest_district,source_year,dest_year,filter_state
24 - Parganas,24 - Parganas,1951,1961,West Bengal
24 - Parganas,24 - Parganas,1951,1961,West Bengal
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Abor Hills,Siang Frontier Division,1951,1961,Arunachal Pradesh
Adilabad,Adilabad,1951,1961,Telangana
Adilabad,Adilabad,1951,1961,Telangana
Adilabad,Adilabad,1951,1961,Telangana
Adilabad,Adilabad,1951,1961,Telangana
Adilabad,Adilabad,1961,1971,Telangana
Adilabad,Adilabad,1961,1971,Telangana
Adilabad,Adilabad,1961,1971,Telangana
Adilabad,Adilabad,1961,1971,Telangana
Adilabad,Adilabad,1971,1981,Telangana
Adilabad,Adilabad,1971,1981,Telangana
Adilabad,Adilabad,1971,1981,Telangana
Adilabad,Adilabad,1971,1981,Telangana
Adilabad,Adilabad,1981,1991,Telangana
Adilabad,Adilabad,1981,1991,Telangana
Adilabad,Adilabad,1981,1991,Telangana
Adilabad,Adilabad,1981,1991,Telangana
Adilabad,Adilabad,1991,2001,Telangana
Adilabad,Adilabad,1991,2001,Telangana
Adilabad,Adilabad,1991,2001,Telangana
Adilabad,Adilabad,1991,2001,Telangana
Adilabad,Adilabad,2001,2011,Telangana
Adilabad,Adilabad,2001,2011,Telangana
Adilabad,Adilabad,2001,2011,Telangana
Adilabad,Adilabad,2001,2011,Telangana
Adilabad,Adilabad,2011,2024,Telangana
Adilabad,Kumuram Bheem,2011,2024,Telangana
Adilabad,Mancherial,2011,2024,Telangana
Adilabad,Nirmal,2011,2024,Telangana
Agra,Agra,1951,1961,Uttar Pradesh
Agra,Agra,1951,1961,Uttar Pradesh
Agra,Agra,1961,1971,Uttar Pradesh
Agra,Agra,1961,1971,Uttar Pradesh
Agra,Agra,1971,1981,Uttar Pradesh
Agra,Agra,1971,1981,Uttar Pradesh
Agra,Agra,1981,1991,Uttar Pradesh
Agra,Firozabad,1981,1991,Uttar Pradesh
