state_name,district_name,id
Madras Presidency,Tinnevelly,1
Madras Presidency,Travancore,2
Madras Presidency,Cochin,3
Madras Presidency,Nilgiris,4
Madras Presidency,Poodoucotta,5
Madras Presidency,Tanjore,6
Madras Presidency,Madura,7
Madras Presidency,Coimbatore,8
Madras Presidency,Trichinopoly,9
Madras Presidency,South Arcot,10
Madras Presidency,Madras,11
Madras Presidency,Chingleput,12
Madras Presidency,North Arcot,13
Madras Presidency,Nellore,14
Madras Presidency,Salem,15
Madras Presidency,South Canara,16
Mysore,Shimoga,17
Mysore,Cudoor,18
Mysore,Chittal Droog,19
Mysore,Hassan,20
Mysore,Colar,21
Mysore,Toomkoor,22
Mysore,Bangalore,23
Madras Presidency,Bellary,24
Madras Presidency,Godavery,25
Madras Presidency,Kistna,26
Madras Presidency,Kurnool,27
Madras Presidency,Cuddapah,28
Berar,Buldana,29
Berar,Bassin,30
Berar,Yothmal,31
Berar,Oomrawuttee,32
Berar,Akola,33
Berar,Ellichpoor,34
Bombay Presidency,Nuesies,35
Bombay Presidency,Kolaba,36
Bombay Presidency,Tanna,37
Bombay Presidency,Bhore,38
Bombay Presidency,Ratnagiri,39
Bombay Presidency,Sawuntwarree,40
Bombay Presidency,Kolapoor,41
Bombay Presidency,Dharwar,42
Bombay Presidency,Kaladgi,43
Bombay Presidency,Nasik,44
Bombay Presidency,Ahmad Nagar,45
Bombay Presidency,Poona,46
Bombay Presidency,Phaltan,47
Bombay Presidency,Meeruj,48
Bombay Presidency,Juruh,49
Bombay Presidency,Satara,50
Bombay Presidency,Jat,51
Bombay Presidency,Jamkhandi,52
Bombay Presidency,Mudhole,53
Bombay Presidency,Mhyekanta,54
Bombay Presidency,Akalkote,55
Bombay Presidency,Sholapur,56
Bombay Presidency,Surat,57
Bombay Presidency,Dhurrumpoor,58
Bombay Presidency,Surgana,59
Bombay Presidency,Peint,60
Bombay Presidency,Raj Peepla,61
Bombay Presidency,Baunsda,62
Bombay Presidency,Dangs,63
Bombay Presidency,Baroda,64
Bombay Presidency,Akraunee,65
Hyderabad,Bamne,66
Hyderabad,Baythulwaddy,67
Hyderabad,Dowlutabad,68
Hyderabad,Hingolee,69
Hyderabad,Patree,70
Hyderabad,Warona,71
Central Province,Wurdah,72
Central Province,Nagpoor,73
Central Province,Bhundara,74
Central Province,Nandgaon,75
Central Province,Chhuikhadan,76
Central Province,Konkeir,77
Central Province,Ryepoor,78
Bengal Province,Runapoor,79
Bengal Province,Nyagurh,80
Bengal Province,Atgurh,81
Bengal Province,Hindole,82
