"state_name","district_name","id"
"Hyderabad","Warangal",13
"Punjab","Chamba",10
"Punjab","Kangra",14
"Punjab","Mandi",11
"Punjab","Bilaspur",12
"Punjab","Suket",13
"Punjab","Bushahr",18
"Punjab","Nalagarh",14
"Punjab","Simla",13
"Punjab","Jubbal",17
"Punjab","Nahan",16
"Punjab","Gurdaspur",1
"Punjab","Amritsar",2
"Punjab","Kapurthala",1
"Punjab","Hoshiarpur",12
"Punjab","Jalandhar",11
"Punjab","Ludhiana",10
"Punjab","Patiala",5
"Punjab","Kalsia",15
"Punjab","Ambala",9
"Punjab","Maler-Kotla",4
"Punjab","Jind",6
"Punjab","Ferozpur",3
"Punjab","Faridkot",2
"Punjab","Loharu",7
"Punjab","Hissar",4
"Punjab","Nabha",3
"Punjab","Dujana",8
"Punjab","Gurgaon",6
"Punjab","Pataudi",9
"Punjab","Delhi",7
"Punjab","Rohtak",5
"Punjab","Karnal",8
"North West Province","Saharanpur",2
"North West Province","Bulandshahr",14
"North West Province","Muttra",16
"North West Province","Aligarh",15
"North West Province","Cawnpore",34
"North West Province","Hamirpur",39
"North West Province","Fatehpur",40
"North West Province","Banda",49
"North West Province","Etah",18
"North West Province","Mainpuri",19
"North West Province","Etawah",35
"Central India Agency","Sarila",43
"Central India Agency","Jigni",44
"North West Province","Jhansi",37
"Central India Agency","Baoni",46
"Central India Agency","Beri",45
"North West Province","Meerut",8
"North West Province","Muzaffarnagar",7
"North West Province","Dehra Dun",1
"North West Province","Tehri Garhwal",1
"North West Province","Bijnor",6
"North West Province","Garhwal",3
"North West Province","Kumaun",4
"North West Province","Moradabad",9
"North West Province","Bareilly",10
"North West Province","Budaun",13
"Bengal Province","Champaran",1
"North West Province","Tarai",5
"North West Province","Pilibhit",11
"North West Province","Gonda",25
"North West Province","Kheri",22
"North West Province","Bahraich",24
"North West Province","Bara Banki",31
"North West Province","Sitapur",23
"North West Province","Hardoi",21
"North West Province","Unao",33
"North West Province","Lucknow",32
"North West Province","Rae Bareli",41
"Bengal Province","Darbhanga",4
"Bengal Province","Saran",2
"North West Province","Ballia",28
"North West Province","Basti",26
"North West Province","Gorakhpur",27
"North West Province","Azamgarh",29
"North West Province","Fyzabad",30
"North West Province","Sultanpur",42
"North West Province","Lalitpur",38
"Central India Agency","Charkhari",34
"Central India Agency","Panna",33
"Central India Agency","Bijawar",31
"Central India Agency","Urchha",30
"Central India Agency","Ajaigarh",39
"Central India Agency","Chhatarpur",32
"Central India Agency","Baraundha",35
"Central India Agency","Maihar",41
"Central India Agency","Jaso",40
"Central India Agency","Nagode",38
"Central India Agency","Sohawal",37
"Central India Agency","Kothi",36
"Central India Agency","Rewa",42
"North West Province","Partabgarh",43
"North West Province","Benares",46
"North West Province","Mirzapur",47
"Madras Presidency","Travancore",2
"Madras Presidency","Tinnevelly",6
"Madras Presidency","Cochin",1
"Madras Presidency","Nilgiris",3
"Madras Presidency","Madura",5
"Madras Presidency","Pudukota",3
"Madras Presidency","Tanjore",7
"Madras Presidency","Trichinopoly",8
"Madras Presidency","South Arcot",10
"Madras Presidency","Coimbatore",4
"Madras Presidency","Salem",9
"Madras Presidency","Madras",13
"Madras Presidency","Chingleput",12
"Madras Presidency","South Canara",1
"Mysore","Mysore",6
"Mysore","Bangalore",5
"Mysore","Hassan",7
"Mysore","Kadur",8
"Mysore","Shimoga",1
"Madras Presidency","Malabar",2
"Mysore","Tumkur",3
"Mysore","Chitaldurg",2
"Bengal Province","Hill Tippera",2
"Assam Province","Sylhet",11
"Assam Province","Cachar",10
"Assam Province","Garo Hills",2
"Assam Province","Goalpara",1
"Bengal Province","Kuch Bihar",1
"Bengal Province","Jalpaiguri",13
"Assam Province","Naga Hills",8
"Assam Province","Sibsagar",7
"Assam Province","Lakhimpur",6
"Assam Province","Kamrup",3
"Assam Province","Darrang",5
"Assam Province","Nowgong",4
"Assam Province","Khasi and Jaintia Hills",9
"Assam Province","Khasi States",1
"North West Province","Ghazipur",45
"Bengal Province","Midnapur",1
"Bengal Province","Howrah",2
"Bengal Province","24 - Parganas",5
"Bengal Province","Bankura",8
"Bengal Province","Birbhum",9
"Bengal Province","Murshidabad",10
"Bengal Province","Bardwan",7
"Bengal Province","Nadia",6
"Bengal Province","Bhagalpur",5
"Bengal Province","Purnea",6
"Bengal Province","Monghyr",9
"Bengal Province","Santal Parganas",8
"Bengal Province","Malda",7
"Bengal Province","Dinajpur",11
"Bengal Province","Patna",10
"Bengal Province","Gaya",12
"Bengal Province","Shahabad",11
"North West Province","Allahabad",48
"North West Province","Jaunpur",44
"Bengal Province","Chang Bhakar",1
"Bengal Province","Bonai",7
"Bengal Province","Singhbhum",5
"Bengal Province","Palamau",1
"Bengal Province","Udaipur",4
"Bengal Province","Jashpur",5
"Bengal Province","Gangpur",6
"Bengal Province","Lohardaga",2
"Bengal Province","Manbhum",4
"Bengal Province","Hazaribagh",3
"Rajputana Agency","Jeysalmir",14
"Ajmer Merwara","Ajmer",1
"Rajputana Agency","Kishangarh",12
"Ajmer Merwara","Merwara",2
"Rajputana Agency","Marwar and Malani",13
"Madras Presidency","Anantapur",15
"Madras Presidency","Cuddapah",14
"Madras Presidency","Nellore",18
"Madras Presidency","Bellary",16
"Madras Presidency","Banganapalle",5
"Madras Presidency","Kurnool",17
"Bombay Presidency","Kanara",18
"Bombay Presidency","Sangli",57
"Bombay Presidency","Belgaum",17
"Bombay Presidency","Ramdurg",61
"Bombay Presidency","Mudhol",60
"Bombay Presidency","Jamkhandi",59
"Bombay Presidency","Kolhapur",56
"Bombay Presidency","Jath",55
"Bombay Presidency","Bijapur",15
"Bombay Presidency","Dharwar",16
"Bombay Presidency","Akalkot",54
"Bombay Presidency","Sawantwadi",62
"Bombay Presidency","Miraj",58
"Bombay Presidency","Oundh",53
"Bombay Presidency","Sholapur",14
"Bombay Presidency","Bhor",51
"Bombay Presidency","Poona",10
"Bombay Presidency","Ratnagiri",12
"Bombay Presidency","Satara",13
"Bombay Presidency","Janjira",50
"Bombay Presidency","Kolaba",11
"Bombay Presidency","Ahmednagar",9
"Bombay Presidency","Nasik",7
"Bombay Presidency","Bansda",46
"Bombay Presidency","The Dangs",45
"Bombay Presidency","Surgana",47
"Bombay Presidency","Jawahar",49
"Bombay Presidency","Thana",6
"Central Province","Seoni",9
"Central Province","Nimar",1
"Central Province","Makrai",1
"Central Province","Narsinghpur",5
"Central Province","Hoshangabad",2
"Central Province","Mandla",18
"Central India Agency","Nimawar (Indore)",20
"Central India Agency","Bhopal",25
"Central India Agency","Rampura (Indore)",3
"Central India Agency","Sitamau",5
"Central India Agency","Mandsaur (Gwalior)",1
"Central India Agency","Dewas",4
"Central India Agency","Mathwar",12
"Central India Agency","Kukshi (Indore)",13
"Central India Agency","Dhar",16
"Central India Agency","Bori",9
"Central India Agency","Ali-Rajpur",11
"Central India Agency","Jobat",10
"Central India Agency","Jhabua",8
"Central India Agency","Sailana",7
"Central India Agency","Amjhera (Gwalior)",17
"Central India Agency","Indore",15
"Central India Agency","Burwani",14
"Bombay Presidency","Mewas",43
"Bombay Presidency","Surat",5
"Bombay Presidency","Broach",4
"Bombay Presidency","Rajpipla",44
"Bombay Presidency","Cambay",41
"Baroda","Baroda",3
"Bombay Presidency","Sankheda Mehwas",42
"Bombay Presidency","Chota Udepur",39
"Bombay Presidency","Bariya",38
"Bombay Presidency","Sanjeli",37
"Bombay Presidency","Suigam",26
"Bombay Presidency","Cutch",22
"Bombay Presidency","Bantwa",2
"Bombay Presidency","Virpur",12
"Bombay Presidency","Gondal",13
"Bombay Presidency","Khairasra",16
"Bombay Presidency","Dhrol",15
"Bombay Presidency","Nawanagar",14
"Bombay Presidency","Malia",20
"Bombay Presidency","Morvi",18
"Bombay Presidency","Dhrangadra",21
"Bombay Presidency","Wankaner",19
"Bombay Presidency","Eastern Kathiawar Agency",64
"Baroda","Amreli",1
"Bombay Presidency","Palitana",6
"Bombay Presidency","Bagasra",10
"Bombay Presidency","Kotrasangani",9
"Bombay Presidency","Lathi",7
"Bombay Presidency","Junagarh",3
"Bombay Presidency","Kaira",2
"Bombay Presidency","Ahmedabad",1
"Baroda","Kadi",2
"Bombay Presidency","Panch Mahals",3
"Bombay Presidency","Sunth",36
"Bombay Presidency","Kadana",35
"Bombay Presidency","Lunwara",34
"Bombay Presidency","Balasinor",33
"Bombay Presidency","Mahikantha Agency",32
"Rajputana Agency","Dungarpur",16
"Rajputana Agency","Banswara and Kushalgarh",17
"Rajputana Agency","Partabgarh",18
"Bombay Presidency","Diodar",29
"Bombay Presidency","Wao",27
"Bombay Presidency","Tharad",28
"Bombay Presidency","Palanpur",31
"Rajputana Agency","Meywar",19
"Central India Agency","Jaora",2
"Central India Agency","Ujjain (Gwalior)",18
"Central India Agency","Mehidpur (Indore)",19
"Central India Agency","Shajapur (Gwalior)",21
"Central India Agency","Narsinghgarh",22
"Central India Agency","Khilchipur",23
"Central India Agency","Rajgarh",24
"Rajputana Agency","Tonk",10
"Rajputana Agency","Lawa (chiefship)",11
"North West Province","Agra",17
"Rajputana Agency","Dholpur",5
"Rajputana Agency","Karauli",6
"Rajputana Agency","Bharatpur",4
"Rajputana Agency","Alwar",3
"Rajputana Agency","Bikanir",1
"Central India Agency","Khaniadhana",27
"Central India Agency","Datia",28
"Central India Agency","Samthar",29
"Central India Agency","Gwalior",26
"Central Province","Sakti",15
"Central Province","Sarangarh",13
"Central Province","Raigarh",14
"Bengal Province","Ranpur",5
"Bengal Province","Puri",1
"Bengal Province","Keonjhar",15
"Central Province","Patna",9
"Central Province","Kalahandi",8
"Madras Presidency","Vizagapatam",21
"Hyderabad","Mahbubnagar",15
"Hyderabad","Lingsugur",17
"Hyderabad","Raichur",16
"Hyderabad","Gulbarga",11
"Hyderabad","Naldrug",10
"Hyderabad","Aurangabad",1
"Hyderabad","Birh",9
"Hyderabad","Parbhani",2
"Bombay Presidency","Khandesh",8
"Berar","Buldana",1
"Berar","Basim",6
"Berar","Akola",2
"Berar","Ellichpur",3
"Central Province","Chhindwara",4
"Central Province","Betul",3
"Central Province","Nagpur",10
"Rajputana Agency","Shahpura (chiefship",20
"Rajputana Agency","Jhallawar",7
"Rajputana Agency","Bundi",9
"Rajputana Agency","Kota",8
"Central Province","Damoh",7
"Central Province","Saugor",6
"Central Province","Nandgaon",4
"Central Province","Chhuikhadan",5
"Central Province","Khairagarh",3
"Central Province","Jubbulpore",8
"Central Province","Balaghat",14
"Central Province","Kawardha",2
"Central Province","Bilaspur",17
"Central Province","Bhandara",13
"Berar","Wun",5
"Central Province","Wardha",11
"Central Province","Kanker",6
"Central Province","Raipur",15
"Central Province","Chanda",12
"Central Province","Bastar",7
"Hyderabad","Indur",4
"Hyderabad","Sirpur Tandur",5
"Hyderabad","Atraf-i-Balda",12
"Hyderabad","Bidar",8
"Hyderabad","Elgandal",6
"Hyderabad","Nalgonda",14
"Madras Presidency","Kistna",19
"Madras Presidency","Godavari",20
"Madras Presidency","Ganjam",22
"Central Province","Sambalpur",16
"Central Province","Bamra",12
"Central Province","Rairakhol",11
"Central Province","Sonpur",10
"Bengal Province","Kharsawan",9
"Bengal Province","Seraikela",8
"Bengal Province","Baramba",9
"Bengal Province","Angul",4
"Bengal Province","Khandpara",6
"Bengal Province","Narsinghpur",7
"Bengal Province","Daspalla",3
"Bengal Province","Athmalik",2
"Bengal Province","Boad",1
"Bengal Province","Nayagarh",4
"Bengal Province","Nilgiri",16
"Bengal Province","Moharbhanj",17
"Bengal Province","Balasore",3
"Bengal Province","Cuttack",2
"Bengal Province","Pal Lahara",14
"Bengal Province","Talcher",13
"Bengal Province","Hindol",8
"Bengal Province","Tigaria",10
"Bengal Province","Athgarh",11
"Bengal Province","Dhenkanal",12
"North West Province","Farrukhabad",20
"Bombay Presidency","Jasdan",8
"Bombay Presidency","Bhavnagar",5
"Bombay Presidency","Wardhi",24
"Bombay Presidency","Kankrej (Thara)",30
"Bombay Presidency","Radhanpur",25
"Bombay Presidency","Pandu Mehwas",40
"North West Province","Jalaun",36
"Bengal Province","Sirguja",3
"Bengal Province","Korea",2
"Madras Presidency","North Arcot",11
"Mysore","Kolar",4
"Rajputana Agency","Jeypore",2
"Bengal Province","Darjeeling",12
"Madras Presidency","Sandur",4
"Bengal Province","Calcutta",4
"North West Province","Rampur",2
"Bombay Presidency","Phaltan",52
"Bombay Presidency","Santalpur",23
"Bombay Presidency","Jetpur",11
"Berar","Amraoti",4
"Bombay Presidency","Dharampur",48
"Bombay Presidency","Porbandar",1
"Bombay Presidency","Jafrabad",4
"Baroda","Navsari",4
"Karikal","Karikal",0
"Jammu and Kashmir","Jammu and Kashmir",0
"Punjab","Punjab",0
"Unknown","Unknown",0
"Nepal","Nepal",0
"Bengal Province","Bengal Province",30
"Pondicherry","Pondicherry",0
"Coorg","Coorg",0
"Mahe","Mahe",0
"Naga Tribes","Naga Tribes",0
"Manipur","Manipur",0
"Lushai Hills","Lushai Hills",0
"Bhutan","Bhutan",0
"North East Frontier Agency","North East Frontier Agency",0
"Rann Of Kutch","Rann Of Kutch",0
"Goa","Goa",0
"Bombay Presidency","Bombay Presidency",56
"Daman","Daman",0
"Bombay Presidency","Bombay Presidency",0
"Rajputana Agency","Sirohi and Abu",15
"Hyderabad","Hyderabad",36
"Hyderabad","Hyderabad",7
"Bombay Presidency","Bombay Presidency",63
"Sikkim","Sikkim",0
"Sri Lanka","Sri Lanka",0
