state_name,district_name,id,value
Punjab,Punjab,10,
Punjab,Punjab,11,
Punjab,Punjab,12,
Punjab,Punjab,14,
Punjab,Punjab,1,
Punjab,Punjab,2,
Punjab,Punjab,3,
Central Province,Central Province,18,
Bengal Province,Bihar,6,
Punjab,Punjab,13,
Punjab,Punjab,16,
Punjab,Punjab,17,
Punjab,Punjab,9,
Punjab,Punjab,5,
Punjab,Punjab,4,
Punjab,Punjab,6,
Punjab,Punjab,8,
Punjab,Punjab,7,
Punjab,Punjab,15,
Central India Agency,Central India Agency,42,
Bengal Province,Bihar,8,
Bengal Province,Bihar,7,
Bengal Province,Bengal,11,
Bengal Province,Bihar,5,
Assam Province,Assam Province,11,
Assam Province,Assam Province,12,
Assam Province,Assam Province,9,
Assam Province,Assam Province,10,
Assam Province,Assam Province,8,
Assam Province,Assam Province,7,
Assam Province,Assam Province,4,
Assam Province,Assam Province,1,
Assam Province,Assam Province,2,
Assam Province,Assam Province,5,
Assam Province,Assam Province,3,
Bengal Province,Bengal,1,
Bengal Province,Bengal,12,
Bengal Province,Bengal,13,
Bengal Province,Bihar,2,
North West Province,North West Province,28,
North West Province,North West Province,29,
North West Province,North West Province,12,
North West Province,North West Province,10,
North West Province,North West Province,13,
North West Province,North West Province,6,
North West Province,North West Province,9,
North West Province,North West Province,7,
North West Province,North West Province,1,
North West Province,North West Province,2,
Punjab,Punjab,18,
North West Province,North West Province,3,
North West Province,North West Province,4,
North West Province,North West Province,8,
North West Province,North West Province,14,
North West Province,North West Province,17,
North West Province,North West Province,36,
North West Province,North West Province,35,
North West Province,North West Province,33,
North West Province,North West Province,21,
North West Province,North West Province,20,
North West Province,North West Province,22,
North West Province,North West Province,32,
North West Province,North West Province,23,
North West Province,North West Province,27,
Bengal Province,Bihar,1,
North West Province,North West Province,24,
North West Province,North West Province,5,
North West Province,North West Province,11,
North West Province,North West Province,15,
North West Province,North West Province,19,
North West Province,North West Province,18,
North West Province,North West Province,31,
North West Province,North West Province,25,
North West Province,North West Province,26,
North West Province,North West Province,40,
North West Province,North West Province,30,
North West Province,North West Province,41,
Bengal Province,Bihar,11,
North West Province,North West Province,44,
North West Province,North West Province,45,
North West Province,North West Province,46,
North West Province,North West Province,43,
North West Province,North West Province,42,
Bengal Province,Bihar,3,
Bengal Province,Bihar,4,
Bengal Province,Bihar,9,
Bengal Province,Bihar,12,
Bengal Province,Chota Nagpore,1,
Bengal Province,Chota Nagpore,5,
Bengal Province,Chota Nagpore,7,
Bengal Province,Chota Nagpore,4,
Bengal Province,Chota Nagpore,3,
Bengal Province,Chota Nagpore,2,
North West Province,North West Province,37,
Central India Agency,Central India Agency,34,
Central India Agency,Central India Agency,30,
Central India Agency,Central India Agency,33,
Central India Agency,Central India Agency,31,
Central India Agency,Central India Agency,39,
Central India Agency,Central India Agency,41,
Central India Agency,Central India Agency,37,
Central India Agency,Central India Agency,35,
Central India Agency,Central India Agency,32,
Central India Agency,Central India Agency,36,
Central India Agency,Central India Agency,40,
North West Province,North West Province,47,
North West Province,North West Province,48,
North West Province,North West Province,38,
Central India Agency,Central India Agency,46,
Central India Agency,Central India Agency,45,
North West Province,North West Province,39,
North West Province,North West Province,34,
Bengal Province,Chota Nagpore,6,
Bengal Province,Chota Nagpore,8,
Bengal Province,Chota Nagpore,9,
