"state_name","district_name","id","value"
"Madras Presidency","Tinnevelly",6,""
"Madras Presidency","Travancore",2,""
"Punjab","Gurdaspur",1,""
"Punjab","Amritsar",2,""
"Madras Presidency","Tanjore",8,""
"Madras Presidency","Ramnad",7,""
"Madras Presidency","Madura",5,""
"Madras Presidency","Pudukkottai",3,""
"Madras Presidency","Trichinopoly",9,""
"Madras Presidency","South Arcot",11,""
"Madras Presidency","Nellore",20,""
"Madras Presidency","North Arcot",12,""
"Madras Presidency","Madras",14,""
"Madras Presidency","Chingleput",13,""
"Bengal Province","Mayurbhanj",21,""
"Bengal Province","Nilgiri",22,""
"Bengal Province","Balasore",1,""
"Bengal Province","Keonjhar",20,""
"Bengal Province","Puri",3,""
"Bengal Province","Cuttack",2,""
"Bengal Province","Bamra",19,""
"Bengal Province","Pal Lahara",17,""
"Bengal Province","Sambalpur",5,""
"Bengal Province","Khandpara",9,""
"Bengal Province","Ranpur",8,""
"Bengal Province","Nayagarh",7,""
"Bengal Province","Patna",2,""
"Bengal Province","Dhenkanal",14,""
"Bengal Province","Athgarh",13,""
"Bengal Province","Tigiria",12,""
"Bengal Province","Baramba",11,""
"Bengal Province","Narsinghpur",10,""
"Bengal Province","Hindol",15,""
"Bengal Province","Talcher",16,""
"Bengal Province","Angul",4,""
"Bengal Province","Athmallik",5,""
"Bengal Province","Daspalla",6,""
"Bengal Province","Sonpur",3,""
"Bengal Province","Rairakhol",18,""
"Bengal Province","Baud",4,""
"Madras Presidency","Ganjam",25,""
"Bengal Province","Kalahandi",1,""
"Madras Presidency","Vizagapatam",24,""
"Madras Presidency","Godavari",23,""
"Madras Presidency","Kistna",22,""
"Madras Presidency","Guntur",21,""
"Madras Presidency","Cochin",1,""
"Madras Presidency","Banganapalle",4,""
"Madras Presidency","Kurnool",19,""
"Madras Presidency","Cuddapah",16,""
"Mysore","Shimoga",1,""
"Madras Presidency","Sandur",5,""
"Madras Presidency","Bellary",18,""
"Madras Presidency","South Canara",1,""
"Mysore","Kadur",8,""
"Madras Presidency","Anantapur",17,""
"Mysore","Tumkur",3,""
"Mysore","Chitaldrug",2,""
"Madras Presidency","Chittoor",15,""
"Mysore","Kolar",4,""
"Mysore","Bangalore",5,""
"Madras Presidency","Salem",10,""
"Madras Presidency","Coimbatore",4,""
"Mysore","Hassan",7,""
"Mysore","Mysore",6,""
"Madras Presidency","Nilgiris",3,""
"Madras Presidency","Malabar",2,""
"Bengal Province","Darjeeling",11,""
"Eastern Bengal and Assam","Naga Hills",11,""
"Eastern Bengal and Assam","Lakhimpur",9,""
"Eastern Bengal and Assam","Sibsagar",10,""
"Eastern Bengal and Assam","Hill Tippera",2,""
"Eastern Bengal and Assam","Lushai Hills",15,""
"Eastern Bengal and Assam","Sylhet",14,""
"Eastern Bengal and Assam","Khasi and Jaintia Hills",12,""
"Eastern Bengal and Assam","Darrang",8,""
"Bengal Province","Cooch Behar",1,""
"Eastern Bengal and Assam","Jalpaiguri",3,""
"Eastern Bengal and Assam","Goalpara",4,""
"Eastern Bengal and Assam","Garo Hills",5,""
"Eastern Bengal and Assam","Khasi States",1,""
"Eastern Bengal and Assam","Cachar",13,""
"Eastern Bengal and Assam","Nowgong",7,""
"Eastern Bengal and Assam","Kamrup",6,""
"Punjab","Faridkot",2,""
"Punjab","Kapurthala",1,""
"Punjab","Jullundur",11,""
"Punjab","Nabha",3,""
"Punjab","Patiala",5,""
"Punjab","Malerkotla",4,""
"Punjab","Ferozepur",3,""
"Punjab","Ludhiana",10,""
"Punjab","Hoshiarpur",12,""
"Punjab","Chamba",10,""
