state_name,block_name,value
Andaman & Nicobar,Car Nicobar,1
Andaman & Nicobar,Mayabunder,2
Andaman & Nicobar,Nancowry,3
Andaman & Nicobar,Port Blair,4
Andhra Pradesh,A.Konduru,5
Andhra Pradesh,Achanta,6
Andhra Pradesh,Addanki,7
Andhra Pradesh,Addateegala,8
Andhra Pradesh,Adoni,9
Andhra Pradesh,Agali,10
Andhra Pradesh,Agiripalle,11
Andhra Pradesh,Ainavilli,12
Andhra Pradesh,Akividu,13
Andhra Pradesh,Alamuru,14
Andhra Pradesh,Allagadda,15
Andhra Pradesh,Allavaram,16
Andhra Pradesh,Allur,17
Andhra Pradesh,Alur,18
Andhra Pradesh,Amadagur,19
Andhra Pradesh,Amadalavalasa,20
Andhra Pradesh,Amalapuram,21
Andhra Pradesh,Amarapuram,22
Andhra Pradesh,Amaravathi,23
Andhra Pradesh,Ambajipeta,24
Andhra Pradesh,Amruthalur,25
Andhra Pradesh,Anakapalle,26
Andhra Pradesh,Anandapuram,27
Andhra Pradesh,Anantapur,28
Andhra Pradesh,Ananthagiri,29
Andhra Pradesh,Ananthasagaram,30
Andhra Pradesh,Anaparthy,31
Andhra Pradesh,Anumasamudrampeta,32
Andhra Pradesh,Araku Valley,33
Andhra Pradesh,Ardhaveedu,34
Andhra Pradesh,Aspari,35
Andhra Pradesh,Atchampet,36
Andhra Pradesh,Atchutapuram,37
Andhra Pradesh,Atlur,38
Andhra Pradesh,Atmakur,39
Andhra Pradesh,Atreyapuram,40
Andhra Pradesh,Attili,41
Andhra Pradesh,Avanigadda,42
Andhra Pradesh,B.Kodur,43
Andhra Pradesh,B.Kothakota,44
Andhra Pradesh,Badangi,45
Andhra Pradesh,Badvel,46
Andhra Pradesh,Baireddipalle,47
Andhra Pradesh,Balayapalle,48
Andhra Pradesh,Balijipeta,49
Andhra Pradesh,Ballikurava,50
Andhra Pradesh,Banaganapalle,51
Andhra Pradesh,Bandi Atmakur,52
Andhra Pradesh,Bangarupalem,53
Andhra Pradesh,Bantumilli,54
Andhra Pradesh,Bapatla,55
Andhra Pradesh,Bapulapadu,56
Andhra Pradesh,Bathalapalle,57
Andhra Pradesh,Bellamkonda,58
Andhra Pradesh,Beluguppa,59
Andhra Pradesh,Bestawaripeta,60
Andhra Pradesh,Bethamcherla,61
Andhra Pradesh,Bhamini,62
Andhra Pradesh,Bhattiprolu,63
Andhra Pradesh,Bheemunipatnam,64
Andhra Pradesh,Bhimadole,65
Andhra Pradesh,Bhimavaram,66
Andhra Pradesh,Bhogapuram,67
Andhra Pradesh,Biccavolu,68
Andhra Pradesh,Bobbili,69
Andhra Pradesh,Bogole,70
Andhra Pradesh,Bollapalle,71
Andhra Pradesh,Bommanahal,72
Andhra Pradesh,Bondapalle,73
Andhra Pradesh,Brahmamgarimattam,74
Andhra Pradesh,Brahmasamudram,75
Andhra Pradesh,Buchinaidu Kandriga,76
Andhra Pradesh,Buchireddipalem,77
Andhra Pradesh,Bukkapatnam,78
Andhra Pradesh,Bukkaraya Samudram,79
Andhra Pradesh,Burja,80
Andhra Pradesh,Butchayyapeta,81
Andhra Pradesh,Buttayagudem,82
Andhra Pradesh,C.Belagal,83
Andhra Pradesh,Chagalamarri,84
Andhra Pradesh,Chagallu,85
Andhra Pradesh,Chakrayapet,86
Andhra Pradesh,Challapalle,87
Andhra Pradesh,Chandarlapadu,88
Andhra Pradesh,Chandra Sekhara Puram,89
Andhra Pradesh,Chandragiri,90
Andhra Pradesh,Chapad,91
Andhra Pradesh,Chatrai,92
Andhra Pradesh,Chebrolu,93
Andhra Pradesh,Cheedikada,94
Andhra Pradesh,Cheepurupalle,95
Andhra Pradesh,Chejerla,96
Andhra Pradesh,Chennekothapalle,97
Andhra Pradesh,Chennur,98
Andhra Pradesh,Cherukupalle H/O Arumbaka,99
Andhra Pradesh,Chilakaluripet  H/O.Purushotha Patnam,100
Andhra Pradesh,Chilamathur,1
Andhra Pradesh,Chillakur,2
Andhra Pradesh,Chimakurthi,3
Andhra Pradesh,Chinaganjam,4
Andhra Pradesh,Chinnagottigallu,5
Andhra Pradesh,Chinnamandem,6
Andhra Pradesh,Chintalapudi,7
Andhra Pradesh,Chintapalle,8
Andhra Pradesh,Chinthakommadinne,9
Andhra Pradesh,Chintur,10
Andhra Pradesh,Chippagiri,11
Andhra Pradesh,Chirala,12
Andhra Pradesh,Chittamur,13
