state_name,district_name,value
Andaman & Nicobar,Andamans,1
Andaman & Nicobar,Nicobars,2
Andhra Pradesh,Anantapur,3
Andhra Pradesh,Chittoor,4
Andhra Pradesh,East godavari,5
Andhra Pradesh,Guntur,6
Andhra Pradesh,Kadapa,7
Andhra Pradesh,Krishna,8
Andhra Pradesh,Kurnool,9
Andhra Pradesh,Prakasam,10
Andhra Pradesh,Spsr nellore,11
Andhra Pradesh,Srikakulam,12
Andhra Pradesh,Visakhapatanam,13
Andhra Pradesh,Vizianagaram,14
Andhra Pradesh,West godavari,15
Arunachal Pradesh,Anjaw,16
Arunachal Pradesh,Changlang,17
Arunachal Pradesh,Dibang Valley,18
Arunachal Pradesh,East Kameng,19
Arunachal Pradesh,East Siang,20
Arunachal Pradesh,Kurung Kumey,21
Arunachal Pradesh,Lohit,22
Arunachal Pradesh,Lower Dibang Valley,23
Arunachal Pradesh,Lower Subansiri,24
Arunachal Pradesh,Papum Pare,25
Arunachal Pradesh,Tawang,26
Arunachal Pradesh,Tirap,27
Arunachal Pradesh,Upper Siang,28
Arunachal Pradesh,Upper Subansiri,29
Arunachal Pradesh,West Kameng,30
Arunachal Pradesh,West Siang,31
Assam,Baksa,32
Assam,Barpeta,33
Assam,Bongaigaon,34
Assam,Cachar,35
Assam,Chirang,36
Assam,Darrang,37
Assam,Dhemaji,38
Assam,Dhuburi,39
Assam,Dibrugarh,40
Assam,Goalpara,41
Assam,Golaghat,42
Assam,Hailakandi,43
Assam,Jorhat,44
Assam,Kamrrup Rural,45
Assam,Kamrup metro,46
Assam,Karbi Anglong,47
Assam,Karimganj,48
Assam,Kokrajhar,49
Assam,Lakhimpur,50
Assam,Morigaon,51
Assam,Nagaon,52
Assam,Nalbari,53
Assam,NC Hills,54
Assam,Sibsagar,55
Assam,Sonitpur,56
Assam,Tinsukia,57
Assam,Udalguri,58
Bihar,Araria,59
Bihar,Arwal,60
Bihar,Aurangabad,61
Bihar,Banka,62
Bihar,Begusarai,63
Bihar,Bhagalpur,64
Bihar,Bhojpur,65
Bihar,Buxar,66
Bihar,Darbhanga,67
Bihar,Gaya,68
Bihar,Gopalganj,69
Bihar,Jahanabad,70
Bihar,Jamui,71
Bihar,Kaimur (Bhabua),72
Bihar,Katihar,73
Bihar,Khagaria,74
Bihar,Kishanganj,75
Bihar,Lakhisarai,76
Bihar,Madhepura,77
