state_name,district_name,value
A & N Islands,Nicobars,1
A & N Islands,North And Middle Andaman,2
A & N Islands,South Andamans,3
Andhra Pradesh,Alluri Sitharama Raju,4
Andhra Pradesh,Anakapalli,5
Andhra Pradesh,Anantapur,6
Andhra Pradesh,Annamayya,7
Andhra Pradesh,Bapatla,8
Andhra Pradesh,Chittoor,9
Andhra Pradesh,East Godavari,10
Andhra Pradesh,Eluru,11
Andhra Pradesh,Guntur,12
Andhra Pradesh,Kakinada,13
Andhra Pradesh,Konaseema,14
Andhra Pradesh,Krishna,15
Andhra Pradesh,Kurnool,16
Andhra Pradesh,Nandyal,17
Andhra Pradesh,Ntr,18
Andhra Pradesh,Palnadu,19
Andhra Pradesh,Parvathipuram Manyam,20
Andhra Pradesh,Prakasam,21
Andhra Pradesh,Spsr Nellore,22
Andhra Pradesh,Sri Sathya Sai,23
Andhra Pradesh,Srikakulam,24
Andhra Pradesh,Tirupati,25
Andhra Pradesh,Visakhapatanam,26
Andhra Pradesh,Vizianagaram,27
Andhra Pradesh,West Godavari,28
Andhra Pradesh,Y.s.r.,29
Arunachal Pradesh,Anjaw,30
Arunachal Pradesh,Changlang,31
Arunachal Pradesh,Dibang Valley,32
Arunachal Pradesh,East Kameng,33
Arunachal Pradesh,East Siang,34
Arunachal Pradesh,Itanagar Capital Complex,35
Arunachal Pradesh,Kamle,36
Arunachal Pradesh,Kra Daadi,37
Arunachal Pradesh,Kurung Kumey,38
Arunachal Pradesh,Leparada,39
Arunachal Pradesh,Lohit,40
Arunachal Pradesh,Longding,41
Arunachal Pradesh,Lower Dibang Valley,42
Arunachal Pradesh,Lower Siang,43
Arunachal Pradesh,Lower Subansiri,44
Arunachal Pradesh,Namsai,45
Arunachal Pradesh,Pakke Kessang,46
Arunachal Pradesh,Papum Pare,47
Arunachal Pradesh,Shi Yomi,48
Arunachal Pradesh,Siang,49
Arunachal Pradesh,Tawang,50
Arunachal Pradesh,Tirap,51
Arunachal Pradesh,Upper Siang,52
Arunachal Pradesh,Upper Subansiri,53
Arunachal Pradesh,West Kameng,54
Arunachal Pradesh,West Siang,55
Assam,Bajali,56
Assam,Baksa,57
Assam,Barpeta,58
Assam,Biswanath,59
Assam,Bongaigaon,60
Assam,Cachar,61
Assam,Charaideo,62
Assam,Chirang,63
Assam,Darrang,64
Assam,Dhemaji,65
Assam,Dhubri,66
Assam,Dibrugarh,67
Assam,Dima Hasao,68
Assam,Goalpara,69
Assam,Golaghat,70
Assam,Hailakandi,71
Assam,Hojai,72
Assam,Jorhat,73
Assam,Kamrup,74
Assam,Kamrup Metro,75
Assam,Karbi Anglong,76
Assam,Karimganj,77
Assam,Kokrajhar,78
Assam,Lakhimpur,79
Assam,Majuli,80
Assam,Marigaon,81
Assam,Nagaon,82
Assam,Nalbari,83
Assam,Sivasagar,84
Assam,Sonitpur,85
Assam,South Salmara Mancachar,86
Assam,Tamulpur,87
Assam,Tinsukia,88
Assam,Udalguri,89
Assam,West Karbi Anglong,90
Bihar,Araria,91
Bihar,Arwal,92
Bihar,Aurangabad,93
Bihar,Banka,94
Bihar,Begusarai,95
Bihar,Bhagalpur,96
Bihar,Bhojpur,97
Bihar,Buxar,98
Bihar,Darbhanga,99
Bihar,Gaya,100
Bihar,Gopalganj,1
Bihar,Jamui,2
Bihar,Jehanabad,3
Bihar,Kaimur (Bhabua),4
Bihar,Katihar,5
Bihar,Khagaria,6
Bihar,Kishanganj,7
Bihar,Lakhisarai,8
Bihar,Madhepura,9
Bihar,Madhubani,10
Bihar,Munger,11
Bihar,Muzaffarpur,12
Bihar,Nalanda,13
Bihar,Nawada,14
Bihar,Pashchim Champaran,15
Bihar,Patna,16
Bihar,Purbi Champaran,17
Bihar,Purnia,18
Bihar,Rohtas,19
Bihar,Saharsa,20
Bihar,Samastipur,21
Bihar,Saran,22
Bihar,Sheikhpura,23
Bihar,Sheohar,24
Bihar,Sitamarhi,25
Bihar,Siwan,26
Bihar,Supaul,27
Bihar,Vaishali,28
Chandigarh,Chandigarh,29
Chhattisgarh,Balod,30
Chhattisgarh,Baloda Bazar,31
Chhattisgarh,Balrampur,32
Chhattisgarh,Bastar,33
Chhattisgarh,Bemetara,34
Chhattisgarh,Bijapur,35
Chhattisgarh,Bilaspur,36
Chhattisgarh,Dantewada,37
Chhattisgarh,Dhamtari,38
Chhattisgarh,Durg,39
Chhattisgarh,Gariyaband,40
Chhattisgarh,Gaurella Pendra Marwahi,41
Chhattisgarh,Janjgir-Champa,42
Chhattisgarh,Jashpur,43
Chhattisgarh,Kabirdham,44
Chhattisgarh,Kanker,45
Chhattisgarh,Khairgarh Chhuikhadan Gandai,46
Chhattisgarh,Kondagaon,47
Chhattisgarh,Korba,48
Chhattisgarh,Korea,49
Chhattisgarh,Mahasamund,50
Chhattisgarh,Manendragarh Chirimiri Bharatpur,51
Chhattisgarh,Mohla Manpur Ambagarh Chouki,52
Chhattisgarh,Mungeli,53
Chhattisgarh,Narayanpur,54
Chhattisgarh,Raigarh,55
Chhattisgarh,Raipur,56
Chhattisgarh,Rajnandgaon,57
Chhattisgarh,Sakti,58
Chhattisgarh,Sarangarh Bilaigarh,59
Chhattisgarh,Sukma,60
Chhattisgarh,Surajpur,61
Chhattisgarh,Surguja,62
Delhi,Central,63
Delhi,East,64
Delhi,New Delhi,65
Delhi,North,66
Delhi,North East,67
Delhi,North West,68
Delhi,Shahdara,69
Delhi,South,70
Delhi,South East,71
Delhi,South West,72
Delhi,West,73
DNHDD,Dadra And Nagar Haveli,74
DNHDD,Daman,75
DNHDD,Diu,76
Goa,North Goa,77
Goa,South Goa,78
Gujarat,Ahmadabad,79
Gujarat,Amreli,80
Gujarat,Anand,81
Gujarat,Arvalli,82
Gujarat,Banas Kantha,83
Gujarat,Bharuch,84
Gujarat,Bhavnagar,85
Gujarat,Botad,86
Gujarat,Chhotaudepur,87
Gujarat,Dang,88
Gujarat,Devbhumi Dwarka,89
Gujarat,Dohad,90
Gujarat,Gandhinagar,91
Gujarat,Gir Somnath,92
Gujarat,Jamnagar,93
Gujarat,Junagadh,94
Gujarat,Kachchh,95
Gujarat,Kheda,96
Gujarat,Mahesana,97
Gujarat,Mahisagar,98
Gujarat,Morbi,99
Gujarat,Narmada,100
Gujarat,Navsari,1
Gujarat,Panch Mahals,2
Gujarat,Patan,3
Gujarat,Porbandar,4
Gujarat,Rajkot,5
Gujarat,Sabar Kantha,6
Gujarat,Surat,7
Gujarat,Surendranagar,8
Gujarat,Tapi,9
Gujarat,Vadodara,10
Gujarat,Valsad,11
Haryana,Ambala,12
Haryana,Bhiwani,13
Haryana,Charki Dadri,14
Haryana,Faridabad,15
Haryana,Fatehabad,16
Haryana,Gurugram,17
Haryana,Hisar,18
Haryana,Jhajjar,19
Haryana,Jind,20
Haryana,Kaithal,21
Haryana,Karnal,22
Haryana,Kurukshetra,23
Haryana,Mahendragarh,24
Haryana,Nuh,25
Haryana,Palwal,26
Haryana,Panchkula,27
Haryana,Panipat,28
Haryana,Rewari,29
Haryana,Rohtak,30
Haryana,Sirsa,31
Haryana,Sonipat,32
Haryana,Yamunanagar,33
Himachal Pradesh,Bilaspur,34
Himachal Pradesh,Chamba,35
Himachal Pradesh,Hamirpur,36
Himachal Pradesh,Kangra,37
Himachal Pradesh,Kinnaur,38
Himachal Pradesh,Kullu,39
Himachal Pradesh,Lahul And Spiti,40
Himachal Pradesh,Mandi,41
Himachal Pradesh,Shimla,42
Himachal Pradesh,Sirmaur,43
Himachal Pradesh,Solan,44
Himachal Pradesh,Una,45
Jammu & Kashmir,Anantnag,46
Jammu & Kashmir,Bandipora,47
Jammu & Kashmir,Baramulla,48
Jammu & Kashmir,Budgam,49
Jammu & Kashmir,Doda,50
Jammu & Kashmir,Ganderbal,51
Jammu & Kashmir,Jammu,52
Jammu & Kashmir,Kathua,53
Jammu & Kashmir,Kishtwar,54
Jammu & Kashmir,Kulgam,55
Jammu & Kashmir,Kupwara,56
Jammu & Kashmir,Poonch,57
Jammu & Kashmir,Pulwama,58
Jammu & Kashmir,Rajouri,59
Jammu & Kashmir,Ramban,60
Jammu & Kashmir,Reasi,61
Jammu & Kashmir,Samba,62
Jammu & Kashmir,Shopian,63
Jammu & Kashmir,Srinagar,64
Jammu & Kashmir,Udhampur,65
Jharkhand,Bokaro,66
Jharkhand,Chatra,67
Jharkhand,Deoghar,68
Jharkhand,Dhanbad,69
Jharkhand,Dumka,70
Jharkhand,East Singhbum,71
Jharkhand,Garhwa,72
