category,id,geojson_file,source,year,description,display_name,state,label
state,census-1872-states,India-1872-states.geojson,Census 1872,1872,"State boundaries from the 1872 Census of India","","",""
district,census-1872-districts,India-1872-districts.geojson,Census 1872,1872,"District boundaries from the 1872 Census of India","","",""
state,census-1881-states,India-1881-states.geojson,Census 1881,1881,"State boundaries from the 1881 Census of India","","",""
district,census-1881-districts,India-1881-districts.geojson,Census 1881,1881,"District boundaries from the 1881 Census of India","","",""
state,census-1891-states,India-1891-states.geojson,Census 1891,1891,"State boundaries from the 1891 Census of India","","",""
district,census-1891-districts,India-1891-districts.geojson,Census 1891,1891,"District boundaries from the 1891 Census of India","","",""
state,census-1901-states,India-1901-states.geojson,Census 1901,1901,"State boundaries from the 1901 Census of India","","",""
district,census-1901-districts,India-1901-districts.geojson,Census 1901,1901,"District boundaries from the 1901 Census of India","","",""
state,census-1911-states,India-1911-states.geojson,Census 1911,1911,"State boundaries from the 1911 Census of India","","",""
district,census-1911-districts,India-1911-districts.geojson,Census 1911,1911,"District boundaries from the 1911 Census of India","","",""
state,census-1921-states,India-1921-states.geojson,Census 1921,1921,"State boundaries from the 1921 Census of India","","",""
district,census-1921-districts,India-1921-districts.geojson,Census 1921,1921,"District boundaries from the 1921 Census of India","","",""
state,census-1931-states,India-1931-states.geojson,Census 1931,1931,"State boundaries from the 1931 Census of India","","",""
district,census-1931-districts,India-1931-districts.geojson,Census 1931,1931,"District boundaries from the 1931 Census of India","","",""
state,census-1941-states,India-1941-states.geojson,Census 1941,1941,"State boundaries from the 1941 Census of India","","",""
district,census-1941-districts,India-1941-districts.geojson,Census 1941,1941,"District boundaries from the 1941 Census of India","","",""
state,census-1951-states,India-1951-states.geojson,Census 1951,1951,"State boundaries from the 1951 Census of India","","",""
district,census-1951-districts,India-1951-districts.geojson,Census 1951,1951,"District boundaries from the 1951 Census of India","","",""
state,census-1961-states,India-1961-states.geojson,Census 1961,1961,"State boundaries from the 1961 Census of India","","",""
district,census-1961-districts,India-1961-districts.geojson,Census 1961,1961,"District boundaries from the 1961 Census of India","","",""
state,census-1971-states,India-1971-states.geojson,Census 1971,1971,"State boundaries from the 1971 Census of India","","",""
district,census-1971-districts,India-1971-districts.geojson,Census 1971,1971,"District boundaries from the 1971 Census of India","","",""
state,census-1981-states,India-1981-states.geojson,Census 1981,1981,"State boundaries from the 1981 Census of India","","",""
district,census-1981-districts,India-1981-districts.geojson,Census 1981,1981,"District boundaries from the 1981 Census of India","","",""
state,census-1991-states,India-1991-states.geojson,Census 1991,1991,"State boundaries from the 1991 Census of India","","",""
district,census-1991-districts,India-1991-districts.geojson,Census 1991,1991,"District boundaries from the 1991 Census of India","","",""
state,census-2001-states,India-2001-states.geojson,Census 2001,2001,"State boundaries from the 2001 Census of India","","",""
district,census-2001-districts,India-2001-districts.geojson,Census 2001,2001,"District boundaries from the 2001 Census of India","","",""
state,census-2011-states,India-2011-states.geojson,Census 2011,2011,"State boundaries from the 2011 Census of India","","",""
district,census-2011-districts,India-2011-districts.geojson,Census 2011,2011,"District boundaries from the 2011 Census of India","","",""
state,lgd-states,India_LGD_states.geojson,LGD (Latest Official),2024,"Latest official state boundaries from the Local Government Directory","","",""
district,lgd-districts,India_LGD_districts.geojson,LGD (Latest Official),2024,"Latest official district boundaries from the Local Government Directory","","",""
state,nfhs4-states,India_NFHS4_states_simplified.geojson,NFHS-4 (2015-16),2016,"State boundaries from NFHS-4 survey (2015-16)","","",""
district,nfhs4-districts,India_NFHS4_districts_simplified.geojson,NFHS-4 (2015-16),2016,"District boundaries from NFHS-4 survey (2015-16)","","",""
state,nfhs5-states,India_NFHS5_states_simplified.geojson,NFHS-5 (2019-21),2021,"State boundaries from NFHS-5 survey (2019-21)","","",""
district,nfhs5-districts,India_NFHS5_districts_simplified.geojson,NFHS-5 (2019-21),2021,"District boundaries from NFHS-5 survey (2019-21)","","",""
state,soi-states,India-soi-states.geojson,Survey of India,2020,"State boundaries from the Survey of India","","",""
district,soi-districts,India-soi-districts.geojson,Survey of India,2020,"District boundaries from the Survey of India","","",""
state,bhuvan-states,India-bhuvan-states.geojson,ISRO Bhuvan,2020,"State boundaries from ISRO Bhuvan satellite data","","",""
district,bhuvan-districts,India-bhuvan-districts.geojson,ISRO Bhuvan,2020,"District boundaries from ISRO Bhuvan satellite data","","",""
region,nsso-regions,India_NFHS5_NSSO_regions_boundaries.geojson,NSSO,2021,"NSSO regional boundaries based on NFHS-5","","",""
city,ahmedabad,cities/ahmedabad.geojson,DataMeet,,"","Ahmedabad","Gujarat","Wards"
city,bangalore,cities/bangalore.geojson,DataMeet,,"","Bangalore","Karnataka","BBMP Wards (2022)"
city,bangalore_old_wards,cities/bangalore_old_wards.geojson,DataMeet,,"","Bangalore","Karnataka","Old Wards (pre-2022)"
city,bhopal,cities/bhopal.geojson,DataMeet,,"","Bhopal","Madhya Pradesh","Wards"
city,bhubaneswar,cities/bhubaneswar.geojson,DataMeet,,"","Bhubaneswar","Odisha","Wards"
city,bodh_gaya,cities/bodh_gaya.geojson,DataMeet,,"","Bodh Gaya","Bihar","Wards"
city,chandigarh,cities/chandigarh.geojson,DataMeet,,"","Chandigarh","Chandigarh","Wards"
city,chennai,cities/chennai.geojson,DataMeet,,"","Chennai","Tamil Nadu","Wards"
city,chennai_zones,cities/chennai_zones.geojson,DataMeet,,"","Chennai","Tamil Nadu","Zones"
city,coimbatore,cities/coimbatore.geojson,DataMeet,,"","Coimbatore","Tamil Nadu","Wards"
city,delhi,cities/delhi.geojson,DataMeet,,"","Delhi","Delhi","Wards"
city,delhi_boundary,cities/delhi_boundary.geojson,DataMeet,,"","Delhi","Delhi","Boundary"
city,faridabad,cities/faridabad.geojson,DataMeet,,"","Faridabad","Haryana","Wards"
city,hyderabad,cities/hyderabad.geojson,DataMeet,,"","Hyderabad","Telangana","Wards"
city,indore,cities/indore.geojson,SBM/AMRUT,,"","Indore","Madhya Pradesh","Wards"
city,jaipur,cities/jaipur.geojson,DataMeet,,"","Jaipur","Rajasthan","Wards"
