state_name,constituency_name,value
ANDHRA PRADESH,Achampet (SC),1
ANDHRA PRADESH,Achanta,2
ANDHRA PRADESH,Addanki,3
ANDHRA PRADESH,Adilabad,4
ANDHRA PRADESH,Adoni,5
ANDHRA PRADESH,Alair,6
ANDHRA PRADESH,Alampur (SC),7
ANDHRA PRADESH,Allagadda,8
ANDHRA PRADESH,Alur,9
ANDHRA PRADESH,Amadalavalasa,10
ANDHRA PRADESH,Amalapuram (SC),11
ANDHRA PRADESH,Amberpet,12
ANDHRA PRADESH,Anakapalle,13
ANDHRA PRADESH,Anantapur Urban,14
ANDHRA PRADESH,Anaparthy,15
ANDHRA PRADESH,Andole (SC),16
ANDHRA PRADESH,Araku Valley (ST),17
ANDHRA PRADESH,Armur,18
ANDHRA PRADESH,Asifabad (ST),19
ANDHRA PRADESH,Aswaraopeta (ST),20
ANDHRA PRADESH,Atmakur,21
ANDHRA PRADESH,Avanigadda,22
ANDHRA PRADESH,Badvel (SC),23
ANDHRA PRADESH,Bahadurpura,24
ANDHRA PRADESH,Balkonda,25
ANDHRA PRADESH,Banaganapalle,26
ANDHRA PRADESH,Banswada,27
ANDHRA PRADESH,Bapatla,28
ANDHRA PRADESH,Bellampalle (SC),29
ANDHRA PRADESH,Bhadrachalam (ST),30
ANDHRA PRADESH,Bhimavaram,31
ANDHRA PRADESH,Bhimili,32
ANDHRA PRADESH,Bhongir,33
ANDHRA PRADESH,Bhupalpalle,34
ANDHRA PRADESH,Boath (ST),35
ANDHRA PRADESH,Bobbili,36
ANDHRA PRADESH,Bodhan,37
ANDHRA PRADESH,Chandragiri,38
ANDHRA PRADESH,Chandrayangutta,39
ANDHRA PRADESH,Charminar,40
ANDHRA PRADESH,Cheepurupalle,41
ANDHRA PRADESH,Chennur (SC),42
ANDHRA PRADESH,Chevella (SC),43
ANDHRA PRADESH,Chilakaluripet,44
ANDHRA PRADESH,Chintalapudi (SC),45
ANDHRA PRADESH,Chirala,46
ANDHRA PRADESH,Chittoor,47
ANDHRA PRADESH,Chodavaram,48
ANDHRA PRADESH,Choppadandi (SC),49
ANDHRA PRADESH,Darsi,50
ANDHRA PRADESH,Denduluru,51
ANDHRA PRADESH,Devarakonda (ST),52
ANDHRA PRADESH,Devarkadra,53
ANDHRA PRADESH,Dharmapuri (SC),54
ANDHRA PRADESH,Dharmavaram,55
ANDHRA PRADESH,Dhone,56
ANDHRA PRADESH,Dornakal (ST),57
ANDHRA PRADESH,Dubbak,58
ANDHRA PRADESH,Eluru,59
ANDHRA PRADESH,Etcherla,60
ANDHRA PRADESH,Gadwal,61
ANDHRA PRADESH,Gajapathinagaram,62
ANDHRA PRADESH,Gajuwaka,63
ANDHRA PRADESH,Gajwel,64
ANDHRA PRADESH,Gangadhara Nellore (SC),65
ANDHRA PRADESH,Gannavaram,66
ANDHRA PRADESH,Gannavaram (SC),67
ANDHRA PRADESH,Ghanpur (Station) (SC),68
ANDHRA PRADESH,Giddalur,69
ANDHRA PRADESH,Gopalapuram (SC),70
ANDHRA PRADESH,Goshamahal,71
ANDHRA PRADESH,Gudivada,72
ANDHRA PRADESH,Gudur (SC),73
ANDHRA PRADESH,Guntakal,74
ANDHRA PRADESH,Guntur East,75
ANDHRA PRADESH,Guntur West,76
ANDHRA PRADESH,Gurajala,77
ANDHRA PRADESH,Hindupur,78
ANDHRA PRADESH,Husnabad,79
ANDHRA PRADESH,Huzurabad,80
ANDHRA PRADESH,Huzurnagar,81
ANDHRA PRADESH,Ibrahimpatnam,82
ANDHRA PRADESH,Ichchapuram,83
ANDHRA PRADESH,Jadcherla,84
ANDHRA PRADESH,Jaggampeta,85
ANDHRA PRADESH,Jaggayyapeta,86
ANDHRA PRADESH,Jagtial,87
ANDHRA PRADESH,Jammalamadugu,88
ANDHRA PRADESH,Jangoan,89
ANDHRA PRADESH,Jubilee Hills,90
ANDHRA PRADESH,Jukkal (SC),91
ANDHRA PRADESH,Kadapa,92
ANDHRA PRADESH,Kadiri,93
ANDHRA PRADESH,Kaikalur,94
ANDHRA PRADESH,Kakinada City,95
ANDHRA PRADESH,Kakinada Rural,96
ANDHRA PRADESH,Kalwakurthy,97
ANDHRA PRADESH,Kalyandurg,98
ANDHRA PRADESH,Kamalapuram,99
ANDHRA PRADESH,Kamareddy,100
ANDHRA PRADESH,Kandukur,1
ANDHRA PRADESH,Kanigiri,2
ANDHRA PRADESH,Karimnagar,3
ANDHRA PRADESH,Karwan,4
ANDHRA PRADESH,Kavali,5
ANDHRA PRADESH,Khairatabad,6
ANDHRA PRADESH,Khammam,7
ANDHRA PRADESH,Khanapur (ST),8
ANDHRA PRADESH,Kodad,9
ANDHRA PRADESH,Kodangal,10
ANDHRA PRADESH,Kodumur (SC),11
ANDHRA PRADESH,Kodur (SC),12
ANDHRA PRADESH,Kollapur,13
ANDHRA PRADESH,Kondapi (SC),14
ANDHRA PRADESH,Koratla,15
ANDHRA PRADESH,Kothagudem,16
ANDHRA PRADESH,Kothapeta,17
ANDHRA PRADESH,Kovur,18
ANDHRA PRADESH,Kovvur (SC),19
ANDHRA PRADESH,Kukatpalle,20
ANDHRA PRADESH,Kuppam,21
ANDHRA PRADESH,Kurnool,22
ANDHRA PRADESH,Kurupam (ST),23
ANDHRA PRADESH,Lal Bahadur Nagar,24
ANDHRA PRADESH,Macherla,25
ANDHRA PRADESH,Machilipatnam,26
ANDHRA PRADESH,Madakasira (SC),27
ANDHRA PRADESH,Madanapalle,28
