state_name,block_name,value
ANDAMAN & NICOBAR,CAMPBELL BAY,1
ANDAMAN & NICOBAR,CAR NICOBAR,2
ANDAMAN & NICOBAR,DIGLIPUR,3
ANDAMAN & NICOBAR,FERRARGUNJ,4
ANDAMAN & NICOBAR,LITTLE ANDAMAN,5
ANDAMAN & NICOBAR,MAYABUNDER,6
ANDAMAN & NICOBAR,NANCOWRIE,7
ANDAMAN & NICOBAR,PROTHRAPUR,8
ANDAMAN & NICOBAR,RANGAT,9
ANDHRA PRADESH,A.KONDURU,10
ANDHRA PRADESH,ACHANTA,11
ANDHRA PRADESH,ACHUTAPURAM,12
ANDHRA PRADESH,ADDANKI,13
ANDHRA PRADESH,ADDATEEGALA,14
ANDHRA PRADESH,ADONI,15
ANDHRA PRADESH,AGALI,16
ANDHRA PRADESH,AGIRIPALLI,17
ANDHRA PRADESH,AINAVILLI,18
ANDHRA PRADESH,AKIVIDU,19
ANDHRA PRADESH,ALAMURU,20
ANDHRA PRADESH,ALLAGADDA,21
ANDHRA PRADESH,ALLAVARAM,22
ANDHRA PRADESH,ALLUR,23
ANDHRA PRADESH,ALUR,24
ANDHRA PRADESH,AMADAGUR,25
ANDHRA PRADESH,AMADALAVALASA,26
ANDHRA PRADESH,AMALAPURAM,27
ANDHRA PRADESH,AMARAPURAM,28
ANDHRA PRADESH,AMARAVATHI,29
ANDHRA PRADESH,AMBAJIPETA,30
ANDHRA PRADESH,AMRUTHALUR,31
ANDHRA PRADESH,ANAKAPALLE,32
ANDHRA PRADESH,ANANDAPURAM,33
ANDHRA PRADESH,ANANTAPUR,34
ANDHRA PRADESH,ANANTHAGIRI,35
ANDHRA PRADESH,ANANTHASAGARAM,36
ANDHRA PRADESH,ANAPARTHY,37
ANDHRA PRADESH,ANUMASAMUDRAMPETA,38
ANDHRA PRADESH,ARAKU VALLEY,39
ANDHRA PRADESH,ARDHAVEEDU,40
ANDHRA PRADESH,ASPARI,41
ANDHRA PRADESH,ATCHEMPET,42
ANDHRA PRADESH,ATLUR,43
ANDHRA PRADESH,ATMAKUR,44
ANDHRA PRADESH,ATREYAPURAM,45
ANDHRA PRADESH,ATTILI,46
ANDHRA PRADESH,AVANIGADDA,47
ANDHRA PRADESH,B.KODUR,48
ANDHRA PRADESH,B.KOTHAKOTA,49
ANDHRA PRADESH,BADANGI,50
ANDHRA PRADESH,BADVEL,51
ANDHRA PRADESH,BAIREDDIPALLE,52
ANDHRA PRADESH,BALAYAPALLE,53
ANDHRA PRADESH,BALIJIPETA,54
ANDHRA PRADESH,BALLIKURAVA,55
ANDHRA PRADESH,BANAGANAPALLE,56
ANDHRA PRADESH,BANDI ATMAKUR,57
ANDHRA PRADESH,BANGARUPALEM,58
ANDHRA PRADESH,BANTUMILLI,59
ANDHRA PRADESH,BAPATLA,60
ANDHRA PRADESH,BAPULAPADU,61
ANDHRA PRADESH,BATHALAPALLE,62
ANDHRA PRADESH,BELLAMKONDA,63
ANDHRA PRADESH,BELUGUPPA,64
ANDHRA PRADESH,BESTAVARIPETA,65
ANDHRA PRADESH,BETHAMCHERLA,66
ANDHRA PRADESH,BHAMINI,67
ANDHRA PRADESH,BHATTIPROLU,68
ANDHRA PRADESH,BHEEMUNIPATNAM,69
ANDHRA PRADESH,BHIMADOLE,70
ANDHRA PRADESH,BHIMAVARAM,71
ANDHRA PRADESH,BHOGHAPURAM,72
ANDHRA PRADESH,BICCAVOLU,73
ANDHRA PRADESH,BOBBILI,74
ANDHRA PRADESH,BOGOLE,75
ANDHRA PRADESH,BOLLAPALLE,76
ANDHRA PRADESH,BOMMANAHAL,77
ANDHRA PRADESH,BONDAPALLE,78
ANDHRA PRADESH,BRAHMAMGARIMATHAM.,79
ANDHRA PRADESH,BRAHMASAMUDRAM,80
ANDHRA PRADESH,BUCHINADIDU KHANDRIGA,81
ANDHRA PRADESH,BUKKAPATNAM,82
ANDHRA PRADESH,BUKKARAYASAMUDRAM,83
ANDHRA PRADESH,BURJA,84
ANDHRA PRADESH,BUTCHAYYAPETA,85
ANDHRA PRADESH,BUTCHIREDDIPALEM,86
ANDHRA PRADESH,BUTTAYAGUDEM,87
ANDHRA PRADESH,C.BELAGAL,88
ANDHRA PRADESH,CHAGALAMARRI,89
ANDHRA PRADESH,CHAGALLU,90
ANDHRA PRADESH,CHAKRAYAPET,91
ANDHRA PRADESH,CHALLAPALLI,92
ANDHRA PRADESH,CHANDARLAPADU,93
ANDHRA PRADESH,CHANDRA SEKHARA PURAM,94
ANDHRA PRADESH,CHANDRAGIRI,95
ANDHRA PRADESH,CHAPADU,96
ANDHRA PRADESH,CHATRAI,97
ANDHRA PRADESH,CHEBROLE,98
ANDHRA PRADESH,CHEEDIKADA,99
ANDHRA PRADESH,CHEEPURUPALLE,100
ANDHRA PRADESH,CHEJERLA,1
ANDHRA PRADESH,CHENNEKOTHAPALLE,2
ANDHRA PRADESH,CHENNUR,3
ANDHRA PRADESH,CHERUKUPALLE,4
ANDHRA PRADESH,CHILAKALURIPET,5
ANDHRA PRADESH,CHILAMATHUR,6
ANDHRA PRADESH,CHILLAKUR,7
ANDHRA PRADESH,CHIMAKURTHI,8
ANDHRA PRADESH,CHINAGANJAM,9
ANDHRA PRADESH,CHINNAGOTTIGALLU,10
ANDHRA PRADESH,CHINNAMANDEM,11
ANDHRA PRADESH,CHINTAKOMMA DINNE,12
ANDHRA PRADESH,CHINTALAPUDI,13
ANDHRA PRADESH,CHINTAPALLE,14
ANDHRA PRADESH,CHINTOOR,15
ANDHRA PRADESH,CHIPPAGIRI,16
ANDHRA PRADESH,CHIRALA,17
ANDHRA PRADESH,CHITTAMUR,18
ANDHRA PRADESH,CHITTOOR,19
ANDHRA PRADESH,CHITVEL,20
ANDHRA PRADESH,CHODAVARAM,21
ANDHRA PRADESH,CHOWDEPALLE,22
ANDHRA PRADESH,CUMBUM,23
ANDHRA PRADESH,D.HIREHAL,24
ANDHRA PRADESH,DACHEPALLE,25
ANDHRA PRADESH,DAGADARTHI,26
ANDHRA PRADESH,DAKKILI,27
ANDHRA PRADESH,DARSI,28
ANDHRA PRADESH,DATTIRAJERU,29
ANDHRA PRADESH,DENDULURU,30
ANDHRA PRADESH,DENKADA,31
ANDHRA PRADESH,DEVANAKONDA,32
ANDHRA PRADESH,DEVARAPALLE,33
ANDHRA PRADESH,DEVIPATNAM,34
ANDHRA PRADESH,DHARMAVARAM,35
ANDHRA PRADESH,DHONE ALIAS DRONACHALAM,36
ANDHRA PRADESH,DONAKONDA,37
ANDHRA PRADESH,DORAVARISATRAM,38
ANDHRA PRADESH,DORNALA,39
ANDHRA PRADESH,DORNIPADU,40
ANDHRA PRADESH,DUGGIRALA,41
ANDHRA PRADESH,DUMBRIGUDA,42
ANDHRA PRADESH,DURGI,43
ANDHRA PRADESH,DUTTALUR,44
ANDHRA PRADESH,DUVVUR,45
ANDHRA PRADESH,DWARAKATIRUMALA,46
ANDHRA PRADESH,EDLAPADU,47
ANDHRA PRADESH,ELAMANCHILI,48
ANDHRA PRADESH,ELURU,49
ANDHRA PRADESH,ETCHERLA,50
ANDHRA PRADESH,G.KONDURU,51
ANDHRA PRADESH,G.MADUGULA,52
ANDHRA PRADESH,GADIVEMULA,53
ANDHRA PRADESH,GAJAPATHINAGARAM,54
ANDHRA PRADESH,GAJUWAKA,55
ANDHRA PRADESH,GALIVEEDU,56
ANDHRA PRADESH,GAMPALAGUDEM,57
ANDHRA PRADESH,GANAPAVARAM,58
ANDHRA PRADESH,GANDEPALLE,59
ANDHRA PRADESH,GANDLAPENTA,60
ANDHRA PRADESH,GANGADHARA NELLORE,61
ANDHRA PRADESH,GANGAVARAM,62
ANDHRA PRADESH,GANGUVARISIGADAM,63
ANDHRA PRADESH,GANNAVARAM,64
ANDHRA PRADESH,GANTYADA,65
ANDHRA PRADESH,GARA,66
ANDHRA PRADESH,GARIVIDI,67
ANDHRA PRADESH,GARLADINNE,68
ANDHRA PRADESH,GARUGUBILLI,69
ANDHRA PRADESH,GHANTASALA,70
ANDHRA PRADESH,GIDDALURU,71
ANDHRA PRADESH,GOKAVARAM,72
ANDHRA PRADESH,GOLLAPROLU,73
ANDHRA PRADESH,GOLUGONDA,74
ANDHRA PRADESH,GONEGANDLA,75
ANDHRA PRADESH,GOOTY,76
ANDHRA PRADESH,GOPALAPURAM,77
ANDHRA PRADESH,GOPAVARAM,78
ANDHRA PRADESH,GORANTLA,79
ANDHRA PRADESH,GOSPADU,80
ANDHRA PRADESH,GUDEM KOTHA VEEDHI,81
ANDHRA PRADESH,GUDIBANDA,82
ANDHRA PRADESH,GUDIPALA,83
ANDHRA PRADESH,GUDIVADA,84
