state_name,constituency_name,value
ANDAMAN & NICOBAR,ANDAMAN & NICOBAR,1
ANDHRA PRADESH,AMALAPURAM (SC),2
ANDHRA PRADESH,ANAKAPALLE,3
ANDHRA PRADESH,ANANTAPUR,4
ANDHRA PRADESH,ARAKU (ST),5
ANDHRA PRADESH,BAPATLA (SC),6
ANDHRA PRADESH,CHITTOOR (SC),7
ANDHRA PRADESH,ELURU,8
ANDHRA PRADESH,GUNTUR,9
ANDHRA PRADESH,HINDUPUR,10
ANDHRA PRADESH,KADAPA,11
ANDHRA PRADESH,KAKINADA,12
ANDHRA PRADESH,KURNOOL,13
ANDHRA PRADESH,MACHILIPATNAM,14
ANDHRA PRADESH,NANDYAL,15
ANDHRA PRADESH,NARASARAOPET,16
ANDHRA PRADESH,NARSAPURAM,17
ANDHRA PRADESH,NELLORE,18
ANDHRA PRADESH,ONGOLE,19
ANDHRA PRADESH,RAJAHMUNDRY,20
ANDHRA PRADESH,RAJAMPET,21
ANDHRA PRADESH,SRIKAKULAM,22
ANDHRA PRADESH,TIRUPATI (SC),23
ANDHRA PRADESH,VIJAYAWADA,24
ANDHRA PRADESH,VISAKHAPATNAM,25
ANDHRA PRADESH,VIZIANAGARAM,26
ARUNACHAL PRADESH,ARUNACHAL EAST,27
ARUNACHAL PRADESH,ARUNACHAL WEST,28
ASSAM,AUTONOMOUS DISTRICT (ST),29
ASSAM,BARPETA,30
ASSAM,DHUBRI,31
ASSAM,DIBRUGARH,32
ASSAM,GAUHATI,33
ASSAM,JORHAT,34
ASSAM,KALIABOR,35
ASSAM,KARIMGANJ (SC),36
ASSAM,KOKRAJHAR (ST),37
ASSAM,LAKHIMPUR,38
ASSAM,MANGALDOI,39
ASSAM,NOWGONG,40
ASSAM,SILCHAR,41
ASSAM,TEZPUR,42
BIHAR,ARARIA,43
BIHAR,ARRAH,44
BIHAR,AURANGABAD,45
BIHAR,BANKA,46
BIHAR,BEGUSARAI,47
BIHAR,BHAGALPUR,48
BIHAR,BUXAR,49
BIHAR,DARBHANGA,50
BIHAR,GAYA (SC),51
BIHAR,GOPALGANJ (SC),52
BIHAR,HAJIPUR (SC),53
BIHAR,JAHANABAD,54
BIHAR,JAMUI (SC),55
BIHAR,JHANJHARPUR,56
BIHAR,KARAKAT,57
BIHAR,KATIHAR,58
BIHAR,KHAGARIA,59
BIHAR,KISHANGANJ,60
BIHAR,MADHEPURA,61
BIHAR,MADHUBANI,62
BIHAR,MAHARAJGANJ,63
BIHAR,MUNGER,64
BIHAR,MUZAFFARPUR,65
BIHAR,NALANDA,66
BIHAR,NAWADA,67
BIHAR,PASCHIM CHAMPARAN,68
BIHAR,PATALIPUTRA,69
BIHAR,PATNA SAHIB,70
BIHAR,PURNIA,71
BIHAR,PURVI CHAMPARAN,72
BIHAR,SAMASTIPUR (SC),73
BIHAR,SARAN,74
BIHAR,SASARAM (SC),75
BIHAR,SHEOHAR,76
BIHAR,SITAMARHI,77
BIHAR,SIWAN,78
BIHAR,SUPAUL,79
BIHAR,UJIARPUR,80
BIHAR,VAISHALI,81
BIHAR,VALMIKI NAGAR,82
CHANDIGARH,CHANDIGARH,83
CHHATTISGARH,BASTAR (ST),84
CHHATTISGARH,BILASPUR,85
CHHATTISGARH,DURG,86
CHHATTISGARH,JANJGIR-CHAMPA (SC),87
