state_name,subdistrict_name,value
ANDAMAN & NICOBAR,Car Nicobar,1
ANDAMAN & NICOBAR,Diglipur,2
ANDAMAN & NICOBAR,Ferrargunj,3
ANDAMAN & NICOBAR,Great Nicobar,4
ANDAMAN & NICOBAR,Little Andaman,5
ANDAMAN & NICOBAR,Mayabunder,6
ANDAMAN & NICOBAR,Nancowry,7
ANDAMAN & NICOBAR,Port Blair,8
ANDAMAN & NICOBAR,Rangat,9
ANDHRA PRADESH,A.Konduru,10
ANDHRA PRADESH,Achanta,11
ANDHRA PRADESH,Addanki,12
ANDHRA PRADESH,Addateegala,13
ANDHRA PRADESH,Adoni,14
ANDHRA PRADESH,Agali,15
ANDHRA PRADESH,Agiripalle,16
ANDHRA PRADESH,Ainavilli,17
ANDHRA PRADESH,Akividu,18
ANDHRA PRADESH,Alamuru,19
ANDHRA PRADESH,Allagadda,20
ANDHRA PRADESH,Allavaram,21
ANDHRA PRADESH,Allur,22
ANDHRA PRADESH,Alur,23
ANDHRA PRADESH,Amadagur,24
ANDHRA PRADESH,Amadalavalasa,25
ANDHRA PRADESH,Amalapuram,26
ANDHRA PRADESH,Amarapuram,27
ANDHRA PRADESH,Amaravathi,28
ANDHRA PRADESH,Ambajipeta,29
ANDHRA PRADESH,Amruthalur,30
ANDHRA PRADESH,Anakapalle,31
ANDHRA PRADESH,Anandapuram,32
ANDHRA PRADESH,Anantapur,33
ANDHRA PRADESH,Ananthagiri,34
ANDHRA PRADESH,Ananthasagaram,35
ANDHRA PRADESH,Anaparthy,36
ANDHRA PRADESH,Anumasamudrampeta,37
ANDHRA PRADESH,Araku Valley,38
ANDHRA PRADESH,Ardhaveedu,39
ANDHRA PRADESH,Aspari,40
ANDHRA PRADESH,Atchampet,41
ANDHRA PRADESH,Atchutapuram,42
ANDHRA PRADESH,Atlur,43
ANDHRA PRADESH,Atmakur,44
ANDHRA PRADESH,Atreyapuram,45
ANDHRA PRADESH,Attili,46
ANDHRA PRADESH,Avanigadda,47
ANDHRA PRADESH,B.Kodur,48
ANDHRA PRADESH,B.Kothakota,49
ANDHRA PRADESH,Badangi,50
ANDHRA PRADESH,Badvel,51
ANDHRA PRADESH,Baireddipalle,52
ANDHRA PRADESH,Balayapalle,53
ANDHRA PRADESH,Balijipeta,54
