state_name,nss_region,value
Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
Andhra Pradesh,Coastal Northern,2
Andhra Pradesh,Coastal Southern,3
Andhra Pradesh,Inland Southern,4
Arunachal Pradesh,Arunachal Pradesh,5
Assam,Cachar Plain,6
Assam,Central Brahamputra Plains,7
Assam,Plains Western,8
Bihar,Central,9
Bihar,Northern,10
Chandigarh,Chandigarh,11
Chhattisgarh,Mahanadi Basin,12
Chhattisgarh,Northern Chhattisgarh,13
Chhattisgarh,Southern Chhattisgarh,14
Dadra & Nagar Haveli & Daman & Diu,Dadra & Nagar Haveli,15
Dadra & Nagar Haveli & Daman & Diu,Daman & Diu,16
Goa,Goa,17
Gujarat,Dry areas,18
Gujarat,Kachchh,19
Gujarat,Plains Northern,20
Gujarat,Saurashtra,21
Gujarat,South Eastern,22
Haryana,Eastern,23
Haryana,Western,24
Himachal Pradesh,Central,25
Himachal Pradesh,Trans Himalayan & Southern,26
Jammu & Kashmir,Jhelam Valley,27
Jammu & Kashmir,Ladakh,28
Jammu & Kashmir,Mountainous,29
Jammu & Kashmir,Outer Hills,30
Jharkhand,Hazaribagh Plateau,31
Jharkhand,Ranchi Plateau,32
Karnataka,Coastal & Ghats,33
Karnataka,Inland Eastern,34
Karnataka,Inland Northern,35
Karnataka,Inland Southern,36
Kerala,Northern,37
Kerala,Southern,38
Lakshadweep,Lakshadweep,39
Madhya Pradesh,Central,40
Madhya Pradesh,Northern,41
Madhya Pradesh,South,42
Madhya Pradesh,South Western,43
Madhya Pradesh,Vindhya,44
Maharashtra,Coastal,45
Maharashtra,Eastern,46
Maharashtra,Inland Central,47
Maharashtra,Inland Eastern,48
Maharashtra,Inland Northern,49
Maharashtra,Inland Western,50
Manipur,Hills,51
Manipur,Plains,52
Meghalaya,Meghalaya,53
Nagaland,Nagaland,54
Nct Of Delhi,Delhi,55
Odisha,Coastal,56
Odisha,Northern,57
Odisha,Southern,58
Puducherry,Puducherry,59
Punjab,Northern,60
Punjab,Southern,61
Rajasthan,North Eastern,62
Rajasthan,Northern,63
Rajasthan,South Eastern,64
Rajasthan,Southern,65
Rajasthan,Western,66
Sikkim,Sikkim,67
Tamil Nadu,Coastal,68
Tamil Nadu,Coastal Northern,69
Tamil Nadu,Inland,70
Tamil Nadu,Southern,71
Telangana,Inland North Western,72
Tripura,Tripura,73
Uttar Pradesh,Eastern,74
Uttar Pradesh,Northern Upper Ganga Plains,75
Uttar Pradesh,Southern,76
Uttar Pradesh,Southern Upper Ganga Plains,77
Uttarakhand,Uttarakhand,78
West Bengal,Central Plains,79
West Bengal,Eastern Plains,80
West Bengal,Himalayan,81
West Bengal,Southern Plains,82
West Bengal,Western Plains,83
