state_name,block_name,value
Andhra Pradesh,A Konduru,1
Andhra Pradesh,Achampeta,2
Andhra Pradesh,Achanta,3
Andhra Pradesh,Addanki,4
Andhra Pradesh,Addateegala,5
Andhra Pradesh,Adoni,6
Andhra Pradesh,Agali,7
Andhra Pradesh,Agiripalle,8
Andhra Pradesh,Ainavilli,9
Andhra Pradesh,AKIVIDU,10
Andhra Pradesh,Alamuru,11
Andhra Pradesh,Allagadda,12
Andhra Pradesh,Allavaram,13
Andhra Pradesh,Allur,14
Andhra Pradesh,Alur,15
Andhra Pradesh,Amadagur,16
Andhra Pradesh,Amadalavalasa,17
Andhra Pradesh,Amalapuram,18
Andhra Pradesh,Amarapuram,19
Andhra Pradesh,Amaravathi,20
Andhra Pradesh,Ambajipeta,21
Andhra Pradesh,Amruthalur,22
Andhra Pradesh,Anakapalli,23
Andhra Pradesh,Anandapuram,24
Andhra Pradesh,Anantapur,25
Andhra Pradesh,Ananthagiri,26
Andhra Pradesh,Ananthasagaram,27
Andhra Pradesh,Anaparthi,28
Andhra Pradesh,Anumasamudrampeta,29
Andhra Pradesh,Araku Valley,30
Andhra Pradesh,Ardhaveedu,31
Andhra Pradesh,Aspari,32
Andhra Pradesh,Atchutapuram,33
Andhra Pradesh,Atlur,34
Andhra Pradesh,Atmakur,35
Andhra Pradesh,Atreyapuram,36
Andhra Pradesh,Attili,37
Andhra Pradesh,Avanigadda,38
Andhra Pradesh,B Kodur,39
Andhra Pradesh,B Kothakota,40
Andhra Pradesh,B Mattam,41
Andhra Pradesh,Badangi,42
Andhra Pradesh,Badvel,43
Andhra Pradesh,Baireddi Palle,44
Andhra Pradesh,Balayapalle,45
Andhra Pradesh,Balijipeta,46
Andhra Pradesh,Ballikuruva,47
Andhra Pradesh,Banaganapalle,48
Andhra Pradesh,Bandi Atmakur,49
Andhra Pradesh,Bangarupalem,50
Andhra Pradesh,Bantumilli,51
Andhra Pradesh,Bapatla,52
Andhra Pradesh,Bapulapadu,53
Andhra Pradesh,Bathalapalle,54
Andhra Pradesh,Bellamkonda,55
Andhra Pradesh,Beluguppa,56
Andhra Pradesh,Bestavaripeta,57
Andhra Pradesh,Bethamcherla,58
Andhra Pradesh,Bhadrachalam,59
Andhra Pradesh,Bhamini,60
Andhra Pradesh,Bhattiprolu,61
Andhra Pradesh,Bheemavaram,62
Andhra Pradesh,Bheemunipatnam,63
Andhra Pradesh,Bhimadole,64
Andhra Pradesh,Bhoghapuram,65
Andhra Pradesh,Biccavolu,66
Andhra Pradesh,Bobbili,67
Andhra Pradesh,Bogole,68
Andhra Pradesh,Bollapalle,69
Andhra Pradesh,Bommanahal,70
Andhra Pradesh,Bondapalle,71
Andhra Pradesh,Brahmasamudram,72
Andhra Pradesh,Buchinaidu Khandriga,73
Andhra Pradesh,Bukkapatnam,74
Andhra Pradesh,Bukkarayasamudram,75
Andhra Pradesh,Burgampadu,76
Andhra Pradesh,Burja,77
Andhra Pradesh,Butchayyapeta,78
Andhra Pradesh,Butchireddipalem,79
Andhra Pradesh,Buttayagudem,80
Andhra Pradesh,C K Dinne,81
Andhra Pradesh,C.Belagal,82
Andhra Pradesh,Chadrasekarapuram,83
Andhra Pradesh,Chagalamarri,84
Andhra Pradesh,Chagallu,85
Andhra Pradesh,Chakrayapet,86
Andhra Pradesh,Challapalli,87
Andhra Pradesh,Chandarlapadu,88
Andhra Pradesh,Chandragiri,89
Andhra Pradesh,Chapadu,90
Andhra Pradesh,Chatrai,91
Andhra Pradesh,Chebrole,92
Andhra Pradesh,Cheedikada,93
Andhra Pradesh,Cheepurupalle,94
Andhra Pradesh,Chejerla,95
Andhra Pradesh,Chenne Kothapalle,96
Andhra Pradesh,Chennur,97
Andhra Pradesh,Cherukupalle,98
Andhra Pradesh,Chilakaluripet,99
Andhra Pradesh,Chilamathur,100
Andhra Pradesh,Chillakur,1
Andhra Pradesh,Chimakurthi,2
Andhra Pradesh,Chinagadila,3
Andhra Pradesh,Chinaganjam,4
Andhra Pradesh,Chinnagottigallu,5
Andhra Pradesh,Chinnamandem,6
Andhra Pradesh,Chintalapudi,7
Andhra Pradesh,Chintapalle,8
Andhra Pradesh,Chintur,9
Andhra Pradesh,Chippagiri,10
Andhra Pradesh,Chirala,11
Andhra Pradesh,Chittamur,12
Andhra Pradesh,Chittoor,13
Andhra Pradesh,Chitvel,14
Andhra Pradesh,Chodavaram,15
Andhra Pradesh,Chowdepalle,16
Andhra Pradesh,Cuddapah,17
Andhra Pradesh,Cumbum,18
Andhra Pradesh,D Hirehal,19
Andhra Pradesh,Dachepalle,20
Andhra Pradesh,Dagadarthi,21
Andhra Pradesh,Dakkili,22
Andhra Pradesh,Darsi,23
Andhra Pradesh,Dattirajeru,24
Andhra Pradesh,Denduluru,25
Andhra Pradesh,Denkada,26
Andhra Pradesh,Devanakonda,27
Andhra Pradesh,Devarapalle,28
Andhra Pradesh,Devipatnam,29
Andhra Pradesh,Dharmavaram,30
Andhra Pradesh,Dhone,31
Andhra Pradesh,Donakonda,32
Andhra Pradesh,Doravarisatram,33
Andhra Pradesh,Dornala,34
Andhra Pradesh,Dornipadu,35
Andhra Pradesh,Duggirala,36
Andhra Pradesh,Dumbriguda,37
Andhra Pradesh,Durgi,38
Andhra Pradesh,Duttalur,39
Andhra Pradesh,Duvvur,40
Andhra Pradesh,Dwaraka Tirumala,41
Andhra Pradesh,Edlapadu,42
Andhra Pradesh,Eluru,43
Andhra Pradesh,Etcherla,44
Andhra Pradesh,G Konduru,45
Andhra Pradesh,Gadivemula,46
Andhra Pradesh,Gajapathinagaram,47
Andhra Pradesh,Gajuwaka,48
Andhra Pradesh,Galiveedu,49
Andhra Pradesh,Gampalagudem,50
Andhra Pradesh,Ganapavaram,51
Andhra Pradesh,Gandepalle,52
Andhra Pradesh,Gandlapenta,53
Andhra Pradesh,Gangadhara Nellore,54
Andhra Pradesh,Gangaraju Madugula,55
Andhra Pradesh,Gangavaram,56
Andhra Pradesh,Ganguvari Singadam,57
Andhra Pradesh,Gannavaram,58
Andhra Pradesh,Gantyada,59
Andhra Pradesh,Gara,60
Andhra Pradesh,Garividi,61
Andhra Pradesh,Garladinne,62
Andhra Pradesh,Garugubilli,63
Andhra Pradesh,Ghantasala,64
Andhra Pradesh,Giddaluru,65
Andhra Pradesh,Gokavaram,66
Andhra Pradesh,Gollaprolu,67
Andhra Pradesh,Golugonda,68
Andhra Pradesh,Gonegandla,69
Andhra Pradesh,Gooty,70
Andhra Pradesh,Gopalapuram,71
Andhra Pradesh,Gopavaram,72
Andhra Pradesh,Gorantla,73
Andhra Pradesh,Gospadu,74
Andhra Pradesh,Gudem Kothaveedhi,75
Andhra Pradesh,Gudibanda,76
Andhra Pradesh,Gudipala,77
Andhra Pradesh,Gudivada,78
Andhra Pradesh,Gudlavalleru,79
Andhra Pradesh,Gudluru,80
Andhra Pradesh,Gudupalle,81
Andhra Pradesh,Gudur,82
Andhra Pradesh,Gummagatta,83
Andhra Pradesh,Gummalakshmipuram,84
Andhra Pradesh,Guntakal,85
Andhra Pradesh,Guntur,86
Andhra Pradesh,Gurazala,87
Andhra Pradesh,Gurla,88
Andhra Pradesh,Gurramkonda,89
Andhra Pradesh,Halaharvi,90
Andhra Pradesh,Hanumanthunipadu,91
Andhra Pradesh,Hindupur,92
Andhra Pradesh,Hiramandalam,93
Andhra Pradesh,Holagunda,94
Andhra Pradesh,Hukumpeta,95
Andhra Pradesh,I Polavaram,96
Andhra Pradesh,Ibrahimpatnam,97
Andhra Pradesh,Ichchapuram,98
Andhra Pradesh,Indukurpet,99
Andhra Pradesh,Inkollu,100
Andhra Pradesh,Ipuru,1
Andhra Pradesh,Iragavaram,2
Andhra Pradesh,Irala,3
Andhra Pradesh,Jaggampeta,4
Andhra Pradesh,Jaggayyapeta,5
Andhra Pradesh,Jaladanki,6
Andhra Pradesh,Jalumuru,7
Andhra Pradesh,Jami,8
Andhra Pradesh,Jammalamadugu,9
Andhra Pradesh,Janakavarampanguluru,10
Andhra Pradesh,Jangareddigudem,11
Andhra Pradesh,Jeelugumilli,12
Andhra Pradesh,Jiyyamma Valasa,13
Andhra Pradesh,Jupadu Bungalow,14
Andhra Pradesh,K Kotapadu,15
Andhra Pradesh,K V P Puram,16
Andhra Pradesh,Kadiam,17
Andhra Pradesh,Kadiri,18
Andhra Pradesh,Kaikalur,19
Andhra Pradesh,Kajuluru,20
Andhra Pradesh,Kakinada (Rural),21
Andhra Pradesh,Kakumanu,22
Andhra Pradesh,Kalakada,23
Andhra Pradesh,Kalasapadu,24
Andhra Pradesh,Kalidindi,25
Andhra Pradesh,Kaligiri,26
Andhra Pradesh,Kalikiri,27
Andhra Pradesh,Kalla,28
Andhra Pradesh,Kallur,29
Andhra Pradesh,Kaluvoya,30
Andhra Pradesh,Kalyandurg,31
Andhra Pradesh,Kamalapuram,32
Andhra Pradesh,Kamavarapukota,33
Andhra Pradesh,Kambadur,34
Andhra Pradesh,Kambhamvaripalle,35
Andhra Pradesh,Kanaganapalle,36
Andhra Pradesh,Kanchika Cherla,37
Andhra Pradesh,Kanchili,38
Andhra Pradesh,Kandukur,39
Andhra Pradesh,Kanekal,40
Andhra Pradesh,Kanigiri,41
Andhra Pradesh,Kankipadu,42
Andhra Pradesh,Kapileswarapuram,43
Andhra Pradesh,Karamchedu,44
Andhra Pradesh,Karapa,45
Andhra Pradesh,Karempudi,46
Andhra Pradesh,Karlapalem,47
Andhra Pradesh,Karvetinagar,48
Andhra Pradesh,Kasimkota,49
Andhra Pradesh,Katrenikona,50
Andhra Pradesh,Kavali,51
Andhra Pradesh,Kaviti,52
Andhra Pradesh,Khajipet,53
Andhra Pradesh,Kirlampudi,54
Andhra Pradesh,Kodavalur,55
Andhra Pradesh,Kodumur,56
Andhra Pradesh,Kodur,57
Andhra Pradesh,Koduru,58
Andhra Pradesh,Koilkuntla,59
Andhra Pradesh,Kolimigundla,60
Andhra Pradesh,Kollipara,61
Andhra Pradesh,Kollur,62
Andhra Pradesh,Komarada,63
Andhra Pradesh,Komarolu,64
Andhra Pradesh,Konakanamitla,65
Andhra Pradesh,Kondapi,66
Andhra Pradesh,Kondapuram,67
Andhra Pradesh,Korisapadu,68
Andhra Pradesh,Korukonda,69
Andhra Pradesh,Kosigi,70
Andhra Pradesh,Kota,71
Andhra Pradesh,Kotabommili,72
Andhra Pradesh,Kotananduru,73
Andhra Pradesh,Kotauratla,74
Andhra Pradesh,Kothacheruvu,75
Andhra Pradesh,Kothapalle,76
Andhra Pradesh,Kothapalli,77
Andhra Pradesh,Kothapatnam,78
Andhra Pradesh,Kothapeta,79
Andhra Pradesh,Kothavalasa,80
Andhra Pradesh,Kothuru,81
Andhra Pradesh,Kovur,82
Andhra Pradesh,Kovvur,83
Andhra Pradesh,Kowthalam,84
Andhra Pradesh,Koyyalagudem,85
Andhra Pradesh,Koyyuru,86
Andhra Pradesh,Krishnagiri,87
Andhra Pradesh,Krosuru,88
Andhra Pradesh,Kruthivennu,89
Andhra Pradesh,Kudair,90
Andhra Pradesh,Kukunoor,91
Andhra Pradesh,Kunavaram,92
Andhra Pradesh,Kundurpi,93
Andhra Pradesh,Kuppam,94
Andhra Pradesh,Kurabalakota,95
Andhra Pradesh,Kurichedu,96
Andhra Pradesh,Kurnool,97
Andhra Pradesh,Kurupam,98
Andhra Pradesh,L N Peta,99
Andhra Pradesh,Lakkavarapukota,100
Andhra Pradesh,Lakkireddipalle,1
Andhra Pradesh,Laveru,2
Andhra Pradesh,Lepakshi,3
Andhra Pradesh,Lingala,4
Andhra Pradesh,Lingapalem,5
Andhra Pradesh,Lingasamudram,6
Andhra Pradesh,Machavaram,7
Andhra Pradesh,Macherla,8
Andhra Pradesh,Machilipatnam,9
Andhra Pradesh,Madakasira,10
Andhra Pradesh,Maddikera East,11
Andhra Pradesh,Maddipadu,12
Andhra Pradesh,Madugula,13
Andhra Pradesh,Mahanandi,14
Andhra Pradesh,Makavarapalem,15
Andhra Pradesh,Makkuva,16
Andhra Pradesh,Malikipuram,17
Andhra Pradesh,Mamidikuduru,18
Andhra Pradesh,Mandanpalle,19
Andhra Pradesh,Mandapeta,20
Andhra Pradesh,Mandasa,21
Andhra Pradesh,Mandavalli,22
Andhra Pradesh,Mangalagiri,23
Andhra Pradesh,Mantralayam,24
Andhra Pradesh,Manubolu,25
Andhra Pradesh,Maredumilli,26
Andhra Pradesh,Markapur,27
Andhra Pradesh,Marripadu,28
Andhra Pradesh,Marripudi,29
Andhra Pradesh,Martur,30
Andhra Pradesh,Medikonduru,31
Andhra Pradesh,Meilaputti,32
Andhra Pradesh,Mentada,33
Andhra Pradesh,Merakamudidam,34
Andhra Pradesh,Midthur,35
Andhra Pradesh,Mogalthur,36
Andhra Pradesh,Mopidevi,37
Andhra Pradesh,Movva,38
Andhra Pradesh,Muddanur,39
Andhra Pradesh,Mudigubba,40
Andhra Pradesh,Mudinepalli,41
Andhra Pradesh,Mulakalacheruvu,42
Andhra Pradesh,Mummidivaram,43
Andhra Pradesh,Munagapaka,44
Andhra Pradesh,Munchingiputtu,45
Andhra Pradesh,Mundlamuru,46
Andhra Pradesh,Muppalla,47
Andhra Pradesh,Musunuru,48
Andhra Pradesh,Muthukur,49
Andhra Pradesh,Mydukur,50
Andhra Pradesh,Mylavaram,51
Andhra Pradesh,Nadendla,52
Andhra Pradesh,Nagalapuram,53
Andhra Pradesh,Nagaram,54
Andhra Pradesh,Nagari,55
Andhra Pradesh,Nagayalanka,56
Andhra Pradesh,Naguluppalapadu,57
Andhra Pradesh,Naidupeta,58
Andhra Pradesh,Nakarikallu,59
Andhra Pradesh,Nakkapalli,60
