state_name,district_name,value
Andaman & Nicobar Islands,Nicobars,1
Andaman & Nicobar Islands,North & Middle Andaman,2
Andaman & Nicobar Islands,South Andaman,3
Andhra Pradesh,Adilabad,4
Andhra Pradesh,Anantapur,5
Andhra Pradesh,Chittoor,6
Andhra Pradesh,East Godavari,7
Andhra Pradesh,Guntur,8
Andhra Pradesh,Hyderabad,9
Andhra Pradesh,Karimnagar,10
Andhra Pradesh,Khammam,11
Andhra Pradesh,Krishna,12
Andhra Pradesh,Kurnool,13
Andhra Pradesh,Mahbubnagar,14
Andhra Pradesh,Medak,15
Andhra Pradesh,Nalgonda,16
Andhra Pradesh,Nizamabad,17
Andhra Pradesh,Prakasam,18
Andhra Pradesh,Rangareddy,19
Andhra Pradesh,Sri Potti Sriramulu Nellore,20
Andhra Pradesh,Srikakulam,21
Andhra Pradesh,Visakhapatnam,22
Andhra Pradesh,Vizianagaram,23
Andhra Pradesh,Warangal,24
Andhra Pradesh,West Godavari,25
Andhra Pradesh,Y.s.r.,26
Arunachal Pradesh,Anjaw,27
Arunachal Pradesh,Changlang,28
Arunachal Pradesh,Dibang Valley,29
Arunachal Pradesh,East Kameng,30
Arunachal Pradesh,East Siang,31
Arunachal Pradesh,Kurung Kumey,32
Arunachal Pradesh,Lohit,33
Arunachal Pradesh,Lower Dibang Valley,34
Arunachal Pradesh,Lower Subansiri,35
Arunachal Pradesh,Papum Pare,36
Arunachal Pradesh,Tawang,37
Arunachal Pradesh,Tirap,38
Arunachal Pradesh,Upper Siang,39
Arunachal Pradesh,Upper Subansiri,40
Arunachal Pradesh,West Kameng,41
Arunachal Pradesh,West Siang,42
Assam,Baksa,43
Assam,Barpeta,44
Assam,Bongaigaon,45
Assam,Cachar,46
Assam,Chirang,47
Assam,Darrang,48
Assam,Dhemaji,49
Assam,Dhubri,50
Assam,Dibrugarh,51
Assam,Dima Hasao,52
Assam,Goalpara,53
Assam,Golaghat,54
Assam,Hailakandi,55
Assam,Jorhat,56
Assam,Kamrup,57
Assam,Kamrup Metropolitan,58
Assam,Karbi Anglong,59
Assam,Karimganj,60
Assam,Kokrajhar,61
Assam,Lakhimpur,62
Assam,Morigaon,63
Assam,Nagaon,64
Assam,Nalbari,65
Assam,Sivasagar,66
Assam,Sonitpur,67
Assam,Tinsukia,68
Assam,Udalguri,69
Bihar,Araria,70
Bihar,Arwal,71
Bihar,Aurangabad,72
Bihar,Banka,73
Bihar,Begusarai,74
Bihar,Bhagalpur,75
Bihar,Bhojpur,76
Bihar,Buxar,77
Bihar,Darbhanga,78
Bihar,Gaya,79
