state_name,subdistrict_name,value
Andaman & Nicobar Islands,Car Nicobar,1
Andaman & Nicobar Islands,Diglipur,2
Andaman & Nicobar Islands,Ferrargunj,3
Andaman & Nicobar Islands,Great Nicobar,4
Andaman & Nicobar Islands,Little Andaman,5
Andaman & Nicobar Islands,Mayabunder,6
Andaman & Nicobar Islands,Nancowry,7
Andaman & Nicobar Islands,Port Blair,8
Andaman & Nicobar Islands,Rangat,9
Andhra Pradesh,A.konduru,10
Andhra Pradesh,Achampet,11
Andhra Pradesh,Achanta,12
Andhra Pradesh,Addakal,13
Andhra Pradesh,Addanki,14
Andhra Pradesh,Addateegala,15
Andhra Pradesh,Adilabad,16
Andhra Pradesh,Adoni,17
Andhra Pradesh,Agali,18
Andhra Pradesh,Agiripalle,19
Andhra Pradesh,Ainavilli,20
Andhra Pradesh,Akividu,21
Andhra Pradesh,Alair,22
Andhra Pradesh,Alampur,23
Andhra Pradesh,Alamuru,24
Andhra Pradesh,Alladurg,25
Andhra Pradesh,Allagadda,26
Andhra Pradesh,Allavaram,27
Andhra Pradesh,Allur,28
Andhra Pradesh,Alur,29
Andhra Pradesh,Amadagur,30
Andhra Pradesh,Amadalavalasa,31
Andhra Pradesh,Amalapuram,32
Andhra Pradesh,Amangal,33
Andhra Pradesh,Amarapuram,34
Andhra Pradesh,Amaravathi,35
Andhra Pradesh,Ambajipeta,36
Andhra Pradesh,Amberpet,37
Andhra Pradesh,Ameerpet,38
Andhra Pradesh,Amrabad,39
Andhra Pradesh,Amruthalur,40
Andhra Pradesh,Anakapalle,41
Andhra Pradesh,Anandapuram,42
Andhra Pradesh,Anantapur,43
Andhra Pradesh,Ananthagiri,44
Andhra Pradesh,Ananthasagaram,45
Andhra Pradesh,Anaparthy,46
Andhra Pradesh,Andole,47
Andhra Pradesh,Anumasamudrampeta,48
Andhra Pradesh,Anumula,49
Andhra Pradesh,Araku Valley,50
Andhra Pradesh,Ardhaveedu,51
Andhra Pradesh,Armur,52
Andhra Pradesh,Asifabad,53
Andhra Pradesh,Asifnagar,54
Andhra Pradesh,Aspari,55
Andhra Pradesh,Aswapuram,56
Andhra Pradesh,Aswaraopeta,57
Andhra Pradesh,Atchampet,58
Andhra Pradesh,Atchutapuram,59
Andhra Pradesh,Atlur,60
Andhra Pradesh,Atmakur,61
Andhra Pradesh,Atmakur (m),62
Andhra Pradesh,Atmakur (s),63
Andhra Pradesh,Atreyapuram,64
Andhra Pradesh,Attili,65
Andhra Pradesh,Avanigadda,66
Andhra Pradesh,B.kodur,67
Andhra Pradesh,B.kothakota,68
Andhra Pradesh,Bachannapet,69
Andhra Pradesh,Badangi,70
Andhra Pradesh,Badvel,71
Andhra Pradesh,Bahadurpura,72
Andhra Pradesh,Baireddipalle,73
Andhra Pradesh,Balanagar,74
Andhra Pradesh,Balayapalle,75
Andhra Pradesh,Balijipeta,76
Andhra Pradesh,Balkonda,77
Andhra Pradesh,Ballikurava,78
Andhra Pradesh,Balmoor,79
Andhra Pradesh,Banaganapalle,80
Andhra Pradesh,Bandi Atmakur,81
Andhra Pradesh,Bandlaguda,82
Andhra Pradesh,Bangarupalem,83
Andhra Pradesh,Banswada,84
Andhra Pradesh,Bantumilli,85
Andhra Pradesh,Bantwaram,86
Andhra Pradesh,Bapatla,87
Andhra Pradesh,Bapulapadu,88
Andhra Pradesh,Basheerabad,89
Andhra Pradesh,Bathalapalle,90
Andhra Pradesh,Bayyaram,91
Andhra Pradesh,Bazarhathnoor,92
Andhra Pradesh,Bejjanki,93
Andhra Pradesh,Bejjur,94
Andhra Pradesh,Bela,95
Andhra Pradesh,Bellamkonda,96
Andhra Pradesh,Bellampalle,97
Andhra Pradesh,Beluguppa,98
Andhra Pradesh,Bestawaripeta,99
Andhra Pradesh,Bethamcherla,100
Andhra Pradesh,Bhadrachalam,1
Andhra Pradesh,Bhainsa,2
Andhra Pradesh,Bhamini,3
Andhra Pradesh,Bhattiprolu,4
Andhra Pradesh,Bheemadevarpalle,5
Andhra Pradesh,Bheemgal,6
Andhra Pradesh,Bheemunipatnam,7
Andhra Pradesh,Bhiknoor,8
Andhra Pradesh,Bhimadole,9
Andhra Pradesh,Bhimavaram,10
