state_name,district_name,value
A & N Islands,Nicobar,1
A & N Islands,North & Middle Andaman,2
A & N Islands,South Andaman,3
Andhra Pradesh,Anantapur,4
Andhra Pradesh,Chittoor,5
Andhra Pradesh,East Godavari,6
Andhra Pradesh,Guntur,7
Andhra Pradesh,Kargil,8
Andhra Pradesh,Krishna,9
Andhra Pradesh,Kurnool,10
Andhra Pradesh,Leh,11
Andhra Pradesh,Potti Sriramulu Nellore,12
Andhra Pradesh,Prakasam,13
Andhra Pradesh,Srikakulam,14
Andhra Pradesh,Visakhapatnam,15
Andhra Pradesh,Vizianagaram,16
Andhra Pradesh,West Godavari,17
Andhra Pradesh,Y S R Kadapa,18
Arunachal Pradesh,Anjaw,19
Arunachal Pradesh,Changlang,20
Arunachal Pradesh,Dibang Valley,21
Arunachal Pradesh,East Kameng,22
Arunachal Pradesh,East Siang,23
Arunachal Pradesh,Kamle,24
Arunachal Pradesh,Kra Daadi,25
Arunachal Pradesh,Kurung Kumey,26
Arunachal Pradesh,Lepa Rada,27
Arunachal Pradesh,Lohit,28
Arunachal Pradesh,Longding,29
Arunachal Pradesh,Lower Dibang Valley,30
Arunachal Pradesh,Lower Siang,31
Arunachal Pradesh,Lower Subansiri,32
Arunachal Pradesh,Namsai,33
Arunachal Pradesh,Pakke Kessang,34
Arunachal Pradesh,Papumpare,35
Arunachal Pradesh,Shi Yomi,36
Arunachal Pradesh,Siang,37
Arunachal Pradesh,Tawang,38
Arunachal Pradesh,Tirap,39
Arunachal Pradesh,Upper Siang,40
Arunachal Pradesh,Upper Subansiri,41
Arunachal Pradesh,West Kameng,42
Arunachal Pradesh,West Siang,43
Assam,Baksa,44
Assam,Barpeta,45
Assam,Biswanath,46
Assam,Bongaigaon,47
Assam,Cachar,48
Assam,Charaideo,49
Assam,Chirang,50
Assam,Darrang,51
Assam,Dhemaji,52
Assam,Dhubri,53
Assam,Dibrugarh,54
Assam,Dima Hasao,55
Assam,Goalpara,56
Assam,Golaghat,57
Assam,Hailakandi,58
Assam,Hojai,59
Assam,Jorhat,60
Assam,Kamrup Metro,61
Assam,Kamrup Rural,62
Assam,Karbi Anglong,63
Assam,Karimganj,64
Assam,Kokrajhar,65
Assam,Lakhimpur,66
Assam,Majuli,67
Assam,Marigaon,68
Assam,Nagaon,69
Assam,Nalbari,70
Assam,Sibsagar,71
Assam,Sonitpur,72
Assam,South Salmara Mancachar,73
Assam,Tinsukia,74
Assam,Udalguri,75
Assam,West Karbi Anglong,76
Bihar,Araria,77
Bihar,Arwal,78
Bihar,Aurangabad,79
Bihar,Banka,80
Bihar,Begusarai,81
Bihar,Bhagalpur,82
Bihar,Bhojpur,83
Bihar,Buxar,84
Bihar,Darbhanga,85
Bihar,Gaya,86
Bihar,Gopalganj,87
Bihar,Jahanabad,88
Bihar,Jamui,89
Bihar,Kaimur,90
Bihar,Katihar,91
Bihar,Khagaria,92
Bihar,Kishanganj,93
Bihar,Lakhisarai,94
Bihar,Madhepura,95
Bihar,Madhubani,96
Bihar,Munger,97
Bihar,Muzaffarpur,98
Bihar,Nalanda,99
Bihar,Nawada,100
Bihar,Pashchimi Champaran,1
Bihar,Patna,2
Bihar,Purbi Champaran,3
Bihar,Purnia,4
Bihar,Rohtas,5
Bihar,Saharsa,6
Bihar,Samastipur,7
Bihar,Saran,8
Bihar,Sheikhpura,9
Bihar,Sheohar,10
Bihar,Sitamarhi,11
Bihar,Siwan,12
Bihar,Supaul,13
Bihar,Vaishali,14
Chandigarh,Chandigarh,15
Chhattisgarh,Balod,16
Chhattisgarh,Baloda Bazar,17
Chhattisgarh,Balrampur,18
Chhattisgarh,Bastar,19
Chhattisgarh,Bemetara,20
Chhattisgarh,Bijapur,21
Chhattisgarh,Bilaspur,22
Chhattisgarh,Dakshin Bastar Dantewada,23
Chhattisgarh,Dhamtari,24
Chhattisgarh,Durg,25
Chhattisgarh,Gariyaband,26
Chhattisgarh,Gaurela-Pendra-Marwahi,27
Chhattisgarh,Janjgir - Champa,28
Chhattisgarh,Jashpur,29
Chhattisgarh,Kabirdham,30
Chhattisgarh,Kondagaon,31
Chhattisgarh,Korba,32
Chhattisgarh,Korea,33
Chhattisgarh,Mahasamund,34
Chhattisgarh,Mungeli,35
Chhattisgarh,Narainpur,36
Chhattisgarh,Raigarh,37
Chhattisgarh,Raipur,38
Chhattisgarh,Raj Nandgaon,39
Chhattisgarh,Sukma,40
Chhattisgarh,Surajpur,41
Chhattisgarh,Surguja,42
Chhattisgarh,Uttar Bastar Kanker,43
Delhi,Central,44
Delhi,East,45
Delhi,New Delhi,46
Delhi,North,47
Delhi,North East,48
Delhi,North West,49
Delhi,Shahadra,50
Delhi,South,51
Delhi,South East,52
Delhi,South West,53
Delhi,West,54
Goa,North Goa,55
Goa,South Goa,56
Gujarat,Ahmadabad,57
Gujarat,Amreli,58
Gujarat,Anand,59
Gujarat,Aravalli,60
Gujarat,Banas Kantha,61
Gujarat,Bharuch,62
Gujarat,Bhavnagar,63
Gujarat,Botad,64
Gujarat,Chhota Udepur,65
Gujarat,Dahod,66
Gujarat,Dangs,67
Gujarat,Devbhumi Dwarka,68
Gujarat,Disputed (Sabar Kantha & Sirohi),69
Gujarat,Disputed (Sabar Kantha & Udaipur),70
Gujarat,Gandhinagar,71
Gujarat,Gir Somnath,72
Gujarat,Jamnagar,73
Gujarat,Junagadh,74
Gujarat,Kachchh,75
Gujarat,Kheda,76
Gujarat,Mahesana,77
Gujarat,Mahisagar,78
Gujarat,Morbi,79
Gujarat,Narmada,80
Gujarat,Navsari,81
Gujarat,Panch Mahals,82
Gujarat,Patan,83
