state_name,subdistrict_name,value
ANDAMAN & NICOBAR,CAMPBELL BAY,1
ANDAMAN & NICOBAR,CAR NICOBAR,2
ANDAMAN & NICOBAR,DIGLIPUR,3
ANDAMAN & NICOBAR,FERARGANJ,4
ANDAMAN & NICOBAR,LITTLE ANDAMAN,5
ANDAMAN & NICOBAR,MAYA BUNDAR,6
ANDAMAN & NICOBAR,NONCOWRY,7
ANDAMAN & NICOBAR,PORT BLAIR,8
ANDAMAN & NICOBAR,RANGAT,9
ANDHRA PRADESH,ACHANTA,10
ANDHRA PRADESH,ACHCHAMPETA,11
ANDHRA PRADESH,ACHCHUTAPURAM,12
ANDHRA PRADESH,ADDANKI,13
ANDHRA PRADESH,ADDATIGALA,14
ANDHRA PRADESH,ADONI,15
ANDHRA PRADESH,AGALI,16
ANDHRA PRADESH,AGIRIPALLE,17
ANDHRA PRADESH,AINAVALLI,18
ANDHRA PRADESH,AKIVIDU,19
ANDHRA PRADESH,ALAMURUI,20
ANDHRA PRADESH,ALLAGADDA,21
ANDHRA PRADESH,ALLAVARAM,22
ANDHRA PRADESH,ALLUR,23
ANDHRA PRADESH,ALUR,24
ANDHRA PRADESH,AMADAGUR,25
ANDHRA PRADESH,AMALAPURAM,26
ANDHRA PRADESH,AMARAPURAM,27
ANDHRA PRADESH,AMARAVATI,28
ANDHRA PRADESH,AMBAJIPETA,29
ANDHRA PRADESH,AMRUTALURU,30
ANDHRA PRADESH,AMUDALAVALASA,31
ANDHRA PRADESH,ANAKAPALLE,32
ANDHRA PRADESH,ANANDAPURAM,33
ANDHRA PRADESH,ANANTAGIRI,34
ANDHRA PRADESH,ANANTAPUR,35
ANDHRA PRADESH,ANANTHASAGARAM,36
ANDHRA PRADESH,ANAPARTHI,37
ANDHRA PRADESH,ANUSAMUDRAMPETA,38
ANDHRA PRADESH,ARAKU VALLEY,39
ANDHRA PRADESH,ARDHAVIDU,40
ANDHRA PRADESH,ASPARI,41
ANDHRA PRADESH,ATLAPRAGADA KONDURU,42
ANDHRA PRADESH,ATLUR,43
ANDHRA PRADESH,ATMAKUR,44
ANDHRA PRADESH,ATMAKURU,45
ANDHRA PRADESH,ATREYAPURAM,46
ANDHRA PRADESH,ATTILI,47
ANDHRA PRADESH,AVANIGADDA,48
ANDHRA PRADESH,B KODURU,49
ANDHRA PRADESH,BADANGI,50
ANDHRA PRADESH,BADVEL,51
ANDHRA PRADESH,BAIREDDIPALLE,52
ANDHRA PRADESH,BALAIAHPALLI,53
ANDHRA PRADESH,BALIJIPETA,54
ANDHRA PRADESH,BALLIKURAVA,55
ANDHRA PRADESH,BANDI ATMAKURU,56
ANDHRA PRADESH,BANGANAPALLE,57
ANDHRA PRADESH,BANGARUPALEM,58
ANDHRA PRADESH,BANTUMMILLI,59
ANDHRA PRADESH,BAPATLA,60
ANDHRA PRADESH,BAPULAPADU,61
ANDHRA PRADESH,BATHALAPALLE,62
ANDHRA PRADESH,BELAGAL,63
ANDHRA PRADESH,BELLAMKONDA,64
ANDHRA PRADESH,BELUGUPPA,65
ANDHRA PRADESH,BESTAVARAPUPETA,66
ANDHRA PRADESH,BETAMCHERLA,67
ANDHRA PRADESH,BHADRACHALAM,68
ANDHRA PRADESH,BHAMINI,69
ANDHRA PRADESH,BHATTIPROLU,70
ANDHRA PRADESH,BHIMADOLU,71
ANDHRA PRADESH,BHIMAVARAM,72
ANDHRA PRADESH,BHIMUNIPATNAM,73
ANDHRA PRADESH,BHOGAPURAM,74
ANDHRA PRADESH,BIKKAVOLU,75
ANDHRA PRADESH,BIRANGI KOTHAKOTA,76
ANDHRA PRADESH,BOBBILI,77
ANDHRA PRADESH,BOGOLE,78
ANDHRA PRADESH,BOLLAPALLI,79
ANDHRA PRADESH,BOMMANAHAL,80
ANDHRA PRADESH,BONDAPALLI,81
ANDHRA PRADESH,BRAHMAMGARI MATHAM,82
ANDHRA PRADESH,BRAHMASAMUDRAM,83
ANDHRA PRADESH,BUCHCHAYYAPETA,84
ANDHRA PRADESH,BUCHIREDDIPALEM,85
ANDHRA PRADESH,BUKKAPATNAM,86
ANDHRA PRADESH,BURJA,87
ANDHRA PRADESH,BUTCHINAYUDUKANDRIGA,88
ANDHRA PRADESH,BUTTAIGUDEM,89
ANDHRA PRADESH,CHAGALAMARRI,90
ANDHRA PRADESH,CHAGALLU,91
ANDHRA PRADESH,CHALLAPALLE,92
ANDHRA PRADESH,CHANDARLAPADU,93
ANDHRA PRADESH,CHANDRAGIRI,94
ANDHRA PRADESH,CHANDRASEKHARAPURAM,95
ANDHRA PRADESH,CHAPAD,96
ANDHRA PRADESH,CHATRAYI,97
ANDHRA PRADESH,CHEBROLU,98
ANDHRA PRADESH,CHEJERLA,99
ANDHRA PRADESH,CHEKRAYAPETA,100
ANDHRA PRADESH,CHENNAKESAVAPURAM,1
ANDHRA PRADESH,CHENNEKOTHAPALLE,2
ANDHRA PRADESH,CHENNUR,3
ANDHRA PRADESH,CHERUKUPALLI,4
ANDHRA PRADESH,CHIDIKADA,5
ANDHRA PRADESH,CHILAKALURIPET,6
ANDHRA PRADESH,CHILAMATHUR,7
ANDHRA PRADESH,CHILLAKUR,8
ANDHRA PRADESH,CHIMAKURTI,9
ANDHRA PRADESH,CHINNA GANJAM,10
ANDHRA PRADESH,CHINNAGOTTIGALLU,11
ANDHRA PRADESH,CHINNAMANDEM,12
ANDHRA PRADESH,CHINTAKOMMADINNE,13
ANDHRA PRADESH,CHINTALAPUDI,14
ANDHRA PRADESH,CHINTAPALLI,15
ANDHRA PRADESH,CHINTUR,16
ANDHRA PRADESH,CHIPPAGIRI,17
ANDHRA PRADESH,CHIPURUPALLE,18
ANDHRA PRADESH,CHIRALA,19
ANDHRA PRADESH,CHITTAMUR,20
ANDHRA PRADESH,CHITTOOR,21
ANDHRA PRADESH,CHITVEL,22
ANDHRA PRADESH,CHODAVARAM,23
ANDHRA PRADESH,CHOWDEPALLE,24
ANDHRA PRADESH,CHUNDURU,25
ANDHRA PRADESH,CUDDAPAH,26
ANDHRA PRADESH,DACHEPALLI,27
ANDHRA PRADESH,DAGADARTI,28
ANDHRA PRADESH,DAKKILI,29
ANDHRA PRADESH,DARSI,30
ANDHRA PRADESH,DATTIRAJERU,31
ANDHRA PRADESH,DENDULURU,32
ANDHRA PRADESH,DENKADA,33
ANDHRA PRADESH,DEVANAKONDA,34
ANDHRA PRADESH,DEVARAPALLE,35
ANDHRA PRADESH,DEVARAPALLI,36
ANDHRA PRADESH,DEVIPATNAM,37
ANDHRA PRADESH,DHARMAVARAM,38
ANDHRA PRADESH,DHONE,39
ANDHRA PRADESH,DONAKONDA,40
ANDHRA PRADESH,DORAVARISATRAM,41
ANDHRA PRADESH,DORNALA,42
ANDHRA PRADESH,DORNIPADU,43
ANDHRA PRADESH,DUGGIRALA,44
ANDHRA PRADESH,DUMBRIGUDA,45
ANDHRA PRADESH,DURGI,46
ANDHRA PRADESH,DUTTALUR,47
ANDHRA PRADESH,DUVVUR,48
ANDHRA PRADESH,DWARAKATIRUMALA,49
ANDHRA PRADESH,ECHCHERLA,50
ANDHRA PRADESH,EDLAPADU,51
ANDHRA PRADESH,ELAMANCHILI,52
ANDHRA PRADESH,ELESWARAM,53
ANDHRA PRADESH,ELURU,54
ANDHRA PRADESH,EMMIGANUR,55
ANDHRA PRADESH,ERPEDU,56
ANDHRA PRADESH,ERRAGONDAPALEM,57
ANDHRA PRADESH,G.MADUGULA,58
ANDHRA PRADESH,GADDAMANUGU KONDURU,59
ANDHRA PRADESH,GADIVEMULA,60
ANDHRA PRADESH,GAJAPATINAGARAM,61
ANDHRA PRADESH,GAJUVAKA,62
ANDHRA PRADESH,GALIVIDU,63
ANDHRA PRADESH,GAMPALAGUDEM,64
ANDHRA PRADESH,GANAPAVARAM,65
ANDHRA PRADESH,GANDEPALLE,66
ANDHRA PRADESH,GANDLAPENTA,67
ANDHRA PRADESH,GANGADHARANELLORE,68
ANDHRA PRADESH,GANGAVARAM,69
ANDHRA PRADESH,GANGUVARI SIGADAM,70
ANDHRA PRADESH,GANNAVARAM,71
ANDHRA PRADESH,GANTYADA,72
ANDHRA PRADESH,GARA,73
ANDHRA PRADESH,GARIVIDI,74
ANDHRA PRADESH,GARLADINNE,75
ANDHRA PRADESH,GARUGUBILLI,76
ANDHRA PRADESH,GHANTASALA,77
ANDHRA PRADESH,GIDDALUR,78
ANDHRA PRADESH,GOKAVARAM,79
ANDHRA PRADESH,GOLLAPROLU,80
ANDHRA PRADESH,GOLUGONDA,81
ANDHRA PRADESH,GONEGANDLA,82
ANDHRA PRADESH,GOPAVARAM,83
ANDHRA PRADESH,GORENTLA,84
