state_name,constituency_name,value
Andhra Pradesh,Achampet,1
Andhra Pradesh,Achanta,2
Andhra Pradesh,Addanki,3
Andhra Pradesh,Adilabad,4
Andhra Pradesh,Adoni,5
Andhra Pradesh,Alair,6
Andhra Pradesh,Alampur,7
Andhra Pradesh,Allagadda,8
Andhra Pradesh,Alur,9
Andhra Pradesh,Amadalavalasa,10
Andhra Pradesh,Amalapuram,11
Andhra Pradesh,Amberpet,12
Andhra Pradesh,Anakapalli,13
Andhra Pradesh,Anantapur Urban,14
Andhra Pradesh,Anaparthy,15
Andhra Pradesh,Andole,16
Andhra Pradesh,Araku Valley,17
Andhra Pradesh,Armur,18
Andhra Pradesh,Asifabad,19
Andhra Pradesh,Aswaraopeta,20
Andhra Pradesh,Atmakur,21
Andhra Pradesh,Avanigadda,22
Andhra Pradesh,Badvel,23
Andhra Pradesh,Bahadurpura,24
Andhra Pradesh,Balkonda,25
Andhra Pradesh,Banaganapalle,26
Andhra Pradesh,Banswada,27
Andhra Pradesh,Bapatla,28
Andhra Pradesh,Bellampalli,29
Andhra Pradesh,Bhadrachalam,30
Andhra Pradesh,Bhimavaram,31
Andhra Pradesh,Bhimli,32
Andhra Pradesh,Bhongir,33
Andhra Pradesh,Bhupalpalle,34
Andhra Pradesh,Boath,35
Andhra Pradesh,Bobbili,36
Andhra Pradesh,Bodhan,37
Andhra Pradesh,Chandragiri,38
Andhra Pradesh,Chandrayangutta,39
Andhra Pradesh,Charminar,40
Andhra Pradesh,Chennur,41
Andhra Pradesh,Chevella,42
Andhra Pradesh,Chilakaluripet,43
Andhra Pradesh,Chintalapudi,44
Andhra Pradesh,Chirala,45
Andhra Pradesh,Chittoor,46
Andhra Pradesh,Chodavaram,47
Andhra Pradesh,Choppadandi,48
Andhra Pradesh,Darsi,49
Andhra Pradesh,Denduluru,50
Andhra Pradesh,Devarakonda,51
Andhra Pradesh,Devarkadra,52
Andhra Pradesh,Dharmapuri,53
Andhra Pradesh,Dharmavaram,54
Andhra Pradesh,Dhone,55
Andhra Pradesh,Dornakal,56
Andhra Pradesh,Dubbak,57
Andhra Pradesh,Elamanchili,58
Andhra Pradesh,Eluru,59
Andhra Pradesh,Etcherla,60
Andhra Pradesh,Gadwal,61
Andhra Pradesh,Gajapathinagaram,62
Andhra Pradesh,Gajuwaka,63
Andhra Pradesh,Gajwel,64
Andhra Pradesh,Gangadhara Nellore,65
Andhra Pradesh,Gannavaram,66
Andhra Pradesh,Ghanpur (station),67
Andhra Pradesh,Giddalur,68
Andhra Pradesh,Gopalapuram,69
Andhra Pradesh,Goshamahal,70
Andhra Pradesh,Gudivada,71
Andhra Pradesh,Gudur,72
Andhra Pradesh,Guntakal,73
Andhra Pradesh,Guntur East,74
Andhra Pradesh,Guntur West,75
Andhra Pradesh,Gurazala,76
Andhra Pradesh,Hindupur,77
Andhra Pradesh,Husnabad,78
Andhra Pradesh,Huzurabad,79
Andhra Pradesh,Huzurnagar,80
Andhra Pradesh,Ibrahimpatnam,81
Andhra Pradesh,Ichchapuram,82
Andhra Pradesh,Jadcherla,83
Andhra Pradesh,Jaggampeta,84
Andhra Pradesh,Jaggayyapeta,85
Andhra Pradesh,Jagtial,86
Andhra Pradesh,Jammalamadugu,87
Andhra Pradesh,Jangoan,88
