state_name,constituency_name,value
Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
Andhra Pradesh,Adilabad,2
Andhra Pradesh,Amalapuram,3
Andhra Pradesh,Anakapalle,4
Andhra Pradesh,Anantapur,5
Andhra Pradesh,Araku,6
Andhra Pradesh,Bapatla,7
Andhra Pradesh,Bhongir,8
Andhra Pradesh,Chevella,9
Andhra Pradesh,Chittoor,10
Andhra Pradesh,Eluru,11
Andhra Pradesh,Guntur,12
Andhra Pradesh,Hindupur,13
Andhra Pradesh,Hyderabad,14
Andhra Pradesh,Kadapa,15
Andhra Pradesh,Kakinada,16
Andhra Pradesh,Karimnagar,17
Andhra Pradesh,Khammam,18
Andhra Pradesh,Kurnool,19
Andhra Pradesh,Machilipatnam,20
Andhra Pradesh,Mahabubabad,21
Andhra Pradesh,Mahbubnagar,22
Andhra Pradesh,Malkajgiri,23
Andhra Pradesh,Medak,24
Andhra Pradesh,Nagarkurnool,25
Andhra Pradesh,Nalgonda,26
Andhra Pradesh,Nandyal,27
Andhra Pradesh,Narasaraopet,28
Andhra Pradesh,Narsapuram,29
Andhra Pradesh,Nellore,30
Andhra Pradesh,Nizamabad,31
Andhra Pradesh,Ongole,32
Andhra Pradesh,Peddapalle,33
Andhra Pradesh,Rajahmundry,34
Andhra Pradesh,Rajampet,35
Andhra Pradesh,Secunderabad,36
Andhra Pradesh,Srikakulam,37
Andhra Pradesh,Tirupati,38
Andhra Pradesh,Vijayawada,39
Andhra Pradesh,Visakhapatnam,40
Andhra Pradesh,Vizianagaram,41
Andhra Pradesh,Warangal,42
Andhra Pradesh,Zahirabad,43
Arunachal Pradesh,Arunachal East,44
Arunachal Pradesh,Arunachal West,45
Assam,Autonomous District,46
Assam,Barpeta,47
Assam,Dhubri,48
Assam,Dibrugarh,49
Assam,Gauhati,50
Assam,Jorhat,51
Assam,Kaliabor,52
Assam,Karimganj,53
Assam,Kokrajhar,54
Assam,Lakhimpur,55
Assam,Mangaldoi,56
Assam,Nawgong,57
Assam,Silchar,58
Assam,Tezpur,59
Bihar,Araria,60
Bihar,Arrah,61
Bihar,Aurangabad,62
Bihar,Banka,63
Bihar,Begusarai,64
Bihar,Bhagalpur,65
Bihar,Buxar,66
Bihar,Darbhanga,67
Bihar,Gaya,68
Bihar,Gopalganj,69
Bihar,Hajipur,70
Bihar,Jahanabad,71
Bihar,Jamui,72
Bihar,Jhanjharpur,73
Bihar,Karakat,74
Bihar,Katihar,75
Bihar,Khagaria,76
Bihar,Kishanganj,77
Bihar,Madhepura,78
Bihar,Madhubani,79
Bihar,Maharajganj,80
Bihar,Munger,81
Bihar,Muzaffarpur,82
Bihar,Nalanda,83
Bihar,Nawada,84
Bihar,Paschim Champaran,85
Bihar,Pataliputra,86
Bihar,Patna Sahib,87
Bihar,Purnia,88
Bihar,Purvi Champaran,89
Bihar,Samastipur,90
Bihar,Saran,91
Bihar,Sasaram,92
Bihar,Sheohar,93
Bihar,Sitamarhi,94
Bihar,Siwan,95
Bihar,Supaul,96
Bihar,Ujiarpur,97
Bihar,Vaishali,98
Bihar,Valmiki Nagar,99
Chandigarh,Chandigarh,100
Chhattisgarh,Bastar,1
Chhattisgarh,Bilaspur,2
Chhattisgarh,Durg,3
Chhattisgarh,Janjgir-champa,4
Chhattisgarh,Kanker,5
Chhattisgarh,Korba,6
Chhattisgarh,Mahasamund,7
Chhattisgarh,Raigarh,8
Chhattisgarh,Raipur,9
Chhattisgarh,Rajnandgaon,10
Chhattisgarh,Surguja,11
Dadra & Nagar Haveli,Dadra & Nagar Haveli,12
Daman & Diu,Daman & Diu,13
Delhi,Chandni Chowk,14
Delhi,East Delhi,15
Delhi,New Delhi,16
Delhi,North East Delhi,17
Delhi,North West Delhi,18
Delhi,South Delhi,19
Delhi,West Delhi,20
Goa,North Goa,21
Goa,South Goa,22
Gujarat,Ahmedabad East,23
Gujarat,Ahmedabad West,24
Gujarat,Amreli,25
Gujarat,Anand,26
Gujarat,Banaskantha,27
Gujarat,Bardoli,28
Gujarat,Bharuch,29
Gujarat,Bhavnagar,30
Gujarat,Chhota Udaipur,31
Gujarat,Dahod,32
Gujarat,Gandhinagar,33
Gujarat,Jamnagar,34
Gujarat,Junagadh,35
Gujarat,Kachchh,36
Gujarat,Kheda,37
Gujarat,Mahesana,38
Gujarat,Navsari,39
Gujarat,Panchmahal,40
Gujarat,Patan,41
Gujarat,Porbandar,42
Gujarat,Rajkot,43
Gujarat,Sabarkantha,44
Gujarat,Surat,45
Gujarat,Surendranagar,46
Gujarat,Vadodara,47
Gujarat,Valsad,48
Haryana,Ambala,49
Haryana,Bhiwani-mahendragarh,50
Haryana,Faridabad,51
Haryana,Gurgaon,52
Haryana,Hisar,53
Haryana,Karnal,54
Haryana,Kurukshetra,55
Haryana,Rohtak,56
Haryana,Sirsa,57
Haryana,Sonipat,58
Himachal Pradesh,Hamirpur,59
Himachal Pradesh,Kangra,60
Himachal Pradesh,Mandi,61
Himachal Pradesh,Shimla,62
Jammu & Kashmir,Jammu,63
Jammu & Kashmir,Ladakh,64
Jammu & Kashmir,Udhampur,65
Jharkhand,Chatra,66
Jharkhand,Dhanbad,67
Jharkhand,Dumka,68
Jharkhand,Giridih,69
Jharkhand,Godda,70
Jharkhand,Hazaribagh,71
Jharkhand,Jamshedpur,72
Jharkhand,Khunti,73
Jharkhand,Kodarma,74
Jharkhand,Lohardaga,75
Jharkhand,Palamu,76
Jharkhand,Rajmahal,77
Jharkhand,Ranchi,78
Jharkhand,Singhbhum,79
Karnataka,Bagalkot,80
Karnataka,Bangalore Central,81
Karnataka,Bangalore North,82
Karnataka,Bangalore Rural,83
Karnataka,Bangalore South,84
Karnataka,Belgaum,85
Karnataka,Bellary,86
Karnataka,Bidar,87
Karnataka,Bijapur,88
Karnataka,Chamarajanagar,89
Karnataka,Chikkballapur,90
Karnataka,Chikkodi,91
Karnataka,Chitradurga,92
Karnataka,Dakshina Kannada,93
Karnataka,Davanagere,94
Karnataka,Dharwad,95
Karnataka,Gulbarga,96
Karnataka,Hassan,97
Karnataka,Haveri,98
Karnataka,Kolar,99
Karnataka,Koppal,100
Karnataka,Mandya,1
Karnataka,Mysore,2
Karnataka,Raichur,3
Karnataka,Shimoga,4
Karnataka,Tumkur,5
Karnataka,Udupi,6
Karnataka,Uttara Kannada,7
Kerala,Alappuzha,8
Kerala,Alathur,9
Kerala,Attingal,10
Kerala,Chalakudy,11
Kerala,Ernakulam,12
Kerala,Idukki,13
Kerala,Kannur,14
Kerala,Kasaragod,15
Kerala,Kollam,16
Kerala,Kottayam,17
Kerala,Kozhikode,18
Kerala,Malappuram,19
Kerala,Mavelikkara,20
Kerala,Palakkad,21
Kerala,Pathanamthitta,22
Kerala,Ponnani,23
Kerala,Thiruvananthapuram,24
Kerala,Thrissur,25
Kerala,Vadakara,26
Kerala,Wayanad,27
Lakshadweep,Lakshadweep,28
Madhya Pradesh,Balaghat,29
Madhya Pradesh,Betul,30
Madhya Pradesh,Bhind,31
Madhya Pradesh,Bhopal,32
Madhya Pradesh,Chhindwara,33
Madhya Pradesh,Damoh,34
Madhya Pradesh,Dewas,35
Madhya Pradesh,Dhar,36
Madhya Pradesh,Guna,37
Madhya Pradesh,Gwalior,38
Madhya Pradesh,Hoshangabad,39
Madhya Pradesh,Indore,40
Madhya Pradesh,Jabalpur,41
Madhya Pradesh,Khajuraho,42
Madhya Pradesh,Khandwa,43
Madhya Pradesh,Khargone,44
Madhya Pradesh,Mandla,45
Madhya Pradesh,Mandsour,46
Madhya Pradesh,Morena,47
Madhya Pradesh,Rajgarh,48
Madhya Pradesh,Ratlam,49
Madhya Pradesh,Rewa,50
Madhya Pradesh,Sagar,51
Madhya Pradesh,Satna,52
Madhya Pradesh,Shahdol,53
Madhya Pradesh,Sidhi,54
Madhya Pradesh,Tikamgarh,55
Madhya Pradesh,Ujjain,56
Madhya Pradesh,Vidisha,57
Maharashtra,Ahmednagar,58
Maharashtra,Akola,59
Maharashtra,Amravati,60
Maharashtra,Aurangabad,61
Maharashtra,Baramati,62
Maharashtra,Beed,63
Maharashtra,Bhandara-gondiya,64
Maharashtra,Bhiwandi,65
Maharashtra,Buldhana,66
Maharashtra,Chandrapur,67
Maharashtra,Dhule,68
Maharashtra,Dindori,69
Maharashtra,Gadchiroli-chimur,70
Maharashtra,Hatkanangle,71
Maharashtra,Hingoli,72
Maharashtra,Jalgaon,73
Maharashtra,Jalna,74
Maharashtra,Kalyan,75
Maharashtra,Kolhapur,76
Maharashtra,Latur,77
Maharashtra,Madha,78
Maharashtra,Maval,79
Maharashtra,Mumbai North,80
Maharashtra,Mumbai North-central,81
Maharashtra,Mumbai North-east,82
Maharashtra,Mumbai North-west,83
Maharashtra,Mumbai South,84
Maharashtra,Mumbai South-central,85
Maharashtra,Nagpur,86
Maharashtra,Nanded,87
Maharashtra,Nandurbar,88
Maharashtra,Nashik,89
Maharashtra,Osmanabad,90
Maharashtra,Palghar,91
Maharashtra,Parbhani,92
Maharashtra,Pune,93
Maharashtra,Raigad,94
Maharashtra,Ramtek,95
Maharashtra,Ratnagiriâsindhudurg,96
Maharashtra,Raver,97
Maharashtra,Sangli,98
Maharashtra,Satara,99
Maharashtra,Shirdi,100
Maharashtra,Shirur,1
Maharashtra,Solapur,2
