ward,value
Kalyan-Dombivli (M Corp.) - Ward No.53,1
Kalyan-Dombivli (M Corp.) - Ward No.48,2
Kalyan-Dombivli (M Corp.) - Ward No.49,3
Kalyan-Dombivli (M Corp.) - Ward No.50,4
Kalyan-Dombivli (M Corp.) - Ward No.61,5
Kalyan-Dombivli (M Corp.) - Ward No.68,6
Kalyan-Dombivli (M Corp.) - Ward No.76,7
Kalyan-Dombivli (M Corp.) - Ward No.81,8
Kalyan-Dombivli (M Corp.) - Ward No.80,9
Kalyan-Dombivli (M Corp.) - Ward No.59,10
Kalyan-Dombivli (M Corp.) - Ward No.58,11
Kalyan-Dombivli (M Corp.) - Ward No.79,12
Kalyan-Dombivli (M Corp.) - Ward No.62,13
Kalyan-Dombivli (M Corp.) - Ward No.77,14
Kalyan-Dombivli (M Corp.) - Ward No.60,15
Kalyan-Dombivli (M Corp.) - Ward No.78,16
Kalyan-Dombivli (M Corp.) - Ward No.51,17
Kalyan-Dombivli (M Corp.) - Ward No.52,18
Kalyan-Dombivli (M Corp.) - Ward No.66,19
Kalyan-Dombivli (M Corp.) - Ward No.57,20
Kalyan-Dombivli (M Corp.) - Ward No.55,21
Kalyan-Dombivli (M Corp.) - Ward No.67,22
Kalyan-Dombivli (M Corp.) - Ward No.65,23
Kalyan-Dombivli (M Corp.) - Ward No.54,24
Kalyan-Dombivli (M Corp.) - Ward No.64,25
Kalyan-Dombivli (M Corp.) - Ward No.46,26
Kalyan-Dombivli (M Corp.) - Ward No.82,27
Kalyan-Dombivli (M Corp.) - Ward No.83,28
Kalyan-Dombivli (M Corp.) - Ward No.69,29
Kalyan-Dombivli (M Corp.) - Ward No.75,30
Kalyan-Dombivli (M Corp.) - Ward No.70,31
Kalyan-Dombivli (M Corp.) - Ward No.71,32
Kalyan-Dombivli (M Corp.) - Ward No.72,33
Kalyan-Dombivli (M Corp.) - Ward No.74,34
Kalyan-Dombivli (M Corp.) - Ward No.73,35
Kalyan-Dombivli (M Corp.) - Ward No.47,36
Kalyan-Dombivli (M Corp.) - Ward No.92,37
Kalyan-Dombivli (M Corp.) - Ward No.45,38
Kalyan-Dombivli (M Corp.) - Ward No.44,39
Kalyan-Dombivli (M Corp.) - Ward No.43,40
Kalyan-Dombivli (M Corp.) - Ward No.39,41
Kalyan-Dombivli (M Corp.) - Ward No.40,42
Kalyan-Dombivli (M Corp.) - Ward No.42,43
Kalyan-Dombivli (M Corp.) - Ward No.89,44
Kalyan-Dombivli (M Corp.) - Ward No.91,45
Kalyan-Dombivli (M Corp.) - Ward No.41,46
Kalyan-Dombivli (M Corp.) - Ward No.94,47
Kalyan-Dombivli (M Corp.) - Ward No.93,48
Kalyan-Dombivli (M Corp.) - Ward No.1,49
Kalyan-Dombivli (M Corp.) - Ward No.34,50
Kalyan-Dombivli (M Corp.) - Ward No.36,51
Kalyan-Dombivli (M Corp.) - Ward No.33,52
Kalyan-Dombivli (M Corp.) - Ward No.35,53
Kalyan-Dombivli (M Corp.) - Ward No.32,54
Kalyan-Dombivli (M Corp.) - Ward No.31,55
Kalyan-Dombivli (M Corp.) - Ward No.21,56
Kalyan-Dombivli (M Corp.) - Ward No.29,57
Kalyan-Dombivli (M Corp.) - Ward No.22,58
Kalyan-Dombivli (M Corp.) - Ward No.37,59
Kalyan-Dombivli (M Corp.) - Ward No.30,60
Kalyan-Dombivli (M Corp.) - Ward No.38,61
Kalyan-Dombivli (M Corp.) - Ward No.25,62
Kalyan-Dombivli (M Corp.) - Ward No.28,63
Kalyan-Dombivli (M Corp.) - Ward No.26,64
Kalyan-Dombivli (M Corp.) - Ward No.23,65
Kalyan-Dombivli (M Corp.) - Ward No.27,66
Kalyan-Dombivli (M Corp.) - Ward No.24,67
Kalyan-Dombivli (M Corp.) - Ward No.16,68
Kalyan-Dombivli (M Corp.) - Ward No.17,69
Kalyan-Dombivli (M Corp.) - Ward No.5,70
Kalyan-Dombivli (M Corp.) - Ward No.18,71
Kalyan-Dombivli (M Corp.) - Ward No.4,72
Kalyan-Dombivli (M Corp.) - Ward No.19,73
Kalyan-Dombivli (M Corp.) - Ward No.3,74
Kalyan-Dombivli (M Corp.) - Ward No.20,75
Kalyan-Dombivli (M Corp.) - Ward No.2,76
Kalyan-Dombivli (M Corp.) - Ward No.15,77
Kalyan-Dombivli (M Corp.) - Ward No.10,78
Kalyan-Dombivli (M Corp.) - Ward No.6,79
Kalyan-Dombivli (M Corp.) - Ward No.14,80
Kalyan-Dombivli (M Corp.) - Ward No.13,81
Kalyan-Dombivli (M Corp.) - Ward No.12,82
Kalyan-Dombivli (M Corp.) - Ward No.7,83
Kalyan-Dombivli (M Corp.) - Ward No.11,84
Kalyan-Dombivli (M Corp.) - Ward No.8,85
Kalyan-Dombivli (M Corp.) - Ward No.9,86
Kalyan-Dombivli (M Corp.) - Ward No.114,87
Kalyan-Dombivli (M Corp.) - Ward No.112,88
Kalyan-Dombivli (M Corp.) - Ward No.113,89
Kalyan-Dombivli (M Corp.) - Ward No.115,90
Kalyan-Dombivli (M Corp.) - Ward No.117,91
Kalyan-Dombivli (M Corp.) - Ward No.121,92
Kalyan-Dombivli (M Corp.) - Ward No.122,93
Kalyan-Dombivli (M Corp.) - Ward No.120,94
Kalyan-Dombivli (M Corp.) - Ward No.110,95
Kalyan-Dombivli (M Corp.) - Ward No.116,96
Kalyan-Dombivli (M Corp.) - Ward No.108,97
Kalyan-Dombivli (M Corp.) - Ward No.111,98
Kalyan-Dombivli (M Corp.) - Ward No.109,99
Kalyan-Dombivli (M Corp.) - Ward No.86,100
Kalyan-Dombivli (M Corp.) - Ward No.107,1
Kalyan-Dombivli (M Corp.) - Ward No.119,2
Kalyan-Dombivli (M Corp.) - Ward No.87,3
Kalyan-Dombivli (M Corp.) - Ward No.88,4
Kalyan-Dombivli (M Corp.) - Ward No.90,5
Kalyan-Dombivli (M Corp.) - Ward No.100,6
Kalyan-Dombivli (M Corp.) - Ward No.99,7
Kalyan-Dombivli (M Corp.) - Ward No.98,8
Kalyan-Dombivli (M Corp.) - Ward No.97,9
