ward,value
Ward 33,1
Ward 32,2
Ward 39,3
Ward 31,4
Ward 19,5
Ward 45,6
Ward 34,7
Ward 42,8
Ward 44,9
Ward 15,10
Ward 46,11
Ward 28,12
Ward 41,13
Ward 47,14
Ward 5,15
Ward 10,16
Ward 27,17
Ward 7,18
Ward 49,19
Ward 26,20
Ward 21,21
Ward 43,22
Ward 30,23
Ward 3,24
Ward 8,25
Ward 18,26
Ward 25,27
Ward 36,28
Ward 6,29
Ward 38,30
Ward 12,31
Ward 9,32
Ward 20,33
Ward 24,34
Ward 40,35
Ward 1,36
Ward 11,37
Ward 14,38
Ward 35,39
Ward 4,40
Ward 2,41
Ward 22,42
Ward 48,43
Ward 13,44
Ward 23,45
Ward 16,46
Ward 29,47
Ward 17,48
Ward 37,49
