ward,value
Kurupete,1
Neelakanteshwara School Badavane,2
Police Quartus,3
Melekote-2,4
Nirvahaneshwara Nagara,5
Khalak Nagara,6
Azad Nagara,7
Indiranagara,8
Kenkeri Badavane,9
Henchina Factory Badavane,10
Jc Badavane-1,11
Vivekanada Nagara,12
Jc Badavane-2,13
Basaveswara Nagara,14
Boodikere,15
Bananthamaramma Badavane,16
Melekote-1,17
Bhuvaneshwari Nagara,18
Kote-2,19
Megala Beedhi,20
Kote-1,21
Ajeej Nagara,22
Maharajara Katte,23
Kurupete Ak Colony,24
Pete Beedhi,25
Hm Doddi,26
Khb Colony,27
Malagalu,28
Dr Ambedkar Nagara,29
Muslim Block,30
Veerabhadraswami Badavane,31
