ward,value
Ward 5,1
Ward 7,2
Ward 8,3
Ward 9,4
Ward 14,5
Ward 15,6
Ward 16,7
Ward 17,8
Ward 18,9
Ward 21,10
Ward 29,11
Ward 33,12
Ward 35,13
Ward 45,14
Ward 50,15
Ward 11,16
Ward 13,17
Ward 19,18
Ward 22,19
Ward 23,20
Ward 31,21
Ward 32,22
Ward 41,23
Ward 46,24
Ward 51,25
Ward 1,26
Ward 3,27
Ward 6,28
Ward 10,29
Ward 24,30
Ward 28,31
Ward 36,32
Ward 37,33
Ward 38,34
Ward 39,35
Ward 42,36
Ward 43,37
Ward 44,38
Ward 47,39
Ward 48,40
Ward 49,41
Ward 2,42
Ward 4,43
Ward 12,44
Ward 20,45
Ward 25,46
Ward 26,47
Ward 27,48
Ward 30,49
Ward 34,50
Ward 40,51
