ward,value
Ward 40,1
Ward 33,2
Ward 17,3
Ward 28,4
Ward 32,5
Ward 7,6
Ward 31,7
Ward 34,8
Ward 3,9
Ward 35,10
Ward 37,11
Ward 5,12
Ward 9,13
Ward 10,14
Ward 12,15
Ward 11,16
Ward 15,17
Ward 16,18
Ward 20,19
Ward 22,20
Ward 30,21
Ward 41,22
Ward 42,23
Ward 25,24
Ward 19,25
Ward 14,26
Ward 18,27
Ward 44,28
Ward 50,29
Ward 47,30
Ward 39,31
Ward 43,32
Ward 1,33
Ward 2,34
Ward 4,35
Ward 23,36
Ward 26,37
Ward 27,38
Ward 29,39
Ward 38,40
Ward 13,41
Ward 45,42
Ward 46,43
Ward 48,44
Ward 49,45
Ward 21,46
Ward 6,47
Ward 24,48
Ward 36,49
Ward 8,50
