ward,value
Ward 46,1
Ward 12,2
Ward 40,3
Ward 37,4
Ward 18,5
Ward 23,6
Ward 33,7
Ward 25,8
Ward 9,9
Ward 24,10
Ward 54,11
Ward 51,12
Ward 16,13
Ward 10,14
Ward 11,15
"Behind Of Stadium, Karauli",16
Ward 32,17
Dholi Khar Karauli,18
Ward 52,19
Ward 21,20
Ward 36,21
Ward 15,22
Murlipura Karauli,23
Ward 39,24
Ward 48,25
Ward 13,26
Ward 42,27
Ward 38,28
Ward 27,29
Ward 28,30
Ward 50,31
Ward 53,32
Ward 17,33
Ward 7,34
Ward 22,35
Ward 6,36
Ward 41,37
Ward 2,38
Ward 8,39
Ward 44,40
Ward 49,41
Ward 1,42
Ward 55,43
Ward 47,44
Ward 14,45
Ward 30,46
Ward 31,47
Ward 45,48
Ward 43,49
Ward 3,50
Ward 19,51
Ward 4,52
Tambe Ki Tori Chatpada Karauli,53
Ward 34,54
Chatikna Bazar Karauli,55
