ward,value
Dyalpur Gate Bohar Wala Mohall,1
Gt Road Khoo Sheikhwan Ambedkar Road Aanand Vihar,2
New Chandan Nagar Arya Nagar Chandan Nagartahli Sa,3
Lohara Mohalla Chhoddiyan Moha,4
Bouli Wala Mohalla Moh Baradari Arya Bazar Gendan,5
Gali Dafatar Wali Malhan Mohl,6
Arya Nagar Mohalla Mandi Mohalla G T Road Dana Man,7
Circular Road Katni Gate Delhi Gate Niwi Gali Bhal,8
Arya Nagar Aanand Vihar,9
Vishwa Karma Market Rishi Nagar Guru Teg Bahadur H,10
Mohalla Pakka Baag Mohalla Kot,11
Kolsar Mohala Gali Hospital Wali Gali Baradari Roa,12
New Chandan Nagar Hori Wala Khoo Moh Mukam Arya Na,13
Mata Gujari Mohalla Kale Wala,14
Charkhdi Mohalla Circular Road Dyalpur Gate Ghumia,15
