ward,value
Katoratal North,1
Kachnal Gaji,2
Katoratal Middile,3
Hampur Ismaiel North,4
Maheshpura West,5
Subhash Ward,6
Awas Vikas Middile,7
Alli Khan West,8
Pakkakot East,9
Tanda Ujjain South,10
Rampura Nijhra,11
Katoratal West,12
Chamunda Vihar,13
Ganj,14
Shakti Nagar,15
Pakkakot,16
Girital,17
Jaspur Khurd,18
Krishna Ward,19
Kila,20
Prabhat Colony,21
Adresh Ward,22
Alli Khan South,23
Hampur Ismaiel South,24
Lakshmipur Patti Middile,25
Kachnal Gosai,26
Khadakpur Devipura Middile,27
Ojhaan,28
Bajpur Road,29
Tanda Ujjain West,30
Kajibag,31
Khadakpur Devipura East,32
Lahoriyan,33
Vaishali Ward,34
Alli Khan Middile,35
Patel Nagar,36
Fasiyapura,37
Khadakpur Devipura Uttari,38
Maheshpura Middile,39
Lakshmipur Patti,40
