ward,value
Krishnudu Bomma,1
Arati Thota,2
60 Feet Road,3
South Janatha Peta,4
Katam Reddy  Vari Street,5
Vengayya Gari Palem,6
Budamgunta,7
North Janatha,8
Ayyapa Temple Street,9
Maddurupadu,10
Thummalapenta Road,11
Balaji Street,12
Raja Street,13
Vaddipalem,14
Manasa Theatre,15
Gayatri Nagar,16
Vishnalayam Street,17
Katcherimitta,18
Christian Peta,19
Tiles Factory,20
Teachers Colony,21
Ambedkar Nagar,22
Dantham Vari Street,23
Fire Office Road,24
Peddapavani Road,25
Bommareddy Vari Street,26
Puchalapalli Vari Street,27
Musunur West,28
Pulla Reddy Nagar,29
Shanthi Nagar,30
Indira Nagar,31
Railway Station Road,32
Chakali Bazar,33
Vykunta Puram,34
Zenda Chettu,35
Rajeev Nagar,36
New Shivalayam Road,37
Musunur East,38
Sankula Vari Thota,39
Bkreddy Nagar,40
