ward,value
Thakur Dev   Ward,1
Ramjanki Ward,2
San Ravidas Ward,3
Din Dayal Nagar Ward,4
Mahamaya Ward,5
Satbahiniya Ward,6
Shakti Ward,7
Radhakrishan Ward,8
Bhagvan Mahaveer Swami Ward,9
Maa Kali  Ward,10
Gurugovind Singh Ward,11
Vindhyavasini Ward,12
Ram Nagar Ward,13
Maa Karma Ward,14
Sanker Nager Ward,15
Mahbub Shah Datar Ward,16
Maruti Ward,17
Danteshwari Ward,18
Minimata Ward,19
Guru Ghasidas Ward,20
Shitla Ward,21
Bahdur Ganj Ward,22
Maharana Pratap Ward,23
Buda Mahadev Ward,24
Kailash Nagar Ward,25
Dr. Bhimarav Aambedkar Ward,26
Math Ward,27
