ward,value
Loco Colony,1
Khagaul Lakh Joda Talab,2
Officer Colony,3
Chhoti Khagaul,4
Chhoti Badalpura,5
Neora Colony,6
Bari Badalpura,7
Jai Ram Bazar &Amp; Chhoti Khagaul,8
Chhoti Khagau &Amp; Bari Khagaul,9
Lakhni Bigha,10
Dalluchak,11
Medical Colony &Amp; Officer Colony,12
Garikhana Gauraiya Sthan,13
Bari Khagaul Gareriya Tola,14
Bari Khagaul Chakradaha,15
Moti Chauk Chhoti Khagaul Gandhi School Road,16
Garikhana Dhamghar Rampur,17
Saidpura Moti Chauk,18
Jairam Bazar,19
Rampur Gariakhana,20
Anandpuri,21
New Colony,22
