ward,value
Ward 28,1
Ward 26,2
Ward 24,3
Ward 41,4
Ward 46,5
Ward 4,6
Ward 35,7
Ward 49,8
Ward 2,9
Ward 9,10
Ward 1,11
Ward 5,12
Ward 14,13
Ward 25,14
Ward 22,15
Ward 20,16
Ward 19,17
Ward 45,18
Ward 10,19
Ward 13,20
Ward 8,21
Ward 7,22
Ward 18,23
Ward 17,24
Ward 43,25
Ward 34,26
Ward 38,27
Ward 31,28
Ward 42,29
Ward 37,30
Ward 12,31
Ward 11,32
Ward 16,33
Ward 15,34
Ward 27,35
Ward 23,36
Ward 30,37
Ward 21,38
Ward 29,39
Ward 32,40
Ward 33,41
Ward 39,42
Ward 40,43
Ward 36,44
Ward 50,45
Ward 47,46
Ward 6,47
Ward 3,48
Ward 48,49
JAWAHAR GANJ,50
