ward,value
"Naroda, Ahmedabad (M.Corp.) Ward No. 12",1
"Thaltej, Ahmedabad (M.Corp.) Ward No. 8",2
"Lambha, Ahmedabad (M.Corp.) Ward No. 46",3
"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",4
"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",5
"Sardarnagar, Ahmedabad (M.Corp.) Ward No. 11",6
"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",7
"Thakkarbapa Nagar, Ahmedabad (M.Corp.) Ward No. 23",8
"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",9
"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",10
"India colony, Ahmedabad (M.Corp.) Ward No. 22",11
"Chandlodiya, Ahmedabad (M.Corp.) Ward No. 2",12
"Gota, Ahmedabad (M.Corp.) Ward No. 1",13
"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",14
"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",15
"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",16
"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",17
"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",18
"Jodhpur, Ahmedabad (M.Corp.) Ward No. 20",19
"Vejalpur, Ahmedabad (M.Corp.) Ward No. 32",20
"Vasana, Ahmedabad (M.Corp.) Ward No. 31",21
"Paldi, Ahmedabad (M.Corp.) Ward No. 30",22
"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",23
"Naranpura, Ahmedabad (M.Corp.) Ward No. 9",24
"Nava Vadaj, Ahmedabad (M.Corp.) Ward No. 6",25
"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",26
"Ranip, Ahmedabad (M.Corp.) Ward No. 5",27
"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",28
"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",29
"Asarva, Ahmedabad (M.Corp.) Ward No. 15",30
"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",31
"Baherampura, Ahmedabad (M.Corp.) Ward No. 35",32
"Vatava, Ahmedabad (M.Corp.) Ward No. 47",33
"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",34
"Isanpur, Ahmedabad (M.Corp.) Ward No. 45",35
"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",36
"Odhav, Ahmedabad (M.Corp.) Ward No. 40",37
"Vastral, Ahmedabad (M.Corp.) Ward No. 41",38
"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",39
"Viratnagar, Ahmedabad (M.Corp.) Ward No. 25",40
"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",41
"Shapur, Ahmedabad (M.Corp.) Ward No. 17",42
"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",43
"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",44
"Danilimda, Ahmedabad (M.Corp.) Ward No. 36",45
"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",46
"Bhaipura Hatkeswar, Ahmedabad (M.Corp.) Ward No. 43",47
"Nikol, Ahmedabad (M.Corp.) Ward No. 24",48
