ward,value
Kempegowda Ward,1
Chowdeswari Ward,2
Someshwara Ward,3
Atturu Layout,4
Yelahanka Satellite Town,5
Shettihalli,6
Mallasandra,7
Mattikere,8
Aramane Nagara,9
Malleswaram,10
Chanakya,11
Peenya,12
Nelagadderanahalli,13
Nandini Layout,14
Marappana Palya,15
Subramanya Nagar,16
Kadu Malleshwara,17
Rajamahal Guttahalli,18
New Bayappanahalli,19
Dattatreya Temple,20
Subhash Nagar,21
Gayithri Nagar,22
Hegganahalli,23
Sunkadakatte,24
Vijayanagara Krishnadevaraya,25
Shankar Matt,26
Shakthi Ganapathi Nagar,27
Vrisabhavathi Nagar,28
Kamakshipalya,29
Basaveshwara Nagar,30
Shivanagara,31
Rajaji Nagar,32
Sriramamandir,33
Prakash Nagar,34
Dayananda Nagar,35
Okalipuram,36
Gandhinagar,37
Bharathi Nagar,38
Ulsoor,39
Hoysala Nagar,40
Konena Agrahara,41
Chickpete,42
Cottonpete,43
Binnipete,44
Kengeri,45
Basavanagudi,46
Srinivasa Nagar,47
Srinagar,48
Girinagar,49
Bande Mutt,50
Kudlu,51
Hudi,52
Bellanduru,53
Marathahalli,54
Garudachar Playa,55
New Thippasandra,56
Jalakanteshwara Nagara,57
Nagapura,58
Jai Maruthinagara,59
Puneet Rajkumar,60
Sampangiram Nagar,61
Old Thippasandra,62
Jeevanbhima Nagar,63
Veeramadakari,64
HAL Airport,65
Lakshmi Devi Nagar,66
Doddagollarahatti,67
Ullal,68
T Dasarahalli,69
Chokkasandra,70
Rajagopal Nagar,71
Rajeshwari Nagar,72
Ranadheera Kanteerava,73
Veera Sindhura Lakshamana,74
Sir M. Vishweshwaraiah,75
Nalvadi Krishnaraja Wadior Park,76
Chatrapati Shivaji,77
Jnana Bharathi,78
Rajarajeshwari Nagar,79
C V Raman Nagar,80
Lal Bahadur Nagar,81
Hanumanth Nagar,82
Mahalakshimpuram,83
Vidyapeeta ward,84
Katriguppe,85
Anjanapura,86
Shantala Nagar,87
Yediyur,88
Jagajivanaram Nagar,89
Subramanyapura,90
Ibluru,91
Naganathapura,92
Chamundi Nagara,93
Hulimavu,94
Devaraj Urs Nagar,95
Puttenahalli - Sarakki Lake,96
Jogupalya,97
Domlur,98
RBI layout,99
Attiguppe,100
Bapuji Nagar,1
Kanneshwara Rama,2
Padarayanapura,3
Yelachenahalli,4
J P Park,5
Chalavadipalya,6
Devarachikkanahalli,7
Vijayanagar,8
Mangammanapalya,9
Konanakunte,10
Arakere,11
Jaraganahalli,12
Chunchaghatta,13
Agara,14
Vikram Nagar,15
Gottigere,16
Umamaheshwara Ward,17
Kumaraswamy Layout,18
Kempapura Agrahara,19
Adugodi,20
Kacharkanahalli,21
Ejipura,22
HRBR Layout,23
Kaval Bairasandra,24
Someshwara Nagar,25
Ashoka Pillar,26
Lakkasandra,27
Hombegowda Nagara,28
Vishveshwara Puram,29
Banasavadi,30
Hennur,31
Pulikeshinagar,32
Kodigehalli,33
Jakkuru,34
Thanisandra,35
Kempapura,36
Amrutahalli,37
Maruthi Seva Nagar,38
Shakambari Nagar,39
Sagayarapuram,40
Kammanahalli,41
Kushal Nagar,42
Lingarajapura,43
Venkateshpura,44
Devara Jeevanahalli,45
Muneshwara Nagar,46
S K Garden,47
Tilak Nagar,48
Gurappanapalya,49
Byrasandra,50
Jakkasandra,51
Suddagunte Palya,52
Sunkenahalli,53
Koramangala,54
Kogilu,55
Azad Nagar,56
Chamrajapet,57
Kadugondanahalli,58
Whitefield,59
Herohalli,60
Dodda Bidarakallu,61
Vasanthpura,62
HSR - Singasandra,63
Doddakanahalli,64
Hampi Nagar,65
Hosahalli,66
Avalahalli,67
Gali Anjenaya Temple ward,68
Veerabhadranagar,69
Dharmaraya Swamy Temple Ward,70
Sudham Nagara,71
Agaram,72
AECS Layout,73
Dodda Nekkundi,74
Kadugodi,75
Belathur,76
Bommanahalli,77
Hongasandra,78
Rupenaagrahara,79
Bilekhalli,80
Vinayakanagar,81
Hosakerehalli,82
Kamakya Nagar,83
Deen Dayalu Ward,84
Nagavara,85
Kammagondanahalli,86
Ramaswamy Palya,87
Jayamahal,88
Vasanth Nagar,89
Madivala,90
BTM Layout,91
N S Palya,92
Radhakrishna Temple Ward,93
Sanjaya Nagar,94
Vishwanath Nagenahalli,95
Hebbala,96
Ganga Nagar,97
Jayachamarajendra  Nagar,98
Manorayanapalya,99
Kuvempunagar,100
Dodda Bommasandra,1
Byatarayanapura,2
Vidyaranyapura,3
Bagalakunte,4
Hagadur,5
Varthuru,6
Munnekollala,7
Sarakki,8
J P Nagar,9
Horamavu,10
Babusab Palya,11
Kalkere,12
Medahalli,13
Ramamurthy Nagara,14
Vijinapura,15
K R Puram,16
Basavanapura,17
Devasandra,18
A Narayanapura,19
Mahadevapura,20
Vijnana Nagar,21
Begur,22
Kalena Agrahara,23
Uttarahalli,24
Padmanabha Nagar,25
Ganesh Mandir ward,26
Banashankari Temple ward,27
Dr. Raj Kumar Ward,28
Agrahara Dasarahalli,29
Kaveripura,30
Govindaraja Nagar,31
Marenahalli,32
Maruthi Mandir ward,33
Mudalapalya,34
Nagarabhavi,35
Chandra Layout,36
Nayandahalli,37
Defence Colony,38
Hemmigepura,39
Shanthi Nagar,40
Neelasandra,41
Vannarapete,42
Vidyamanyanagar,43
