ward,value
Vinayaka Layout,1
Aerocity,2
Chowdeshwari ward,3
Ramamurthy Nagara,4
Nagashettyhalli,5
Kogilu,6
Yamalur,7
Agaram,8
Dasarahalli,9
Old Baiyappanahalli,10
Kotthur,11
Bagalagunte,12
Subbayanapalya,13
Mallasandra,14
Manjunatha Nagar,15
Kadirenahalli,16
Jalahalli,17
K.R Pura,18
Kengeri Kote ward,19
Gottigere,20
Beguru,21
V.V Puram,22
Kammanahalli,23
Byrasandra,24
Tilak Nagara,25
J.P PARK,26
Old Guddadahalli,27
Babusab Palya,28
Banashankari Temple Ward,29
Nele Maheshwaramma Temple Ward,30
Marathahalli,31
Konanakunte,32
Marenahalli South,33
Harinagar,34
Horamavu,35
Dinnur,36
L.B Shastri Nagar,37
Kammagondanahalli,38
Abdul Kalam Nagar,39
Kushal Nagar,40
Krishnanagar,41
Bheereshwara Nagar,42
Yarab nagar,43
RBI Layout,44
K Narayanapura,45
Hagaduru,46
Krishnaiahnapalya,47
Padmanabhanagara,48
Vasanthapura,49
Gowdanapalya,50
Okalipuram,51
Kane Muneshwara Ward,52
Hoysala Nagara Central,53
Talagattapura,54
Sarvabhouma Nagar,55
Govindapura,56
Rayapuram,57
Anjanapura,58
Vijaya Bank Layout,59
Periyar Nagar,60
Padarayanapura,61
Yelachenahalli,62
Geddalahalli,63
Subramanyapura,64
Goraguntepalya,65
Kottegepalya,66
Brundavana Nagara,67
Yelahanka Satellite Town,68
Bangarappa Nagara,69
Uttarahalli,70
Yeshwanthpura,71
Yelenahalli,72
Kaggadasapura,73
Doddakammanahalli,74
Byrathi,75
Kothanur,76
K.S. Nissar Ahmed Ward,77
Bhoopasandra,78
Shakambarinagara,79
Hebbal,80
Vishwanatha Nagenahalli,81
Sampangirama Nagar,82
Basavanapura,83
Vishwapriya Nagara,84
Halasuru,85
Naganathapura,86
Aramane Nagara,87
Kasturi Nagar,88
Nagarbhavi,89
Munnenkolalu,90
Chikkathoguru,91
Doddabettahalli,92
Ganganagar,93
Vijinapura,94
Kasturbha Nagar,95
Raja Kempegowda ward,96
Jayanagar East,97
Dharmaraya Swamy Temple Ward,98
Kanakanapalya,99
Swatantra Palya Ward,100
Gangenahalli,1
J.P Nagar,2
N.A.L Layout,3
Sri Lakshmi Devi Ward,4
Nyayanga Badavane,5
Abbigere,6
Viswamanava Kuvempu Ward,7
Priyadarshini Ward,8
Shettihalli,9
Chikka Adugodi,10
Attur,11
New Tavarekere,12
Iblur,13
HMT Ward,14
Manorayanapalya,15
Garvebavi Palya,16
Kudlu,17
National Games Village,18
Amruthahalli,19
S.G Palya,20
Banaswadi,21
Someshwara Nagara,22
Pattabhirama Nagara,23
Jaya Chamarajendra Nagara,24
Agara,25
Lakkasandra,26
Ambedkarnagar,27
Kodigehalli,28
Lakshmi Devi Nagar,29
Jeevanahalli,30
Kasavanahalli,31
Kaval Byrasandra,32
N.S Palya,33
Puttenahalli,34
Doresanipalya,35
Aruna Asif Ali Ward,36
R.T Nagar,37
Pulakeshi Nagar,38
Byatarayanapura,39
Kormangala East,40
Sagayapuram,41
HBR Layout,42
S.K Garden,43
Rajiv Gandhi Nagar,44
Venkateshpuram,45
Maruthi Seva Nagara,46
JJR Nagara,47
Hongasandra,48
Singasandra,49
Bandepalya,50
Shampura,51
Nagavara,52
Hennur,53
D.V Gundappa Ward,54
Ejipura,55
Doddanna Nagar,56
Singapura,57
Cox Town,58
HSR Layout,59
Manjunath Nagara,60
Vidyaranyapura,61
Kodi Chikkanahalli,62
Bilekahalli,63
Lingarajpura,64
HRBR Layout,65
Kacharakanahalli,66
Vinayakanagar,67
Sane Guruvana Halli,68
Jaraganahalli,69
A Adugodi,70
Maruthi Mandira Ward,71
Thimmenahalli,72
Shanthinagar,73
Kormangala West,74
Kengal Hanumanthaiah South,75
Madiwala,76
Mathikere,77
Devarachikkanahalli,78
Peenya,79
Rajagopala Nagara,80
Kempapura,81
Avalahalli,82
K.P Agrahara,83
Varalakshmi Nagar,84
Sangolli Rayanna Ward,85
Sampigehalli,86
Hulimavu,87
Thindlu,88
Uday Nagar,89
Srigandhanagar,90
Hanumanthanagar,91
Thanisandra,92
Jakkur,93
Subedarpalya,94
Nelagadaranahalli,95
Kuvempunagara,96
Chandranagara,97
Hoysala Nagara East,98
Dayanand Nagara,99
Doddabommasandra,100
Anandapura,1
Kaveripura,2
Arakere,3
Bellanduru,4
A Narayanapura,5
Vibhootipura,6
S.M Krishna Ward,7
Chowdeshwari Nagar,8
Shivanasamudra Ward,9
Dooravaninagar,10
Mangammana Palya,11
Sarakki,12
Hoodi,13
Jeevan Bhimanagar,14
Nandini Layout,15
Hosapalya,16
Kuvempu Ward,17
Sangama Ward,18
Channasandra,19
Nayanda Halli,20
