ward,value
168,1
169,2
170,3
171,4
174,5
173,6
179,7
178,8
172,9
177,10
176,11
175,12
180,13
193,14
198,15
199,16
192,17
200,18
194,19
197,20
185,21
186,22
184,23
181,24
183,25
189,26
190,27
191,28
182,29
126,30
125,31
115,32
116,33
114,34
124,35
113,36
123,37
112,38
122,39
121,40
120,41
109,42
119,43
118,44
117,45
108,46
106,47
107,48
105,49
104,50
99,51
98,52
100,53
97,54
101,55
96,56
102,57
95,58
103,59
94,60
15,61
16,62
17,63
18,64
19,65
20,66
21,67
79,68
80,69
81,70
82,71
83,72
84,73
85,74
86,75
87,76
88,77
90,78
92,79
93,80
89,81
162,82
163,83
164,84
158,85
159,86
167,87
157,88
166,89
165,90
156,91
67,92
70,93
71,94
74,95
77,96
69,97
78,98
76,99
64,100
75,1
66,2
73,3
72,4
147,5
148,6
149,7
150,8
151,9
146,10
155,11
145,12
154,13
144,14
153,15
152,16
49,17
50,18
52,19
54,20
55,21
56,22
57,23
58,24
59,25
60,26
61,27
62,28
63,29
51,30
53,31
130,32
136,33
131,34
132,35
129,36
138,37
128,38
137,39
127,40
133,41
141,42
134,43
41,44
40,45
38,46
37,47
44,48
48,49
42,50
47,51
45,52
46,53
34,54
35,55
36,56
1,57
10,58
11,59
2,60
3,61
5,62
7,63
8,64
9,65
12,66
13,67
14,68
27,69
22,70
28,71
29,72
30,73
26,74
25,75
33,76
24,77
32,78
23,79
31,80
142,81
139,82
140,83
135,84
188,85
187,86
4,87
68,88
65,89
143,90
91,91
6,92
39,93
43,94
111,95
110,96
161,97
160,98
195,99
196,100
