ward,value
Gurgaon (M Cl ) - Ward No.1,1
Gurgaon (M Cl ) - Ward No.5,2
Gurgaon (M Cl ) - Ward No.3,3
Gurgaon (M Cl ) - Ward No.2,4
Gurgaon (M Cl ) - Ward No.7,5
Gurgaon (M Cl ) - Ward No.4,6
Gurgaon (M Cl ) - Ward No.6,7
Gurgaon (M Cl ) - Ward No.12,8
Gurgaon (M Cl ) - Ward No.8,9
Gurgaon (M Cl ) - Ward No.9,10
Gurgaon (M Cl ) - Ward No.10,11
Gurgaon (M Cl ) - Ward No.11,12
Gurgaon (M Cl ) - Ward No.13,13
Gurgaon (M Cl ) - Ward No.15,14
Gurgaon (M Cl ) - Ward No.14,15
Gurgaon (M Cl ) - Ward No.16,16
Gurgaon (M Cl ) - Ward No.17,17
Gurgaon (M Cl ) - Ward No.19,18
Gurgaon (M Cl ) - Ward No.18,19
Gurgaon (M Cl ) - Ward No.20,20
Gurgaon (M Cl ) - Ward No.25,21
Gurgaon (M Cl ) - Ward No.21,22
Gurgaon (M Cl ) - Ward No.26,23
Gurgaon (M Cl ) - Ward No.28,24
Gurgaon (M Cl ) - Ward No.22,25
Gurgaon (M Cl ) - Ward No.23,26
Gurgaon (M Cl ) - Ward No.24,27
Gurgaon (M Cl ) - Ward No.27,28
Gurgaon (M Cl ) - Ward No.29,29
Jharsa (OG) - Ward No.33,30
Gurgaon (M Cl ) - Ward No.30,31
Gurgaon (M Cl ) - Ward No.31,32
Silokhra (OG) - Ward No.32,33
Gurgaon (M CI) - Ward.35,34
Gurgaon (M CI) - Ward.34,35
