ward,value
Ward 91 Khairatabad,1
Ward 105 Gachibowli,2
Ward 60 Rajendra Nagar,3
Ward 95 Jubilee Hills,4
Ward 6 Nacharam,5
Ward 59 Mailardevpally,6
Ward 133 Macha Bolarum,7
Ward 1 Kapra,8
Ward 136 Neredmet,9
Ward 2 Dr A S Rao Nagar,10
Ward 5 Mallapur,11
Ward 7 Chilka Nagar,12
Ward 10 Uppal,13
Ward 12 Mansoorabad,14
Ward 16 Hasthinapuram,15
Ward 14 BN Reddy Nagar,16
Ward 15 Vanasthalipuram,17
Ward 139 East Anand Bagh,18
Ward 20 RK Puram,19
Ward 21 Kothapet,20
Ward 8 Habsiguda,21
Ward 9 Ramanthapur,22
Ward 92 Venkateshwara Colony,23
Ward 93 Banjara Hills,24
Ward 126 Jagathgirigutta,25
Ward 124 Alwyn Colony,26
Ward 128 Chintal,27
Ward 132 Jeedimetla,28
Ward 130 Subash Nagar,29
Ward 129 Suraram,30
Ward 125 Gajularamaram,31
Ward 116 Allapur,32
Ward 114 KPHB Colony,33
Ward 108 Miyapur,34
Ward 107 Madhapur,35
Ward 109 Hafeezpet,36
Ward 110 Chandanagar,37
Ward 106 Serilingampally,38
Ward 104 Kondapur,39
Ward 78 Gunfoundry,40
Ward 79 Himayath Nagar,41
Ward 84 Bagh Amberpet,42
Ward 81 Nallakunta,43
Ward 85 Adikmet,44
Ward 87 Ramnagar,45
Ward 89 Gandhinagar,46
Ward 86 Musheerabad,47
Ward 146 Boudha Nagar,48
Ward 88 Bholakpur,49
Ward 145 Seethaphalmandi,50
Ward 147 Bansilapet,51
Ward 40 Riyasat Nagar,52
Ward 36 Lalithabagh,53
Ward 35 Gowlipura,54
Ward 44 Uppuguda,55
Ward 45 Jangammet,56
Ward 48 Shalibanda,57
Ward 43 Chandrayangutta,58
Ward 46 Falaknuma,59
Ward 47 Nawab Saheb Kunta,60
Ward 54 Jahanuma,61
Ward 55 Ramnaspura,62
Ward 53 Doodh Bowli,63
Ward 33 Moghalpura,64
Ward 52 Puranapool,65
Ward 32 Patthergatti,66
Ward 49 Ghansi Bazar,67
Ward 94 Shaikpet,68
Ward 76 Mallepally,69
Ward 63 Mangalhat,70
Ward 64 Dattatreya Nagar,71
Ward 73 Vijay Nagar Colony,72
Ward 72 Asif Nagar,73
Ward 70 Mehdipatnam,74
Ward 71 Gudimalkapur,75
Ward 69 Nanal Nagar,76
Ward 68 Tolichowki,77
Ward 67 Golconda,78
Ward 66 Langar Houz,79
Ward 100 Sanath Nagar,80
Ward 98 Ameerpet,81
Ward 97 Somajiguda,82
Ward 96 Yousufguda,83
Ward 102 Rahmath Nagar,84
Ward 101 Erragadda,85
Ward 103 Borabanda,86
Ward 99 Vengal Rao Nagar,87
Ward 150 Monda Market,88
Ward 148 Ramgopalpet,89
Ward 149 Begumpet,90
Ward 90 Kavadiguda,91
Ward 117 Moosapet,92
Ward 118 Fateh Nagar,93
Ward 127 Rangareddy Nagar,94
Ward 120 Balanagar,95
Ward 121 Kukatpally,96
Ward 123 Hydernagar,97
Ward 122 Vivekananda Nagar Colony,98
Ward 119 Old Bowenpally,99
Ward 135 Venkatapuram,100
Ward 134 Alwal,1
Ward 131 Quthbullapur,2
Ward 115 Balaji Nagar,3
Ward 143 Tarnaka,4
Ward 144 Mettuguda,5
Ward 138 Moula Ali,6
Ward 142 Addagutta,7
Ward 141 Gautham Nagar,8
Ward 137 Vinayak Nagar,9
Ward 140 Malkajgiri,10
Ward 23 Gaddiannaram,11
Ward 22 Chaitanyapuri,12
Ward 19 Saroornagar,13
Ward 18 Lingojiguda,14
Ward 38 IS Sadan,15
Ward 17 Champapet,16
Ward 27 Akbarbagh,17
Ward 24 Saidabad,18
Ward 25 Moosarambagh,19
Ward 26 Old Malakpet,20
Ward 28 Azampura,21
Ward 29 Chawni,22
Ward 37 Rein Bazar,23
Ward 37 Kurmaguda,24
Ward 39 Santhosh Nagar,25
Ward 41 Kanchanbagh,26
Ward 75 Red Hills,27
Ward 77 Jambagh,28
Ward 50 Begum Bazar,29
Ward 51 Goshamahal,30
Ward 62 Ziaguda,31
Ward 65 Karwan,32
Ward 34 Talab Chanchalam,33
Ward 83 Amberpet,34
Ward 82 Golnaka,35
Ward 80 Kachiguda,36
Ward 58 Shastripuram,37
Ward 57 Suleman Nagar,38
Ward 56 Kishanbagh,39
Ward 61 Attapur,40
Ward 112 Ramachandrapuram,41
Ward 111 Bharati Nagar,42
Ward 30 Dabeerpura,43
Ward 42 Barkas,44
Ward 74 Ahmed Nagar,45
