ward,value
Jaipur (M Corp.) (Part) - Ward No.119,1
Jaipur (M Corp.) (Part) - Ward No.55,2
Jaipur (M Corp.) (Part) - Ward No.49,3
Jaipur (M Corp.) (Part) - Ward No.64,4
Jaipur (M Corp.) (Part) - Ward No.67,5
Jaipur (M Corp.) (Part) - Ward No.70,6
Jaipur (M Corp.) (Part) - Ward No.76,7
Jaipur (M Corp.) (Part) - Ward No.84,8
Jaipur (M Corp.) (Part) - Ward No.87,9
Jaipur (M Corp.) (Part) - Ward No.93,10
Jaipur (M Corp.) (Part) - Ward No.91,11
Jaipur (M Corp.) (Part) - Ward No.102,12
Jaipur (M Corp.) (Part) - Ward No.105,13
Jaipur (M Corp.) (Part) - Ward No.118,14
Jaipur (M Corp.) (Part) - Ward No.110,15
Jaipur (M Corp.) (Part) - Ward No.125,16
Jaipur (M Corp.) (Part) - Ward No.129,17
Jaipur (M Corp.) (Part) - Ward No.131,18
Jaipur (M Corp.) (Part) - Ward No.134,19
Jaipur (M Corp.) (Part) - Ward No.137,20
Jaipur (M Corp.) (Part) - Ward No.140,21
Jaipur (M Corp.) (Part) - Ward No.146,22
Jaipur (M Corp.) (Part) - Ward No.138,23
Jaipur (M Corp.) (Part) - Ward No.139,24
Jaipur (M Corp.) (Part) - Ward No.150,25
Jaipur (M Corp.) (Part) - Ward No.8,26
Jaipur (M Corp.) (Part) - Ward No.14,27
Jaipur (M Corp.) (Part) - Ward No.11,28
Jaipur (M Corp.) (Part) - Ward No.27,29
Jaipur (M Corp.) (Part) - Ward No.25,30
Jaipur (M Corp.) (Part) - Ward No.19,31
Jaipur (M Corp.) (Part) - Ward No.35,32
Jaipur (M Corp.) (Part) - Ward No.42,33
Jaipur (M Corp.) (Part) - Ward No.2,34
Jaipur (M Corp.) (Part) - Ward No.1,35
Jaipur (M Corp.) (Part) - Ward No.3,36
Jaipur (M Corp.) (Part) - Ward No.5,37
Jaipur (M Corp.) (Part) - Ward No.9,38
Jaipur (M Corp.) (Part) - Ward No.13,39
Jaipur (M Corp.) (Part) - Ward No.15,40
Jaipur (M Corp.) (Part) - Ward No.12,41
Jaipur (M Corp.) (Part) - Ward No.44,42
Jaipur (M Corp.) (Part) - Ward No.43,43
Jaipur (M Corp.) (Part) - Ward No.45,44
Jaipur (M Corp.) (Part) - Ward No.46,45
Jaipur (M Corp.) (Part) - Ward No.47,46
Jaipur (M Corp.) (Part) - Ward No.6,47
Jaipur (M Corp.) (Part) - Ward No.4,48
Jaipur (M Corp.) (Part) - Ward No.7,49
Jaipur (M Corp.) (Part) - Ward No.48,50
Jaipur (M Corp.) (Part) - Ward No.51,51
Jaipur (M Corp.) (Part) - Ward No.23,52
Jaipur (M Corp.) (Part) - Ward No.22,53
Jaipur (M Corp.) (Part) - Ward No.24,54
Jaipur (M Corp.) (Part) - Ward No.10,55
Jaipur (M Corp.) (Part) - Ward No.17,56
Jaipur (M Corp.) (Part) - Ward No.16,57
Jaipur (M Corp.) (Part) - Ward No.18,58
Jaipur (M Corp.) (Part) - Ward No.20,59
Jaipur (M Corp.) (Part) - Ward No.31,60
Jaipur (M Corp.) (Part) - Ward No.21,61
Jaipur (M Corp.) (Part) - Ward No.26,62
Jaipur (M Corp.) (Part) - Ward No.32,63
Jaipur (M Corp.) (Part) - Ward No.28,64
Jaipur (M Corp.) (Part) - Ward No.30,65
Jaipur (M Corp.) (Part) - Ward No.33,66
Jaipur (M Corp.) (Part) - Ward No.29,67
Jaipur (M Corp.) (Part) - Ward No.36,68
Jaipur (M Corp.) (Part) - Ward No.39,69
Jaipur (M Corp.) (Part) - Ward No.41,70
Jaipur (M Corp.) (Part) - Ward No.40,71
Jaipur (M Corp.) (Part) - Ward No.37,72
Jaipur (M Corp.) (Part) - Ward No.34,73
Jaipur (M Corp.) (Part) - Ward No.38,74
Jaipur (M Corp.) (Part) - Ward No.50,75
Jaipur (M Corp.) (Part) - Ward No.53,76
Jaipur (M Corp.) (Part) - Ward No.56,77
Jaipur (M Corp.) (Part) - Ward No.59,78
Jaipur (M Corp.) (Part) - Ward No.60,79
Jaipur (M Corp.) (Part) - Ward No.63,80
Jaipur (M Corp.) (Part) - Ward No.62,81
Jaipur (M Corp.) (Part) - Ward No.61,82
Jaipur (M Corp.) (Part) - Ward No.58,83
Jaipur (M Corp.) (Part) - Ward No.57,84
Jaipur (M Corp.) (Part) - Ward No.52,85
Jaipur (M Corp.) (Part) - Ward No.54,86
Jaipur (M Corp.) (Part) - Ward No.65,87
Jaipur (M Corp.) (Part) - Ward No.66,88
Jaipur (M Corp.) (Part) - Ward No.83,89
Jaipur (M Corp.) (Part) - Ward No.71,90
Jaipur (M Corp.) (Part) - Ward No.68,91
Jaipur (M Corp.) (Part) - Ward No.74,92
Jaipur (M Corp.) (Part) - Ward No.69,93
Jaipur (M Corp.) (Part) - Ward No.72,94
Jaipur (M Corp.) (Part) - Ward No.73,95
Jaipur (M Corp.) (Part) - Ward No.82,96
Jaipur (M Corp.) (Part) - Ward No.75,97
Jaipur (M Corp.) (Part) - Ward No.85,98
Jaipur (M Corp.) (Part) - Ward No.128,99
Jaipur (M Corp.) (Part) - Ward No.90,100
Jaipur (M Corp.) (Part) - Ward No.81,1
Jaipur (M Corp.) (Part) - Ward No.79,2
Jaipur (M Corp.) (Part) - Ward No.78,3
Jaipur (M Corp.) (Part) - Ward No.77,4
Jaipur (M Corp.) (Part) - Ward No.80,5
Jaipur (M Corp.) (Part) - Ward No.86,6
Jaipur (M Corp.) (Part) - Ward No.89,7
Jaipur (M Corp.) (Part) - Ward No.99,8
Jaipur (M Corp.) (Part) - Ward No.98,9
Jaipur (M Corp.) (Part) - Ward No.96,10
Jaipur (M Corp.) (Part) - Ward No.94,11
Jaipur (M Corp.) (Part) - Ward No.97,12
Jaipur (M Corp.) (Part) - Ward No.92,13
Jaipur (M Corp.) (Part) - Ward No.88,14
Jaipur (M Corp.) (Part) - Ward No.95,15
Jaipur (M Corp.) (Part) - Ward No.103,16
Jaipur (M Corp.) (Part) - Ward No.100,17
Jaipur (M Corp.) (Part) - Ward No.101,18
Jaipur (M Corp.) (Part) - Ward No.115,19
Jaipur (M Corp.) (Part) - Ward No.143,20
Jaipur (M Corp.) (Part) - Ward No.136,21
Jaipur (M Corp.) (Part) - Ward No.145,22
Jaipur (M Corp.) (Part) - Ward No.141,23
Jaipur (M Corp.) (Part) - Ward No.142,24
Jaipur (M Corp.) (Part) - Ward No.148,25
Jaipur (M Corp.) (Part) - Ward No.147,26
Jaipur (M Corp.) (Part) - Ward No.135,27
Jaipur (M Corp.) (Part) - Ward No.133,28
Jaipur (M Corp.) (Part) - Ward No.130,29
Jaipur (M Corp.) (Part) - Ward No.127,30
Jaipur (M Corp.) (Part) - Ward No.126,31
