ward,value
Island North,1
Island South,2
Edakochi North,3
Edakochi South,4
Thazhappu,5
Mattancheri,6
Chakkamadom,7
Karauvelipady,8
Thoppumpady,9
Kochangadi,10
Tharebagom,11
Palluruthy Kacheripady,12
Kadebagom,13
Perumpadappu,14
Konam,15
Pullardesam,16
Nambiapuram,17
Mundamveli,18
Moolamkuzhi,19
Manassery,20
Chullikkal,21
Nazarat,22
Earaveli,23
Kalvathy,24
Karippalam,25
Panayappilly,26
Cheralai,27
Amaravathy,28
Palarivattom,29
Konthuruthy,30
Thevara,31
Vaduthala West,32
Vaduthala East,33
Ernakulam North,34
Thattazham,35
Pachalam,36
Ayyappankavu,37
Thrikkanarvattom,38
Ernakulam Central,39
Ernakulam South,40
Kunnumpuram,41
Ponekkara,42
Edappally,43
Puthukalavattom,44
Elamakkara North,45
Ravipuram,46
Chambakkara,47
Perumanoor,48
Panampilly Nagar,49
Kadavanthra,50
Girinagar,51
Gandhi Nagar,52
Ponnurunni,53
Vyttila Janatha,54
Poonithura,55
Vyttila,56
Elamkualam,57
Ponnurunni East,58
Chalikkavattom,59
Kathrukadavu,60
Kaloor South,61
Kaloor North,62
Elamakkara,63
Pottakuzhi,64
Vennala,65
Chakkaraparambu,66
Padivattom,67
Karukapiili,68
Thammanam,69
Devankulangara,70
Mamangalam,71
Karanakodam,72
Fort Kochi Veli,73
Fort Kochi,74
