ward,value
93,1
61,2
86,3
90,4
26,5
72,6
134,7
99,8
125,9
118,10
83,11
43,12
47,13
115,14
68,15
39,16
12,17
108,18
110,19
141,20
17,21
7,22
16,23
137,24
84,25
18,26
25,27
60,28
10,29
62,30
71,31
91,32
75,33
96,34
88,35
44,36
85,37
89,38
67,39
76,40
74,41
87,42
132,43
69,44
22,45
119,46
54,47
122,48
29,49
109,50
32,51
57,52
136,53
106,54
4,55
52,56
38,57
81,58
127,59
53,60
34,61
135,62
117,63
105,64
20,65
102,66
46,67
73,68
82,69
124,70
56,71
3,72
36,73
41,74
37,75
139,76
23,77
40,78
121,79
33,80
103,81
13,82
66,83
123,84
63,85
21,86
49,87
70,88
45,89
100,90
92,91
9,92
114,93
101,94
138,95
31,96
104,97
5,98
126,99
14,100
111,1
130,2
19,3
78,4
27,5
98,6
6,7
2,8
59,9
131,10
42,11
129,12
51,13
120,14
8,15
1,16
80,17
55,18
64,19
107,20
77,21
28,22
112,23
133,24
65,25
24,26
128,27
50,28
113,29
94,30
79,31
11,32
15,33
140,34
97,35
48,36
35,37
116,38
95,39
30,40
58,41
