ward,value
Dhanori - Vishrantwadi,1
Tingrenagar - Sanjay Park,2
Lohegaon - Vimannagar,3
East Kharadi - Wagholi,4
West Kharadi - Vadgaon Sheri,5
Vadgaon Sheri - Ramwadi,6
Kalyaninagar - Nagpur Chawl,7
Kalas - Phulenagar,8
Yerwada,9
Shivajinagar Gaothan - Sangamwadi,10
Bopodi - Savitribai Phule Pune University,11
Aundh - Balewadi,12
Baner - Sus - Mahalunge,13
Pashan - Bawdhan,14
Gokhalenagar - Vadarwadi,15
Fergusson College - Erandwane,16
Shaniwar peth - Navi Peth,17
Shaniwarwada - Kasba Peth,18
Chhatrapati Shivaji Maharaj Stadium - Rasta peth,19
Pune Station -Matoshri Ramabai Ambedkar Road,20
Koregaon park - Mundhwa,21
Manjari Bk. - Shewalwadi,22
Sadesataranali - Aakashwani,23
Magarpatta - Sadhana Vidyalaya,24
Hadapsar Gaothan - Satavwadi,25
Wanwadi Gaothan - Vaiduwadi,26
Kasewadi - Lohiyanagar,27
Ghorpade peth Udyan - Mahatma Phule Mandai,28
Jai Bhavaninagar - Kelewadi,29
Kothrud Gaothan - Shivtirthnagar,30
Bhusari colony - Bavdhan Khurd,31
Ideal colony - Mahatma Society,32
Warje - Kondhave Dhavde,33
Ramnagar - Uttamnagar Shivane,34
Karvenagar,35
Janata Vasahat - Dattawadi,36
Shivdarshan - Padmavati,37
Market yard - Maharshinagar,38
Bibvewadi - Gangadham,39
Kondhva Kh - Mithanagar,40
Ramtekadi - Sayyadnagar,41
Wanawadi - Kausar Baug,42
Kale Boratenagar - Sasanenagar,43
Fursungi,44
Mohammad wadi - Uruli Devachi,45
Kondhva Bk - Yewalewadi,46
Upper Super Indiranagar,47
Balajinagar - Shankar Maharaj Math,48
Sahakarnagar - Taljai,49
Vadgaon Bk - Manikbaug,50
Nanded City - Sun City,51
Khadakwasla - Narhe,52
Dhayari - Ambegaon,53
Dhankawadi - Ambegaon Pathar,54
Chaitanyanagar - Bharati Vidyapeeth,55
Sukhsagarnagar - Rajiv Gandhinagar,56
Katraj - Gokulnagar,57
Mahatma Phule Smarak –Bhavani Peth,58
