ward,value
Ward No.1,1
Ward No.2,2
Ward No.5,3
Ward No.3,4
Ward No.9,5
Ward No.13,6
Ward No.6,7
Ward No.8,8
Ward No.4,9
Ward No.7,10
Ward No.11,11
Ward No.23,12
Ward No.24,13
Ward No.12,14
Ward No.18,15
Ward No.28,16
Ward No.25,17
Ward No.21,18
Ward No.40,19
Ward No.37,20
Ward No.27,21
Ward No.22,22
Ward No.10,23
Ward No.15,24
Ward No.16,25
Ward No.30,26
Ward No.31,27
Ward No.29,28
Ward No.20,29
Ward No.19,30
Ward No.32,31
Ward No.17,32
Ward No.33,33
Ward No.47,34
Ward No.41,35
Ward No.44,36
Ward No.42,37
Ward No.39,38
Ward No.14,39
Ward No.26,40
Ward No.43,41
Ward No.38,42
Ward No.45,43
Ward No.34,44
Ward No.35,45
Ward No.36,46
