ward,value
Visakhapatnam (M Corp.) - Ward No.76,1
Visakhapatnam (M Corp.) - Ward No.4,2
Visakhapatnam (M Corp.) - Ward No.1,3
Visakhapatnam (M Corp.) - Ward No.2,4
Visakhapatnam (M Corp.) - Ward No.3,5
Visakhapatnam (M Corp.) - Ward No.7,6
Visakhapatnam (M Corp.) - Ward No.34,7
Visakhapatnam (M Corp.) - Ward No.5,8
Visakhapatnam (M Corp.) - Ward No.6,9
Visakhapatnam (M Corp.) - Ward No.8,10
Visakhapatnam (M Corp.) - Ward No.10,11
Visakhapatnam (M Corp.) - Ward No.91,12
Visakhapatnam (M Corp.) - Ward No.57,13
Visakhapatnam (M Corp.) - Ward No.9,14
Visakhapatnam (M Corp.) - Ward No.13,15
Visakhapatnam (M Corp.) - Ward No.51,16
Visakhapatnam (M Corp.) - Ward No.88,17
Visakhapatnam (M Corp.) - Ward No.96,18
Visakhapatnam (M Corp.) - Ward No.53,19
Visakhapatnam (M Corp.) - Ward No.94,20
Visakhapatnam (M Corp.) - Ward No.97,21
Visakhapatnam (M Corp.) - Ward No.25,22
Visakhapatnam (M Corp.) - Ward No.93,23
Visakhapatnam (M Corp.) - Ward No.92,24
Visakhapatnam (M Corp.) - Ward No.42,25
Visakhapatnam (M Corp.) - Ward No.71,26
Visakhapatnam (M Corp.) - Ward No.89,27
Visakhapatnam (M Corp.) - Ward No.90,28
Visakhapatnam (M Corp.) - Ward No.23,29
Visakhapatnam (M Corp.) - Ward No.52,30
Visakhapatnam (M Corp.) - Ward No.50,31
Visakhapatnam (M Corp.) - Ward No.49,32
Visakhapatnam (M Corp.) - Ward No.98,33
Visakhapatnam (M Corp.) - Ward No.11,34
Visakhapatnam (M Corp.) - Ward No.12,35
Visakhapatnam (M Corp.) - Ward No.18,36
Visakhapatnam (M Corp.) - Ward No.54,37
Visakhapatnam (M Corp.) - Ward No.48,38
Visakhapatnam (M Corp.) - Ward No.47,39
Visakhapatnam (M Corp.) - Ward No.26,40
Visakhapatnam (M Corp.) - Ward No.46,41
Visakhapatnam (M Corp.) - Ward No.43,42
Visakhapatnam (M Corp.) - Ward No.45,43
Visakhapatnam (M Corp.) - Ward No.14,44
Visakhapatnam (M Corp.) - Ward No.33,45
Visakhapatnam (M Corp.) - Ward No.83,46
Visakhapatnam (M Corp.) - Ward No.15,47
Visakhapatnam (M Corp.) - Ward No.16,48
Visakhapatnam (M Corp.) - Ward No.24,49
Visakhapatnam (M Corp.) - Ward No.19,50
Visakhapatnam (M Corp.) - Ward No.17,51
Visakhapatnam (M Corp.) - Ward No.55,52
Visakhapatnam (M Corp.) - Ward No.44,53
Visakhapatnam (M Corp.) - Ward No.21,54
Visakhapatnam (M Corp.) - Ward No.56,55
Visakhapatnam (M Corp.) - Ward No.41,56
Visakhapatnam (M Corp.) - Ward No.29,57
Visakhapatnam (M Corp.) - Ward No.32,58
Visakhapatnam (M Corp.) - Ward No.31,59
Visakhapatnam (M Corp.) - Ward No.28,60
Visakhapatnam (M Corp.) - Ward No.30,61
Visakhapatnam (M Corp.) - Ward No.37,62
Visakhapatnam (M Corp.) - Ward No.36,63
Visakhapatnam (M Corp.) - Ward No.59,64
Visakhapatnam (M Corp.) - Ward No.60,65
Visakhapatnam (M Corp.) - Ward No.58,66
Visakhapatnam (M Corp.) - Ward No.61,67
Visakhapatnam (M Corp.) - Ward No.39,68
Visakhapatnam (M Corp.) - Ward No.85,69
Visakhapatnam (M Corp.) - Ward No.78,70
Visakhapatnam (M Corp.) - Ward No.62,71
Visakhapatnam (M Corp.) - Ward No.63,72
Visakhapatnam (M Corp.) - Ward No.35,73
Visakhapatnam (M Corp.) - Ward No.38,74
Visakhapatnam (M Corp.) - Ward No.79,75
Visakhapatnam (M Corp.) - Ward No.86,76
Visakhapatnam (M Corp.) - Ward No.69,77
Visakhapatnam (M Corp.) - Ward No.68,78
Visakhapatnam (M Corp.) - Ward No.67,79
Visakhapatnam (M Corp.) - Ward No.87,80
Visakhapatnam (M Corp.) - Ward No.70,81
Visakhapatnam (M Corp.) - Ward No.77,82
Visakhapatnam (M Corp.) - Ward No.66,83
Visakhapatnam (M Corp.) - Ward No.72,84
Visakhapatnam (M Corp.) - Ward No.73,85
Visakhapatnam (M Corp.) - Ward No.74,86
Visakhapatnam (M Corp.) - Ward No.64,87
Visakhapatnam (M Corp.) - Ward No.65,88
Visakhapatnam (M Corp.) - Ward No.75,89
Visakhapatnam (M Corp.) - Ward No.82,90
Visakhapatnam (M Corp.) - Ward No.81,91
Visakhapatnam (M Corp.) - Ward No.27,92
Visakhapatnam (M Corp.) - Ward No.22,93
Visakhapatnam (M Corp.) - Ward No.84,94
Visakhapatnam (M Corp.) - Ward No.20,95
Visakhapatnam (M Corp.) - Ward No.40,96
Visakhapatnam (M Corp.) - Ward No.95,97
Visakhapatnam (M Corp.) - Ward No.80,98
