ward,value
Ward 1,1
Ward 2,2
Ward 3,3
Ward 4,4
Ward 5,5
Ward 6,6
Ward 7,7
Ward 8,8
Ward 9,9
Ward 10,10
Ward 11,11
Ward 12,12
Ward 13,13
Ward 14,14
Ward 15,15
Ward 16,16
Ward 17,17
Ward 18,18
Ward 19,19
Ward 20,20
Ward 21,21
Ward 22,22
Ward 23,23
Ward 24,24
Ward 25,25
Ward 26,26
Ward 27,27
Ward 28,28
Ward 29,29
Ward 30,30
Ward 31,31
Ward 32,32
Ward 33,33
Ward 34,34
Ward 35,35
Ward 36,36
Ward 37,37
Ward 38,38
Ward 39,39
Ward 40,40
Ward 41,41
Ward 42,42
Ward 43,43
Ward 44,44
Ward 45,45
Ward 46,46
Ward 47,47
Ward 48,48
Ward 49,49
Ward 50,50
Ward 51,51
Ward 52,52
Ward 53,53
Ward 54,54
Ward 55,55
Ward 56,56
Ward 57,57
Ward 58,58
Ward 59,59
Ward 60,60
Ward 61,61
Ward 62,62
Ward 63,63
Ward 64,64
Ward 65,65
Ward 66,66
Ward 67,67
Ward 68,68
Ward 69,69
