"dataset_id","city","state","source","type","label","ward_name","ward_number","area_sq_km","perimeter_km","compactness","centroid_lon","centroid_lat","num_vertices"
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","RAMOL HATHIJAN","48",30.786,34.7682,0.320037,72.648199,22.957645,402
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","VATVA","47",11.3062,20.3443,0.343272,72.617807,22.949748,215
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","LAMBHA","46",48.1632,37.0011,0.442074,72.564918,22.950025,305
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","ISANPUR","45",4.0927,9.4512,0.575762,72.600027,22.979768,75
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","KHOKHRA","44",3.5882,13.8612,0.234684,72.61593,22.995658,129
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","BHAIPURA HATKESHWAR","43",1.9415,7.018,0.495364,72.627887,22.994524,56
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","INDRAPURI","42",3.3212,12.5564,0.264712,72.638966,23.0007,114
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","VASTRAL","41",13.4846,16.4227,0.628292,72.668766,23.002091,236
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","ODHAV","40",5.4685,13.2369,0.3922,72.66118,23.023265,193
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","AMRAIWADI","39",3.1441,12.3427,0.259354,72.62411,23.009917,129
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","GOMTIPUR","38",3.2412,12.6167,0.255874,72.617371,23.018967,109
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","MANINAGAR","37",4.5476,9.4652,0.637874,72.602073,22.999665,68
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","DANILIMDA","36",3.5471,10.0898,0.437844,72.587918,22.997112,99
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","BAHERAMPURA","35",10.2301,15.8259,0.51328,72.569622,22.987741,92
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","MAKTAMPURA","34",25.5543,33.4004,0.287853,72.5169,22.954889,226
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","SARKHEJ","33",23.6401,24.5158,0.494271,72.492005,22.988791,175
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","VEJALPUR","32",2.9008,9.7221,0.385658,72.524758,23.005393,82
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","VASNA","31",5.5779,11.0784,0.571123,72.547193,22.997196,73
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","PALDI","30",5.5941,9.4979,0.779278,72.562618,23.011372,67
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","JAMALPUR","29",2.815,10.2631,0.335846,72.580612,23.021483,146
"ahmedabad","Ahmedabad","Gujarat","DataMeet","wards","Wards","KHADIA","28",3.2694,9.3398,0.47097,72.594371,23.021723,161
